r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.004604292525867509,0.2,0.2,0.55
1,3,0.14084829045395147,0.4666666666666666,0.5333333333333333,0.75625
1,4,0.0918429107601612,0.3833333333333333,0.5,0.5947916666666666
1,5,0.1026950594996785,0.54,0.64,0.66125
2,2,0.12162504882897789,0.4333333333333333,0.4333333333333333,0.5992647058823529
2,3,0.012336600037067855,0.3,0.2333333333333333,0.5115740740740741
2,4,0.09585801079289932,0.7333333333333334,0.82,0.7850328947368421
2,5,0.11472138686309863,0.5149999999999999,0.5733333333333335,0.565125
3,2,0.15666227769410837,0.4133333333333333,0.4133333333333333,0.6235294117647058
3,3,0.06684198870530166,0.5317460317460317,0.584126984126984,0.7245061728395061
3,4,0.042156225342321184,0.6888888888888889,0.6944444444444444,0.8233519404572036
3,5,0.07718066462488682,0.600909090909091,0.7272727272727273,0.7100277777777777
4,2,0.06463977408169942,0.3738095238095238,0.3738095238095238,0.6132438940488477
4,3,0.11951126028156571,0.475,0.5733333333333334,0.6173484848484849
4,4,0.09515484048383932,0.495,0.595,0.7139912280701755
4,5,0.06038356908574229,0.6395833333333333,0.7233333333333334,0.6903273809523809
5,2,0.10834893527607495,0.3244444444444444,0.3244444444444444,0.6436842105263157
5,3,0.07021192341690224,0.4392074592074591,0.4825174825174825,0.6724141414141414
5,4,0.08697747014248586,0.5501960784313726,0.6311764705882352,0.6977
5,5,0.10608649531363464,0.5421960784313726,0.6590700280112045,0.6139583333333334
6,2,0.12173012186900134,0.2833333333333333,0.2833333333333333,0.6592063492063491
6,3,0.11808680187624113,0.4336309523809524,0.473015873015873,0.6898957523957524
6,4,0.034604539034387004,0.5437830687830687,0.584126984126984,0.6918698156682028
6,5,0.08748942638293931,0.5046153846153846,0.5933333333333334,0.6706539351851851
7,2,0.07298532665330619,0.4461538461538462,0.4461538461538462,0.7129251700680271
7,3,0.1112812070509793,0.4800678166003244,0.616452896948253,0.6687772544915402
7,4,0.05812542448770103,0.4662683982683983,0.5568831168831169,0.6539870787024487
7,5,0.077337105662347,0.5142174432497013,0.5307048984468339,0.6166865079365079
8,2,0.10157159621793928,0.24395604395604392,0.24395604395604392,0.5895768633540373
8,3,0.12977794552927407,0.45017676767676773,0.5130808080808081,0.5930257936507937
8,4,0.06574908009762627,0.4519672855879753,0.45369694960212203,0.6481397550301724
8,5,0.09676868299664057,0.3482638888888889,0.37777777777777777,0.5470069444444445
9,2,0.09874300655913326,0.3521241830065359,0.3521241830065359,0.726436466110379
9,3,0.07994072753440433,0.46052634000460085,0.5149003910743042,0.6953930945597613
9,4,0.0342352835773519,0.5731762065095399,0.6410774410774411,0.6641290721461499
9,5,0.07383891026154663,0.49920896506262363,0.5549110085695451,0.665199494949495
10,2,0.09744714160299223,0.35882352941176465,0.35882352941176465,0.6186363636363637
10,3,0.08417143331861439,0.44006410256410255,0.43717948717948724,0.6158501984126985
10,4,0.04932457449326614,0.5840761064669984,0.6157187548079388,0.7075133810280869
10,5,0.060477164758178104,0.5300833605753514,0.6137953579601177,0.6671700757575757
