r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.09805443220473838,0.4,0.4,0.575
1,3,0.14690594546685526,0.8,0.8666666666666666,0.9291666666666668
1,4,0.09516972655291508,0.7833333333333333,0.8,0.7979166666666667
1,5,0.12681251797865156,0.65,0.44000000000000006,0.7637499999999999
2,2,0.081908738586478,0.6666666666666666,0.6666666666666666,0.784375
2,3,0.06689927039235918,0.4916666666666667,0.4833333333333333,0.5783564814814814
2,4,0.11806081353172897,0.8016666666666667,0.6849999999999999,0.8745614035087719
2,5,0.10301067975714713,0.8,0.6933333333333334,0.7784375
3,2,0.10178811545126765,0.5933333333333333,0.5933333333333333,0.8269063180827887
3,3,0.15965071450441104,0.665079365079365,0.6952380952380952,0.8302469135802468
3,4,0.14537309216990862,0.7333333333333333,0.7277777777777777,0.8565656565656565
3,5,0.20270030600801042,0.626969696969697,0.4993939393939394,0.7739166666666667
4,2,0.1511950847684853,0.6166666666666666,0.6166666666666666,0.6733316133470932
4,3,0.12025804319381846,0.7233333333333333,0.6966666666666667,0.762689393939394
4,4,0.2220532692663267,0.705,0.71,0.8300438596491228
4,5,0.16300425316369918,0.7141666666666666,0.7916666666666667,0.7318005952380953
5,2,0.12414152281941226,0.6088888888888888,0.6088888888888888,0.8011052631578947
5,3,0.11954352998947655,0.6774825174825174,0.6631235431235432,0.8038636363636364
5,4,0.13671848896025512,0.7227450980392157,0.693529411764706,0.8418238095238095
5,5,0.1568006153332321,0.6668291316526611,0.6485378151260505,0.7439672619047619
6,2,0.15255744753303033,0.6818181818181819,0.6818181818181819,0.8372222222222222
6,3,0.14204886349062149,0.6679563492063492,0.6712301587301587,0.8751683501683502
6,4,0.13193934253508574,0.6535714285714285,0.6698412698412698,0.7328926011264721
6,5,0.1344331552179129,0.7505128205128205,0.7835897435897435,0.8549363425925925
7,2,0.117912779996774,0.6615384615384616,0.6615384615384616,0.8231292517006803
7,3,0.18466929828003537,0.6417809228954741,0.6510688485920684,0.7627878074306645
7,4,0.16079766930435282,0.7228225108225109,0.7336363636363636,0.8078203862190036
7,5,0.09475931855281279,0.7695937873357228,0.765352449223417,0.7775198412698412
8,2,0.14394041747456532,0.6387362637362637,0.6387362637362637,0.7492391304347826
8,3,0.1623537353743211,0.660530303030303,0.6742424242424242,0.7809275793650794
8,4,0.1548766249607484,0.7010002210433245,0.7000994694960212,0.8016887618168452
8,5,0.1241162667323514,0.7190972222222223,0.7270833333333333,0.7850451388888888
9,2,0.1728879272767402,0.6452614379084968,0.6452614379084968,0.8250128092519396
9,3,0.14739751049088723,0.7222452265930527,0.7316512537382102,0.818830297788631
9,4,0.1666804012519623,0.6812121212121213,0.7302356902356901,0.7283715879066923
9,5,0.16421349248233502,0.6877719182597231,0.710349373764008,0.7865959595959596
10,2,0.12815332843649124,0.6738562091503268,0.6738562091503268,0.7490316205533597
10,3,0.1536294909944524,0.6036172161172162,0.6068681318681319,0.726092261904762
10,4,0.16742361842526754,0.629169017214558,0.6537668598389661,0.7576984631690513
10,5,0.15427322806487337,0.6615288220551377,0.6813010787839163,0.7788750000000001
