r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.3808113264509152,0.0,0.0,0.275
1,3,0.7125458531116947,0.0,0.0,0.3354166666666666
1,4,0.5286456224134484,0.03333333333333333,0.0,0.28124999999999994
1,5,0.5722163718140343,0.02,0.0,0.33
2,2,0.6310879811360014,0.0,0.0,0.18860294117647058
2,3,0.42342231721833234,0.0,0.0,0.16284722222222223
2,4,0.6394901681177654,0.0,0.0,0.3123629385964912
2,5,0.5296450824249457,0.016666666666666666,0.0,0.27575
3,2,0.6229836049175737,0.0,0.0,0.2903050108932462
3,3,0.6146697666932271,0.0,0.0,0.27166666666666667
3,4,0.6390972632422665,0.05,0.02222222222222222,0.3839845826687932
3,5,0.5636004574231995,0.039090909090909086,0.07636363636363637,0.36449999999999994
4,2,0.5238390724538313,0.02857142857142857,0.02857142857142857,0.2751504987960096
4,3,0.5660539883480874,0.0,0.0,0.26530303030303026
4,4,0.6013429386919867,0.049166666666666664,0.0325,0.3905
4,5,0.5182771779097661,0.029374999999999995,0.025,0.3744107142857144
5,2,0.5873033177299103,0.0,0.0,0.30094736842105263
5,3,0.539566293466016,0.013333333333333332,0.026666666666666665,0.3092070707070707
5,4,0.5595460343508712,0.003333333333333333,0.0,0.33993809523809526
5,5,0.5060824173806873,0.02952380952380953,0.016,0.36536011904761906
6,2,0.5946953967572246,0.0,0.0,0.2449603174603175
6,3,0.5697789048063775,0.007142857142857143,0.014285714285714285,0.3518745143745144
6,4,0.5131040625767682,0.021825396825396824,0.009523809523809523,0.3530011520737327
6,5,0.5502964638581316,0.04358974358974359,0.028717948717948714,0.4294675925925926
7,2,0.5625139813882859,0.046153846153846156,0.046153846153846156,0.30204081632653057
7,3,0.5276339067094742,0.0058823529411764705,0.0,0.36593188557474277
7,4,0.5060478684041765,0.027125541125541126,0.02142857142857143,0.3929436290645291
7,5,0.49771801280403405,0.03632019115890084,0.02867383512544803,0.3433482142857143
8,2,0.5289483804249033,0.0,0.0,0.2494746376811594
8,3,0.4923302992970463,0.025656565656565655,0.01111111111111111,0.39248359279609274
8,4,0.5041737355141771,0.028807471264367814,0.02004310344827586,0.3858202664239192
8,5,0.49056293622562397,0.059548611111111115,0.04097222222222222,0.4409375
9,2,0.6297468651789982,0.01111111111111111,0.01111111111111111,0.31986166007905137
9,3,0.5210098307871507,0.043458937198067635,0.039407407407407405,0.35629010649843984
9,4,0.4531689587651414,0.034949494949494946,0.026060606060606062,0.3830339827493528
9,5,0.4785886962358597,0.05603164139749506,0.06552406064601186,0.43410353535353535
10,2,0.520488024065629,0.0,0.0,0.2991304347826087
10,3,0.48548726979133167,0.020192307692307693,0.023717948717948717,0.3157073412698413
10,4,0.4972653630649807,0.019382190539685797,0.011287758346581876,0.37783704292527825
10,5,0.4967412075575307,0.07320747520976353,0.04782608695652174,0.4351454545454546
