r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.03191238661960432,1.0,1.0,1.0
1,3,0.0508633259246693,0.7666666666666667,0.9333333333333332,0.9868686868686869
1,4,0.036641728930534134,0.9833333333333332,1.0,0.9994949494949494
1,5,0.03563753392072665,0.85,0.96,0.9893939393939395
2,2,0.03871034190738107,0.85,0.85,0.9955882352941178
2,3,0.0349947443793759,0.7916666666666666,0.7666666666666667,0.8907792207792209
2,4,0.06653450151200846,0.8666666666666668,0.85,0.9888888888888889
2,5,0.028480614763033985,0.8166666666666667,0.8533333333333333,0.8904463554463555
3,2,0.03012545062118404,0.9666666666666668,0.9666666666666668,0.9980952380952381
3,3,0.032962937538174544,0.8746031746031747,0.9142857142857143,0.8644616044616044
3,4,0.049881720820577985,0.8722222222222223,0.9666666666666666,0.9921652421652422
3,5,0.034505192614014184,0.9199999999999999,0.9733333333333334,0.9931707317073171
4,2,0.04525568809072585,0.825,0.825,0.9944444444444445
4,3,0.03781202583954596,0.9,0.9266666666666665,0.9463213213213214
4,4,0.020111007524367817,0.9208333333333332,0.9875,0.995436507936508
4,5,0.03227775922784544,0.9025000000000001,0.9375,0.9448333333333334
5,2,0.03207185210938983,0.8755555555555554,0.8755555555555554,0.9178378378378378
5,3,0.044017820324294694,0.8666666666666668,0.8666666666666666,0.9930081300813007
5,4,0.03709075440502424,0.8766666666666666,0.9211764705882353,0.9135343915343915
5,5,0.03592105321582472,0.924,0.968,0.9956326530612245
6,2,0.043466292615066626,0.8939393939393939,0.8939393939393939,0.9315552394499763
6,3,0.03576559563949587,0.9097222222222221,0.9430555555555558,0.9629198966408268
6,4,0.0505969221433587,0.8833333333333334,0.9166666666666666,0.9913773148148148
6,5,0.04772862134471388,0.8975641025641027,0.9046153846153848,0.9609485303555385
7,2,0.040792814997147576,0.8329670329670329,0.8329670329670329,0.9379988432620012
7,3,0.04347898910806947,0.8741854636591478,0.9037593984962407,0.9662335425126123
7,4,0.05041053626134266,0.9095238095238095,0.9571428571428571,0.9950046685340803
7,5,0.04923310326591583,0.8785714285714287,0.9542857142857143,0.9902005012531327
8,2,0.047718596810450695,0.8733333333333334,0.8733333333333334,0.9715544871794872
8,3,0.042753616940122585,0.9041666666666668,0.9416666666666668,0.9938829787234044
8,4,0.04870444816404505,0.9291666666666666,0.96875,0.9941358024691358
8,5,0.045322413451259036,0.8559722222222221,0.9182051282051281,0.9672678314639056
9,2,0.047252946906534296,0.8,0.8,0.9932249322493225
9,3,0.047647436199619427,0.8608888888888888,0.9099259259259259,0.9736012608353034
9,4,0.03830566815587321,0.9296296296296296,0.9722222222222221,0.9965562053281352
9,5,0.03211343378311442,0.9072585612219759,0.9406183789110617,0.9725117521367522
10,2,0.04857186868663986,0.8673684210526316,0.8673684210526316,0.9566376306620208
10,3,0.0377478461223237,0.8976190476190476,0.9104761904761904,0.9746965452847807
10,4,0.047163262138328284,0.8627477477477477,0.937972972972973,0.9519093567251462
10,5,0.03598120435773401,0.8519325643300799,0.9021082519964508,0.9305193291363368
