r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.005503511678867897,1.0,1.0,1.0
1,3,0.00533959380892171,0.9,0.9,0.9
1,4,0.06644058556632457,0.9,0.9,0.9
1,5,0.008321606882486695,0.975,1.0,0.9983333333333333
1,6,0.001970405990210218,1.0,1.0,1.0
1,7,0.02552929226716144,0.8738095238095237,0.8714285714285716,0.8702741702741703
1,8,0.07930132726765225,0.8857142857142858,0.9,0.8989718614718616
1,9,0.031497040638347,0.986111111111111,1.0,0.9910353535353537
1,10,0.0034669831613914825,1.0,1.0,1.0
2,2,0.03145319593409825,0.8833333333333334,0.8833333333333334,0.85
2,3,0.007220720741550686,0.9833333333333334,1.0,0.9995238095238095
2,4,0.031184441457238837,0.95,0.95,0.95
2,5,0.04060074667933874,0.97,0.99,0.9979054054054053
2,6,0.023550388336730583,0.9916666666666668,1.0,0.9993421052631579
2,7,0.026364715114671682,0.9285714285714286,0.9857142857142858,0.976190476190476
2,8,0.002409376441667781,1.0,1.0,1.0
2,9,0.022287077785843535,0.9775,0.9788888888888889,0.9485772357723578
2,10,0.035995406319285134,0.9855555555555556,0.9800000000000001,0.9941666666666666
3,2,0.02953945051053485,0.9299999999999999,0.9299999999999999,0.9328571428571427
3,3,0.006181607475697495,0.9944444444444445,0.9888888888888889,0.9996996996996999
3,4,0.07327757754772556,0.8805555555555555,0.8805555555555555,0.8662393162393162
3,5,0.007727303407534833,0.9633333333333333,0.9684848484848485,0.9322500549329817
3,6,0.017375293570172864,0.9755555555555556,0.9833333333333334,0.9787596899224805
3,7,0.052909183380436264,0.9250529100529101,0.9374603174603175,0.8580151946818612
3,8,0.05443876173002025,0.9443557422969189,0.96578431372549,0.9185663627152989
3,9,0.019976417588419178,0.9760477582846004,0.9857699805068225,0.9236205593348451
3,10,0.05695713073353126,0.9444973544973545,0.9652380952380952,0.8982788671023965
4,2,0.041565368616363035,0.9125,0.9125,0.9486111111111111
4,3,0.028170585275008507,0.9375,0.9666666666666668,0.9736111111111111
4,4,0.0383625810607058,0.9288461538461539,0.9288461538461539,0.9
4,5,0.05738411630091654,0.9228947368421052,0.9160526315789473,0.9241868686868688
4,6,0.08817846810465177,0.8852392344497609,0.8971291866028708,0.8328519969666329
4,7,0.09833742843602922,0.883909090909091,0.9063116883116884,0.8600723622782447
4,8,0.08390217916737189,0.9048469387755101,0.9151785714285715,0.8910244708994707
4,9,0.06282258529179623,0.9291666666666668,0.9670634920634921,0.9093621951704657
4,10,0.1268333444430448,0.8931093189964157,0.9292741935483871,0.856914760348584
5,2,0.031144094475032365,0.918888888888889,0.918888888888889,0.9391891891891891
5,3,0.02944352143299364,0.95,0.9533333333333334,0.9596747967479675
5,4,0.031667470967925694,0.9541176470588237,0.9691176470588235,0.9588888888888889
5,5,0.03904175890250581,0.9415714285714285,0.9455714285714286,0.9120612244897959
5,6,0.036623073295096606,0.9677142857142857,0.9723809523809525,0.9664150943396226
5,7,0.0733775361427198,0.9226677955665025,0.9159267241379311,0.8994639376218323
5,8,0.08253437768283597,0.9244800218938153,0.9211206896551722,0.9009648259994247
5,9,0.07733638963214665,0.9109234234234235,0.9572972972972973,0.9032231968810918
5,10,0.09813267074547187,0.9114444444444445,0.9344545454545455,0.8884059504639215
6,2,0.04101413313168842,0.9136363636363637,0.9136363636363637,0.9162280701754385
6,3,0.026646954782829836,0.9392361111111113,0.9597222222222221,0.965478666414571
6,4,0.057436615832701834,0.8982142857142856,0.930952380952381,0.9137326388888887
6,5,0.04756625226597633,0.9103205128205127,0.9261538461538462,0.9604716981132075
6,6,0.09475858942718773,0.870539488320356,0.9034142874799158,0.8596098630300091
6,7,0.05108027052247656,0.9548229548229548,0.9754578754578755,0.9565822625346435
6,8,0.07794646424216368,0.9415505226480836,0.9526746119733923,0.9398516245637598
6,9,0.12255305810822661,0.8758740308306662,0.9064532069455566,0.8300538062081173
6,10,0.15226941641411612,0.8626627935124667,0.9129302832244008,0.8066243273187718
7,2,0.04884638997373683,0.8912087912087913,0.8912087912087913,0.9131868131868132
7,3,0.01035423173580768,0.9452380952380954,0.9666666666666668,0.9977248677248678
7,4,0.038081683175121075,0.9488095238095238,0.9714285714285713,0.9723856209150327
7,5,0.058064726259889364,0.9229404987801573,0.941279479533749,0.9108544609502192
7,6,0.11026588255762823,0.9028983268983269,0.9045109395109396,0.879667469525339
7,7,0.10675212254836815,0.8970922666336504,0.9173042756030622,0.8506281751046613
7,8,0.06131301801027887,0.9344344147915576,0.9283119658119657,0.9136836734693878
7,9,0.15764895811271767,0.8164610389610389,0.8972582972582973,0.8290288884593806
7,10,0.10274241330467807,0.9176488095238096,0.9623214285714285,0.9150884875022806
8,2,0.018083350910529136,0.8866666666666667,0.8866666666666667,0.9721875000000001
8,3,0.022974459005093463,0.9674242424242424,0.9776515151515153,0.9618311662726556
8,4,0.07135873493300256,0.865337643678161,0.8867456896551724,0.8796228213507625
8,5,0.07090091992923395,0.9249519230769231,0.9358119658119657,0.9252024733966062
8,6,0.06786873568008842,0.9084567025902816,0.9345103044053698,0.9180013986468906
8,7,0.12080695965243438,0.8509369253120758,0.8722413545908125,0.8078691018623084
