r,w,diameter,precision@w-1,precision@1,triplet
1,2,1.0,0.0,0.0,0.0
1,3,0.9,0.0,0.0,0.0
1,4,1.0,0.0,0.0,0.0
1,5,1.0,0.0,0.0,0.0
1,6,1.0,0.0,0.0,0.0
1,7,0.9,0.009523809523809523,0.0,0.0
1,8,1.0,0.0,0.0,0.0
1,9,1.0,0.005555555555555555,0.0,0.0
1,10,1.0,0.030000000000000006,0.0,0.0
2,2,0.9,0.0,0.0,0.0
2,3,1.0,0.0,0.0,0.0
2,4,1.0,0.0,0.0,0.0
2,5,1.0,0.0,0.0,0.0
2,6,1.0,0.0,0.0,0.0
2,7,1.0,0.0011904761904761904,0.0,0.0
2,8,1.0,0.0,0.0,0.0
2,9,0.95,0.012499999999999999,0.0,0.0
2,10,1.0,0.025555555555555564,0.0,0.0
3,2,0.9666666666666666,0.0,0.0,0.0
3,3,1.0,0.0,0.0,0.0
3,4,0.9666666666666668,0.0,0.0,0.0
3,5,0.9333333333333332,0.0,0.0,0.0
3,6,1.0,0.0,0.0,0.0
3,7,0.9333333333333332,0.0007936507936507937,0.0,0.0
3,8,0.9666666666666668,0.0023809523809523807,0.0,0.0
3,9,0.9333333333333332,0.011574074074074073,0.0,0.0
3,10,0.9666666666666666,0.006296296296296297,0.0,0.0
4,2,1.0,0.0,0.0,0.0
4,3,1.0,0.0,0.0,0.0
4,4,0.95,0.0,0.0,0.0
4,5,1.0,0.0,0.0,0.0
4,6,0.95,0.0,0.0,0.0
4,7,0.975,0.0,0.0,0.0
4,8,1.0,0.0017857142857142857,0.0,0.0
4,9,0.95,0.0076388888888888895,0.0,0.0
4,10,0.95,0.011055555555555558,0.0,0.0
5,2,0.9800000000000001,0.0,0.0,0.0
5,3,1.0,0.0,0.0,0.0
5,4,0.9800000000000001,0.0,0.0,0.0
5,5,0.9600000000000002,0.0,0.0,0.0
5,6,1.0,0.0,0.0,0.0
5,7,0.9800000000000001,0.0005208333333333333,0.0,0.0
5,8,0.9800000000000001,0.0,0.0,0.0
5,9,0.9800000000000001,0.006906906906906908,0.0,0.0
5,10,1.0,0.011363636363636366,0.0,0.0
6,2,0.9666666666666668,0.0,0.0,0.0
6,3,0.9833333333333334,0.0,0.0,0.0
6,4,0.95,0.0,0.0,0.0
6,5,0.9833333333333332,0.0,0.0,0.0
6,6,0.9666666666666668,0.0,0.0,0.0
6,7,1.0,0.0003968253968253968,0.0,0.0
6,8,0.9833333333333334,0.0005952380952380952,0.0,0.0
6,9,0.9666666666666668,0.005602796674225245,0.0,0.0
6,10,0.9666666666666668,0.016667877027354155,0.0,0.0
7,2,0.9857142857142858,0.0,0.0,0.0
7,3,1.0,0.0,0.0,0.0
7,4,1.0,0.0,0.0,0.0
7,5,0.9714285714285713,0.0,0.0,0.0
7,6,0.9571428571428573,0.0,0.0,0.0
7,7,0.9571428571428573,0.0007499157398045163,0.0,0.0
7,8,0.9857142857142858,0.0020996860282574566,0.0,0.0
7,9,0.9857142857142858,0.0023809523809523807,0.0,0.0
7,10,1.0,0.012886904761904763,0.0,0.0
8,2,0.975,0.0,0.0,0.0
8,3,0.9625,0.0,0.0,0.0
8,4,0.95,0.0,0.0,0.0
8,5,0.9875,0.0,0.0,0.0
8,6,0.9625,0.0008333333333333333,0.0,0.0
8,7,0.9625,0.002190863298350251,0.0,0.0
8,8,0.975,0.004648339598997493,0.0,0.0
8,9,0.9875,0.0037760416666666663,0.0,0.0
8,10,0.975,0.006159539821511654,0.0,0.0
9,2,0.9777777777777779,0.0,0.0,0.0
9,3,0.9666666666666668,0.0,0.0,0.0
9,4,0.9777777777777779,0.0,0.0,0.0
9,5,0.9444444444444444,0.0,0.0,0.0
9,6,0.9777777777777779,0.0,0.0,0.0
9,7,0.9333333333333333,0.002452891487979207,0.0,0.0
9,8,0.9555555555555555,0.005608307635790759,0.0,0.0
9,9,0.9555555555555557,0.00015432098765432098,0.0,0.0
9,10,0.9444444444444444,0.0061865569272976685,0.0,0.0
10,2,0.9600000000000002,0.0,0.0,0.0
10,3,0.9800000000000001,0.0,0.0,0.0
10,4,0.96,0.0,0.0,0.0
10,5,0.9600000000000002,0.0,0.0,0.0
10,6,0.9600000000000002,0.0003773584905660377,0.0,0.0
10,7,0.9800000000000001,0.0011904761904761904,0.0,0.0
10,8,0.97,0.0018045112781954885,0.0,0.0
10,9,0.9800000000000001,0.002915874775630873,0.0,0.0
10,10,0.9700000000000001,0.005043176681474555,0.0,0.0
