r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.2941678879613382,1.0,1.0,1.0
1,3,0.4326402592632116,1.0,1.0,1.0
1,4,0.3238866848408376,1.0,1.0,1.0
1,5,0.3612677011504106,0.9400000000000001,0.96,0.9963636363636363
2,2,0.3980313169466125,1.0,1.0,1.0
2,3,0.3805865015504442,0.8583333333333332,0.8166666666666668,0.8960173160173159
2,4,0.4921420171279677,0.9833333333333334,1.0,0.999074074074074
2,5,0.40748242396475626,0.8949999999999999,0.9133333333333333,0.8967117117117118
3,2,0.33468120759777453,1.0,1.0,1.0
3,3,0.3134139951829102,0.9428571428571428,0.9428571428571428,0.8666666666666666
3,4,0.5383282227480962,0.85,0.8166666666666668,0.9064102564102564
3,5,0.4528725341944913,0.9933333333333334,1.0,0.9998373983739837
4,2,0.3787098029323957,0.925,0.925,0.9972222222222221
4,3,0.402142661089291,0.9800000000000001,0.9800000000000001,0.95
4,4,0.39978083184501495,0.9833333333333334,1.0,0.9995039682539681
4,5,0.4600007903041954,0.9650000000000001,0.9675,0.9487222222222222
5,2,0.33550437197230815,0.9155555555555555,0.9155555555555555,0.918918918918919
5,3,0.47202132065736124,0.8400000000000001,0.8533333333333333,0.8908943089430895
5,4,0.4407974969863355,0.912156862745098,0.9094117647058824,0.8792539682539682
5,5,0.4983146489118484,0.984,1.0,0.9995510204081632
6,2,0.3293544827658507,0.9272727272727274,0.9272727272727274,0.9324324324324325
6,3,0.5276407053123445,0.9097222222222221,0.9027777777777779,0.9318869351484211
6,4,0.5092137126339492,0.9472222222222222,0.9666666666666666,0.9869791666666666
6,5,0.4776185396357747,0.9539743589743589,0.978974358974359,0.9616981132075473
7,2,0.34012961220370036,0.9252747252747253,0.9252747252747253,0.9417486022749181
7,3,0.4345093955153095,0.8979949874686717,0.9313283208020051,0.9404085148271195
7,4,0.5142328356130917,0.9,0.8928571428571429,0.9675070028011206
7,5,0.615216185165283,0.8871428571428572,0.9085714285714286,0.942330827067669
8,2,0.39234234512424,0.9608333333333334,0.9608333333333334,0.9743669871794871
8,3,0.4871047816845676,0.8958333333333333,0.9,0.9234042553191489
8,4,0.5087766153613058,0.9270833333333333,0.96875,0.9685956790123458
8,5,0.5699125005823704,0.9000106837606838,0.8989316239316241,0.9054637798389417
9,2,0.43443346054825405,0.8777777777777777,0.8777777777777777,0.9317073170731707
9,3,0.5166854996299182,0.8785185185185185,0.9081481481481483,0.9664672488380696
9,4,0.5235483937673144,0.9722222222222221,0.9888888888888889,0.9952566601689409
9,5,0.5741598892760551,0.8855192165558019,0.9225671347622567,0.9104914661272243
10,2,0.39136214183930507,0.9057894736842105,0.9057894736842105,0.9580545876887341
10,3,0.5080462302242061,0.8690476190476192,0.8723809523809525,0.9104495131385889
10,4,0.5377000063655086,0.9198198198198201,0.9417567567567569,0.9569649122807018
10,5,0.5556747647555291,0.8903797692990241,0.9027222715173027,0.8613489409141584
