r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.03958799354046436,1.0,1.0,1.0
1,3,0.18902048645075778,1.0,1.0,1.0
1,4,0.12270038805123487,0.9833333333333332,1.0,0.9994949494949494
1,5,0.3334461471499652,0.97,1.0,0.9978787878787878
2,2,0.1414397582511453,1.0,1.0,1.0
2,3,0.16780419255154105,0.95,0.95,0.9
2,4,0.26823288328319383,0.9583333333333334,1.0,0.9664351851851851
2,5,0.3180248339104633,0.9416666666666667,0.9466666666666667,0.8885135135135135
3,2,0.1040371851005191,1.0,1.0,1.0
3,3,0.18700544713043055,0.9,0.9428571428571428,0.8657142857142857
3,4,0.37281676771336725,0.8555555555555557,0.8666666666666668,0.8554131054131056
3,5,0.17319737696281826,1.0,1.0,1.0
4,2,0.17332488992638778,1.0,1.0,1.0
4,3,0.1253664901871096,0.9800000000000001,0.9800000000000001,0.95
4,4,0.23178009356870347,0.9333333333333333,0.9875,0.9332341269841269
4,5,0.29765829755932255,0.93,0.9475,0.9040555555555556
5,2,0.1752697502522022,0.9555555555555555,0.9555555555555555,0.9199999999999999
5,3,0.2769719612809467,0.8666666666666668,0.8666666666666668,0.8790243902439026
5,4,0.24949607416633562,0.9121568627450982,0.9294117647058824,0.8792486772486772
5,5,0.2985481754224977,0.974,0.96,0.9986122448979591
6,2,0.23434240226934885,0.9303030303030303,0.9303030303030303,0.9324561403508772
6,3,0.355588548690959,0.9166666666666667,0.9166666666666667,0.9105943152454781
6,4,0.37487632260740805,0.9444444444444446,0.95,0.9708912037037039
6,5,0.4275554674929172,0.947051282051282,0.9656410256410257,0.9231735335643692
7,2,0.18003054922491651,0.9241758241758242,0.9241758241758242,0.9417389627915943
7,3,0.34417455958470466,0.9360902255639099,0.9323308270676691,0.9420007382798079
7,4,0.3939356481447624,0.9380952380952381,0.9428571428571428,0.9655929038281978
7,5,0.4715533154014825,0.8842857142857143,0.9085714285714286,0.8908771929824562
8,2,0.18442994441808155,0.9866666666666667,0.9866666666666667,0.975
8,3,0.3578220110336032,0.9125,0.9,0.9163120567375886
8,4,0.3941632658856702,0.8979166666666668,0.93125,0.9236496913580247
8,5,0.4575508812495336,0.8519551282051282,0.9282478632478632,0.8344833908541845
9,2,0.2947261409091819,0.8666666666666668,0.8666666666666668,0.9311653116531164
9,3,0.4381073658246558,0.942962962962963,0.9235555555555555,0.9688393560733987
9,4,0.45660189523626415,0.9055555555555556,0.9388888888888889,0.9599415204678362
9,5,0.5010244489152709,0.8548330869672333,0.9445577728504556,0.8332453543155388
10,2,0.31075441755310285,0.908421052631579,0.908421052631579,0.9583275261324042
10,3,0.39334808424745094,0.8611904761904763,0.8504761904761905,0.8659290382819794
10,4,0.46850398245545677,0.9307657657657658,0.9475675675675677,0.9315073099415203
10,5,0.4016316925218247,0.854743566992014,0.8939662821650399,0.8288017574922947
