r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.014327725137053392,1.0,1.0,1.0
1,3,0.021428050026598047,0.9,0.9,0.9
1,4,0.02411351305398375,0.9833333333333332,1.0,0.9994949494949494
1,5,0.037377736786824295,0.9949999999999999,1.0,0.9995454545454546
1,6,0.052408390507806976,0.9866666666666667,1.0,0.9985858585858587
1,7,0.027999895477850183,0.8738095238095237,0.9,0.8935786435786437
1,8,0.04592309873600844,0.9142857142857143,0.9875,0.99505772005772
1,9,0.07640168027508207,0.9333333333333332,0.9888888888888889,0.9913299663299661
1,10,0.03915022662301905,1.0,1.0,1.0
2,2,0.011137678594005605,0.9333333333333333,0.9333333333333333,0.9
2,3,0.019810933812243144,1.0,1.0,1.0
2,4,0.025609554651362693,0.9583333333333334,1.0,0.9969907407407407
2,5,0.06237177330241629,0.9525,0.97,0.9941891891891892
2,6,0.052481376685028905,0.9616666666666667,0.9916666666666666,0.9961842105263159
2,7,0.03579419892583047,0.9726190476190476,0.9928571428571429,0.9981990231990231
2,8,0.07343649500752941,0.9562499999999998,0.99375,0.9935714285714287
2,9,0.05359610740781666,0.9520833333333332,0.9844444444444445,0.945257965837234
2,10,0.030342861775666953,0.9816666666666667,1.0,0.9979629629629632
3,2,0.015069355743342634,0.9800000000000001,0.9800000000000001,0.9666666666666666
3,3,0.017921894191516907,0.9944444444444445,1.0,0.9998498498498499
3,4,0.04369984670195556,0.9638888888888889,0.9888888888888889,0.9657407407407407
3,5,0.04097820782111533,0.9328787878787879,0.9684848484848484,0.9303208086134915
3,6,0.04865978395820727,0.9733333333333334,1.0,0.9982170542635658
3,7,0.030255826659739738,0.9551587301587302,0.9771428571428572,0.9327510320367463
3,8,0.058322689937667004,0.9392366946778712,0.9816176470588236,0.9600092874029045
3,9,0.04617162609136688,0.9464181286549707,0.9857699805068227,0.9285052910052911
3,10,0.05945934785676073,0.9567195767195766,0.9952380952380953,0.9638053740014524
4,2,0.018922289389976803,1.0,1.0,1.0
4,3,0.023812496271290055,0.975,0.9916666666666666,0.9987179487179487
4,4,0.03621344597626262,0.9700320512820513,0.9846153846153847,0.9492063492063492
4,5,0.0368756389295563,0.9712499999999998,1.0,0.9991140572390572
4,6,0.052982702413366424,0.9070334928229666,0.9765948963317385,0.9443582006235255
4,7,0.07283897092273808,0.883155844155844,0.9373376623376624,0.954054135543106
4,8,0.08016609569417987,0.9018494897959185,0.95625,0.9793172398589066
4,9,0.06455905747545894,0.9326388888888888,0.9753968253968253,0.9429977473445519
4,10,0.10379692077564293,0.869826164874552,0.9587741935483871,0.9312705156136529
5,2,0.017596336174147735,0.9788888888888888,0.9788888888888888,0.9797297297297298
5,3,0.025042269680336116,0.9833333333333334,0.9933333333333334,0.9994308943089433
5,4,0.047461842490768937,0.9491176470588234,0.9641176470588235,0.9704814814814814
5,5,0.059521012410862426,0.9338154761904761,0.9820714285714285,0.955977806122449
5,6,0.04654747884533099,0.9643809523809524,1.0,0.9968655814527068
5,7,0.09537723449423433,0.8841204844006567,0.945939039408867,0.9499306818243867
5,8,0.082923427685447,0.8978407224958949,0.9744923371647509,0.9668172855484187
5,9,0.06795273844106371,0.9167342342342343,0.9879279279279279,0.9708532013795171
5,10,0.08498907230704568,0.9222121212121213,0.9800909090909091,0.991438770032973
6,2,0.01972584438107253,0.9818181818181818,0.9818181818181818,0.9666666666666668
6,3,0.02498420249106833,0.9743055555555555,0.99375,0.9828165374677003
6,4,0.06578671403905094,0.9174603174603175,0.930952380952381,0.939783950617284
6,5,0.05557487934834129,0.9186538461538459,0.9561538461538464,0.9710849056603775
6,6,0.07243627748127249,0.9044889383265359,0.9424298603386477,0.9474000578327191
6,7,0.05285902806279748,0.9526862026862029,0.9904761904761905,0.9957253086419755
6,8,0.07870578869311454,0.9165030091859357,0.9844927937915742,0.9726881757655246
6,9,0.08219772583173156,0.9006624928161437,0.950620556930207,0.9447606420070663
6,10,0.07812786760850568,0.8777112079399659,0.9544117647058824,0.9429652855196334
7,2,0.016388762238989378,0.9923076923076923,0.9923076923076923,0.9857142857142858
7,3,0.03273499104905743,0.9642857142857142,0.9714285714285715,0.9974074074074075
7,4,0.045078424623379666,0.9511904761904761,0.9785714285714286,0.9961484593837534
7,5,0.04267344924846654,0.9543934670642452,0.9906912442396314,0.969223422156019
7,6,0.0753578485983368,0.8973667953667954,0.9695109395109395,0.9484878035128379
7,7,0.048513243383116425,0.9317245998500511,0.9737561131631619,0.9493576328203657
7,8,0.05852276068210845,0.933800802372231,0.9845665445665445,0.9797281913792512
7,9,0.08314328804845597,0.9088564213564213,0.9727849927849928,0.973844052249684
7,10,0.08453423761550058,0.9040922619047619,0.9767410714285715,0.9858498043747087
8,2,0.05195179606542596,0.9554166666666667,0.9554166666666667,0.95234375
8,3,0.028843359332380254,0.9609848484848487,0.9780303030303031,0.9611662726556343
8,4,0.06387430979754069,0.9304956896551724,0.9533405172413794,0.9357150962236748
8,5,0.07606120869215126,0.9250320512820513,0.9743376068376068,0.9798821631435144
8,6,0.05282301977786981,0.9041848648137645,0.9715919833616942,0.9550559187700582
8,7,0.0743076968043419,0.9285740140696985,0.9781564776050926,0.9570066065677478
8,8,0.07280194666679755,0.8888009085213033,0.9563870614035087,0.9570854607790583
8,9,0.06521534777813962,0.9266940039386402,0.9703125,0.9726526496586059
8,10,0.09405409072991484,0.8775893499132934,0.9594627902550437,0.9492924815080886
9,2,0.039941289796617784,0.9437908496732026,0.9437908496732026,0.9602981029810298
9,3,0.020434081529667178,0.9785925925925927,0.9842962962962964,0.9664005081938214
9,4,0.05374509175743636,0.9393939393939394,0.9717171717171716,0.9655737852862607
9,5,0.04431282132939778,0.9209324956885933,0.9606541019955653,0.9359494710662742
9,6,0.054635490834745504,0.9226039304610734,0.9660997732426304,0.9666894315125243
9,7,0.08714311980592385,0.8640299823633157,0.9447841826789196,0.9169856369053899
9,8,0.0876148515086015,0.8919853161945737,0.9450868094190176,0.9370350631345991
9,9,0.07532957996311526,0.9359272564936681,0.9693571492523949,0.9463976711391346
9,10,0.07717768058954269,0.9062277091906719,0.9693827160493826,0.9300078997648441
10,2,0.014192684924394825,0.9789473684210528,0.9789473684210528,0.9600000000000002
