r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.643969197064678,0.0,0.0,0.3
1,3,0.7140867921548768,0.0,0.0,0.26666666666666666
1,4,0.6338665358874876,0.016666666666666666,0.0,0.47777777777777775
1,5,0.7322869308092329,0.05,0.04,0.28272727272727266
2,2,0.617936597723482,0.0,0.0,0.338235294117647
2,3,0.5823213566869985,0.0,0.0,0.32167388167388167
2,4,0.6510969397510691,0.0,0.0,0.38425925925925924
2,5,0.6094253968971156,0.015000000000000003,0.02,0.3074733824733825
3,2,0.6612634126170882,0.0,0.0,0.3304761904761905
3,3,0.5951404409638517,0.0,0.0,0.2711454311454311
3,4,0.6122561175529124,0.03888888888888888,0.03333333333333333,0.435042735042735
3,5,0.633346057975913,0.003333333333333333,0.0,0.37211382113821145
4,2,0.6742705413391346,0.0,0.0,0.3465277777777778
4,3,0.5935862506340421,0.0,0.0,0.3792504042504043
4,4,0.6496329615115133,0.004166666666666667,0.0125,0.43154761904761907
4,5,0.6002678541104881,0.02,0.0,0.4173170731707317
5,2,0.6378611886560429,0.0,0.0,0.2723873873873874
5,3,0.6492657659419393,0.0,0.0,0.30081300813008127
5,4,0.5794326085247322,0.00392156862745098,0.011764705882352941,0.36112698412698413
5,5,0.6249540327410934,0.002,0.0,0.41518367346938767
6,2,0.6080472619372973,0.0,0.0,0.32091038406827876
6,3,0.6321817145895655,0.00625,0.0125,0.42729879624377637
6,4,0.6468420499715414,0.01944444444444444,0.008333333333333333,0.38535879629629627
6,5,0.6120485720988249,0.015256410256410256,0.0,0.40173276857912976
7,2,0.6610930833419737,0.0,0.0,0.24858299595141703
7,3,0.5961354316277353,0.014786967418546366,0.019047619047619046,0.39144825889011936
7,4,0.6073999972890969,0.016666666666666666,0.02857142857142857,0.4288515406162465
7,5,0.5733224441230335,0.03571428571428572,0.017142857142857144,0.540451127819549
8,2,0.6352401493195712,0.0,0.0,0.3686378205128205
8,3,0.6401681419325879,0.008333333333333333,0.016666666666666666,0.3921099290780142
8,4,0.5856937903931587,0.010416666666666666,0.01875,0.4596836419753087
8,5,0.5610934189277001,0.023878205128205127,0.02012820512820513,0.4313547598504458
9,2,0.6389701269490545,0.0,0.0,0.367479674796748
9,3,0.5958127676075071,0.030222222222222223,0.03822222222222223,0.45547032051591324
9,4,0.5961951452054072,0.009259259259259259,0.01111111111111111,0.44762833008447045
9,5,0.5577786291116869,0.02155518600640552,0.02717171717171717,0.4875260978585773
10,2,0.6384092039087841,0.0,0.0,0.29764808362369344
10,3,0.5887748688452918,0.01666666666666667,0.013333333333333332,0.4316820061357876
10,4,0.5500732876479342,0.02027027027027027,0.015000000000000003,0.462437134502924
10,5,0.5201743241160738,0.009168589174800354,0.008163265306122448,0.4542692679301375
