r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.055521223791825024,0.8,0.8,0.8
1,3,0.08469264748257134,0.9,0.8,0.9926666666666666
1,4,0.07573693308577734,1.0,1.0,1.0
1,5,0.13614315881303213,0.8099999999999999,0.8400000000000001,0.9490000000000001
2,2,0.14797213429913586,0.65,0.65,0.9
2,3,0.07140133597749015,0.85,0.8833333333333332,0.8974358974358975
2,4,0.1473248399198816,0.7066666666666667,0.77,0.8139088050314467
2,5,0.1333186455201559,0.8661111111111112,0.9466666666666667,0.7943518518518519
3,2,0.11175424708641794,0.8133333333333332,0.8133333333333332,0.8685646053293112
3,3,0.110778723130516,0.8682539682539682,0.8539682539682539,0.885786641342197
3,4,0.1237791073076541,0.85,0.85,0.9427579365079366
3,5,0.16121154578212432,0.72875,0.8099999999999999,0.8228193474069065
4,2,0.16072877370627286,0.8214285714285714,0.8214285714285714,0.8518867924528302
4,3,0.09722317396528156,0.8716666666666667,0.8633333333333333,0.940922619047619
4,4,0.12248876920313878,0.8989926739926739,0.9252747252747253,0.8512346588575961
4,5,0.14713448294870834,0.8176315789473685,0.8220614035087719,0.8030041616239947
5,2,0.19557111093772764,0.7133333333333333,0.7133333333333333,0.8214675052410902
5,3,0.16536872189251123,0.7986446886446886,0.8719413919413921,0.812559559819088
5,4,0.16403214488959686,0.8374074074074074,0.9077777777777778,0.876820788530466
5,5,0.23544070907467876,0.7235833333333334,0.8113333333333334,0.8136680652680652
6,2,0.10469122085737573,0.7954545454545454,0.7954545454545454,0.9460493827160494
6,3,0.1835919694410291,0.7953839869281045,0.8237745098039216,0.8754275169383294
6,4,0.06079374065918319,0.9146825396825399,0.9642857142857142,0.9636255858836504
6,5,0.08964114055130405,0.9133333333333333,0.9720000000000001,0.9306648351648352
7,2,0.12742912158792014,0.7547619047619047,0.7547619047619047,0.8272675736961451
7,3,0.10710973906977543,0.8380952380952381,0.8952380952380953,0.9847926267281105
7,4,0.16981103223589317,0.7654244306418221,0.820807453416149,0.8721651053583827
7,5,0.15648995875677546,0.8148084677419355,0.8940783410138249,0.8535381605760868
8,2,0.14964801024059443,0.8375,0.8375,0.9368421052631579
8,3,0.125217876602367,0.8875,0.9166666666666666,0.971484375
8,4,0.09968083737249842,0.8430699233716474,0.9132040229885057,0.9077193062109515
8,5,0.2303238216027561,0.7419871794871794,0.7794871794871795,0.7687476093726094
9,2,0.16931166744420648,0.757516339869281,0.757516339869281,0.8746454258250992
9,3,0.12504470431433728,0.8500740740740742,0.8802962962962964,0.9544595258136924
9,4,0.14298760067660174,0.8337460627783209,0.8566959921798631,0.8473117228271342
9,5,0.14362220720215318,0.8360858585858587,0.8686868686868687,0.8955697748335508
10,2,0.18369134281674487,0.7373684210526317,0.7373684210526317,0.8781385154880187
10,3,0.07519732469808912,0.8869047619047619,0.9247619047619047,0.954882650029709
10,4,0.14300921057312993,0.8127443609022558,0.8415413533834586,0.8780956456456457
10,5,0.17153132871967963,0.7499973674329429,0.8314550019822915,0.8324121129214138
