r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.0033869658727378573,0.7,0.7,0.798
1,3,0.047862157980145356,0.9333333333333332,1.0,0.9966666666666667
1,4,0.02705169400688006,1.0,1.0,1.0
1,5,0.14422768428533392,0.85,0.9199999999999999,0.9272
2,2,0.14906618868270916,0.75,0.75,0.8960784313725491
2,3,0.02136468703153167,0.95,0.95,0.9
2,4,0.1563184037856023,0.7933333333333332,0.835,0.790251572327044
2,5,0.17618030086098893,0.8511111111111112,0.9466666666666667,0.7593518518518518
3,2,0.08515611990386589,0.8133333333333332,0.8133333333333332,0.8653594771241829
3,3,0.10039358946862738,0.8682539682539682,0.9047619047619048,0.8660414688192466
3,4,0.1332095658619253,0.8111111111111109,0.85,0.9239087301587302
3,5,0.18434071490915319,0.7391666666666667,0.8233333333333335,0.7820114942528735
4,2,0.1604888461432204,0.7714285714285715,0.7714285714285715,0.843867924528302
4,3,0.09110076439435943,0.8800000000000001,0.8966666666666667,0.8982142857142857
4,4,0.11949833739987832,0.9073260073260073,0.956043956043956,0.8497036862990811
4,5,0.13372002873465133,0.8382017543859648,0.8687280701754385,0.7793079058699102
5,2,0.18436644459327417,0.7533333333333333,0.7533333333333333,0.7984975541579316
5,3,0.17251876713292724,0.8088644688644688,0.8165567765567765,0.772175697865353
5,4,0.18430004746552692,0.8555555555555555,0.8977777777777778,0.8383870967741934
5,5,0.28654906223031806,0.7293333333333333,0.8436666666666666,0.744018648018648
6,2,0.07143632839270231,0.7742424242424242,0.7742424242424242,0.929354657687991
6,3,0.23137448031469585,0.7405228758169934,0.7807189542483661,0.8257407407407407
6,4,0.08846359228158086,0.8591269841269842,0.9154761904761906,0.958019023986766
6,5,0.09019409196012076,0.906,0.9653333333333333,0.9091135531135531
7,2,0.083440488931236,0.8476190476190476,0.8476190476190476,0.8278061224489794
7,3,0.10398138339061261,0.8666666666666666,0.8952380952380953,0.9461597542242703
7,4,0.19749770048918264,0.8023809523809524,0.7962732919254659,0.8122843581877195
7,5,0.20566203715886933,0.808297811059908,0.8647695852534563,0.8089556800261025
8,2,0.10151969846744172,0.85,0.85,0.9232456140350876
8,3,0.09803281064800876,0.8958333333333333,0.9083333333333334,0.9240885416666668
8,4,0.10721852018704552,0.8846408045977012,0.9326005747126438,0.8819449947768451
8,5,0.3352837528588507,0.7038461538461539,0.7222222222222222,0.7368151105651106
9,2,0.13788985594576814,0.8045751633986928,0.8045751633986928,0.8649257242723667
9,3,0.11318996142520696,0.8300740740740741,0.8328888888888889,0.8869703984287318
9,4,0.15554213109245268,0.8122949929401543,0.8378462039752363,0.8015184300446598
9,5,0.1588825112319388,0.8507323232323232,0.8461616161616161,0.8677267556626184
10,2,0.16950631029784624,0.8184210526315789,0.8184210526315789,0.8394915254237288
10,3,0.04771015655357007,0.9121428571428571,0.9366666666666668,0.931745395127748
10,4,0.1758112536453484,0.8157644110275688,0.8560902255639098,0.8228590187590188
10,5,0.24700991394526647,0.729549778591671,0.7696169457607279,0.7924227456187468
