r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.055881580015525414,0.6,0.6,0.79
1,3,0.10078018442201983,0.8333333333333333,0.9333333333333332,0.9853333333333334
1,4,0.23428353042002037,0.7333333333333332,0.95,0.9253333333333333
1,5,0.4437608866870346,0.47000000000000003,0.6,0.8328
2,2,0.22308239996193216,0.65,0.65,0.9382352941176471
2,3,0.2551237344021712,0.6166666666666667,0.6833333333333333,0.8442307692307691
2,4,0.23976626293425074,0.5666666666666667,0.64,0.8122295597484277
2,5,0.37565725467323524,0.44222222222222224,0.7222222222222221,0.7456973445143256
3,2,0.14008252108533337,0.78,0.78,0.8931875314228256
3,3,0.11389774614626784,0.7396825396825396,0.7809523809523811,0.9232114593225704
3,4,0.25812731415579215,0.6611111111111111,0.8166666666666668,0.9143849206349206
3,5,0.26481769146046286,0.5466666666666666,0.7116666666666667,0.8191469461347758
4,2,0.12701513363802835,0.7214285714285714,0.7214285714285714,0.910377358490566
4,3,0.2254102497073697,0.6416666666666666,0.7533333333333333,0.8899526014109348
4,4,0.2318336869207815,0.646565934065934,0.824587912087912,0.8656532972615153
4,5,0.25677440006360513,0.5598684210526316,0.6997368421052632,0.7997632583482813
5,2,0.20296563843933324,0.4822222222222223,0.4822222222222223,0.925611460517121
5,3,0.09921376937354233,0.7403663003663004,0.8309890109890109,0.9081641604010026
5,4,0.19866209067754595,0.6807407407407408,0.8188888888888888,0.9486039426523298
5,5,0.2971462509221844,0.5769166666666667,0.796,0.8849271173271174
6,2,0.1404009628033559,0.696969696969697,0.696969696969697,0.9430190796857463
6,3,0.20655927172413518,0.673202614379085,0.7730392156862745,0.908440699612529
6,4,0.17154774092781952,0.6726190476190476,0.8119047619047619,0.9319092914254206
6,5,0.1956120740975744,0.6816666666666666,0.8640000000000001,0.9202875457875457
7,2,0.14729887340478806,0.6523809523809524,0.6523809523809524,0.8546579743008313
7,3,0.18968713126207354,0.719047619047619,0.7999999999999999,0.9530721966205838
7,4,0.2773588506726807,0.5903726708074533,0.7391304347826088,0.8660786536836957
7,5,0.1895372080841483,0.6530184331797235,0.8458179723502305,0.9126643645657732
8,2,0.20705452091306137,0.6125,0.6125,0.9478070175438595
8,3,0.23598123334257876,0.6916666666666667,0.7833333333333333,0.9448567708333334
8,4,0.17036296384091693,0.704147509578544,0.8226580459770115,0.9004173520806568
8,5,0.2136743820296064,0.6443376068376068,0.8175213675213675,0.9271396077646077
9,2,0.2099616879349738,0.6013071895424836,0.6013071895424836,0.9174228675136117
9,3,0.1674302897882603,0.7146666666666667,0.7896296296296297,0.9358778759820426
9,4,0.21798602801634587,0.6345335071141521,0.7708374063212773,0.8531397186122639
9,5,0.19267620255091383,0.7195202020202021,0.845959595959596,0.9352582890026431
10,2,0.18534307382277576,0.6357894736842106,0.6357894736842106,0.945873758036236
10,3,0.15984670589388206,0.6902380952380953,0.7833333333333334,0.9241414141414142
10,4,0.18208992759197742,0.6714536340852132,0.7840601503759398,0.9112693963443963
10,5,0.2542358180815111,0.61693019606856,0.7645280572913717,0.8575790017027367
