r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.12080695039551011,0.9,0.9,0.9970000000000001
1,3,0.08633166720092628,0.75,0.8,0.891
1,4,0.09051857275175654,0.8,0.8,0.8948333333333334
1,5,0.050695440035311415,0.865,0.9800000000000001,0.999
1,6,0.14310768387871523,0.8099999999999999,0.9166666666666666,0.9601333333333333
1,7,0.11851208648699903,0.830952380952381,0.9285714285714285,0.962904761904762
1,8,0.08686918390134743,0.775,0.8375,0.8689642857142857
1,9,0.11733925948392232,0.8444444444444444,0.9444444444444444,0.9544999999999998
1,10,0.106644769936926,0.7722222222222223,0.8300000000000001,0.8562444444444445
2,2,0.09194650091500625,0.775,0.775,0.9911764705882353
2,3,0.08446318023909373,0.8383333333333333,0.85,0.9932692307692308
2,4,0.11651712753467099,0.8108333333333334,0.8758333333333332,0.9173232519422865
2,5,0.09035702299884049,0.7652777777777777,0.8800000000000001,0.8833263452131377
2,6,0.08347438968082527,0.9183333333333333,0.9333333333333333,0.9889696969696968
2,7,0.13229900058277747,0.7955026455026454,0.9142857142857144,0.9606192476990796
2,8,0.16391972317685902,0.8334325396825397,0.8834722222222222,0.8843371503641178
2,9,0.12948016012085528,0.839102564102564,0.9115384615384616,0.9453092243186584
2,10,0.11527113313136299,0.8815873015873017,0.925,0.9654513555768753
3,2,0.09002155157224022,0.8233333333333335,0.8233333333333335,0.9599107591754652
3,3,0.09834565529195786,0.7738095238095237,0.8214285714285715,0.8829138968027855
3,4,0.11308264093464537,0.8222222222222223,0.8972222222222221,0.9547619047619047
3,5,0.1362801122609479,0.8419480519480519,0.9059090909090909,0.9087039746120205
3,6,0.07449385805113748,0.8758119658119659,0.9534188034188036,0.9551986531986533
3,7,0.1446640576568978,0.8224603174603177,0.8874603174603175,0.9148980149741689
3,8,0.16350584778168742,0.8442908902691512,0.9028260869565218,0.9499725706254722
3,9,0.08044409830992978,0.8991715399610136,0.9857699805068225,0.9606050930763572
3,10,0.09834584090435619,0.8717658062102508,0.9319191919191919,0.9673861875234422
4,2,0.1624850160214404,0.6696428571428571,0.6696428571428571,0.9349600870827285
4,3,0.14143742022334777,0.7841666666666667,0.8283333333333334,0.9188822751322752
4,4,0.09526714109771013,0.7780448717948717,0.8288461538461538,0.9350976089588379
4,5,0.10528075660213469,0.8364154411764705,0.9103676470588236,0.9327020371033727
4,6,0.17416079983440577,0.8271212121212121,0.9049242424242425,0.9392280653469177
4,7,0.13901576888104888,0.8343051948051947,0.9093116883116885,0.9313393378443188
4,8,0.1011171194895412,0.8293588709677421,0.9288951612903226,0.9214313419579978
4,9,0.09157612602402951,0.9013581007115489,0.963861521620142,0.9438374878440176
4,10,0.08225526492849797,0.9027974084141068,0.9632249089696907,0.9643445556955292
5,2,0.10523403997811356,0.7333333333333333,0.7333333333333333,0.9494129979035639
5,3,0.11745774731241958,0.7497435897435897,0.8294139194139195,0.9163528073056204
5,4,0.087399355481241,0.818888888888889,0.9033333333333333,0.9676433691756273
5,5,0.1589194471416239,0.7657281746031747,0.8319603174603174,0.8822904106888798
5,6,0.20308836243911546,0.7480512820512821,0.837981684981685,0.847864670623494
5,7,0.17660486343404655,0.7755747126436779,0.8815106732348112,0.8261342700025563
5,8,0.13988199811180807,0.8209503731562554,0.9251573426573426,0.9443015550428783
5,9,0.13604403346597155,0.8753060173660503,0.9613526355302671,0.9213962451316637
5,10,0.18191138173023466,0.8246534033342542,0.9037278253661235,0.9059473961417396
6,2,0.10762785602675831,0.7462121212121213,0.7462121212121213,0.9415824915824917
6,3,0.14870922954720872,0.7540236928104574,0.8263235294117646,0.8897910849189341
6,4,0.11995664090609122,0.7957630819472925,0.8818580542264751,0.9237369311294042
6,5,0.1883238623622431,0.7687820512820513,0.8341379310344827,0.8817732919254659
6,6,0.13772428189127378,0.7889173155357805,0.8947302255471463,0.8797301765593467
6,7,0.08981565635029927,0.8276414326414325,0.925923010923011,0.9278198549417036
6,8,0.16001463891941042,0.8118820636592696,0.9040296910028902,0.8917842249426344
6,9,0.15960602653105033,0.8316237676538198,0.9119405694318585,0.9264218337053552
6,10,0.1461386723740832,0.8469606646077233,0.9418638224520578,0.9122613713335452
7,2,0.1432171990738686,0.6604395604395604,0.6604395604395604,0.9531516697588127
7,3,0.11346228390768169,0.7942857142857143,0.8616666666666666,0.981020372189066
7,4,0.11341577524664617,0.7854285714285716,0.8585714285714285,0.9404212454212454
7,5,0.14605294958454806,0.7776527062437879,0.8827855951764871,0.9254251142392041
7,6,0.15070229656256903,0.7963887759940392,0.8924495360021677,0.9447768813058286
7,7,0.1211293760739102,0.832708636449067,0.9114332429831491,0.8960354438450159
7,8,0.11776597540041751,0.779442346635624,0.9028194550547491,0.8902507173470312
7,9,0.12880540890242023,0.8223698988099208,0.9138515677686625,0.8528447922904734
7,10,0.20509082498562078,0.7728923346808558,0.8799153625002354,0.8561148620741152
8,2,0.11225898011988089,0.7795833333333333,0.7795833333333333,0.9622748276942354
8,3,0.12044754669309184,0.7685111989459815,0.8350625823451908,0.9364861684481142
8,4,0.1313608250088293,0.8218917624521073,0.9070186781609195,0.9473609591443232
8,5,0.1730946408152238,0.7298848945875156,0.8247414846608395,0.873131143852883
8,6,0.16747922067626536,0.8024806565868305,0.8941454250637275,0.9239797233859607
8,7,0.14708351953721635,0.8072243999031435,0.9088366930473513,0.8945567116890534
8,8,0.1457754941030252,0.8206638192158522,0.8998574989689176,0.889646312816249
8,9,0.18459626018218048,0.804457405863739,0.9100022916784821,0.8830264903101828
8,10,0.15770566059376911,0.8132990095607463,0.9154306882227348,0.9007678403868005
9,2,0.12277473056409385,0.6986928104575163,0.6986928104575163,0.928676816562479
9,3,0.10550240011817824,0.7660837359098228,0.8460161030595813,0.9325731553890158
9,4,0.1539915972692291,0.7545716494483099,0.8390254537787746,0.9115479409974034
9,5,0.15202231169377706,0.7871749727237531,0.8792998803364656,0.8781555416447799
9,6,0.1217595217411805,0.8291451700387868,0.908847981917891,0.9122405318279663
9,7,0.1971995115506851,0.7974998799681197,0.8912874139371418,0.9035266097293411
9,8,0.1833814754310271,0.7872010723781908,0.9002064185443555,0.9119436283408453
9,9,0.17335509057285603,0.7956810877863509,0.9147668402054367,0.9190770804738978
9,10,0.1602072254374095,0.8373902795653251,0.9292886544618553,0.9388962745463578
10,2,0.10568485609801896,0.765701754385965,0.765701754385965,0.9486980272129768
10,3,0.1366174407381982,0.7666849816849817,0.8298168498168497,0.9492050096553776
10,4,0.1447433095680061,0.7884887895414211,0.8583717740296688,0.9395031273156272
10,5,0.16546133831200846,0.8111802721088436,0.8924440271558574,0.8881445543861141
10,6,0.18202930703886522,0.7625128754471628,0.8616467976227249,0.903640974343821
10,7,0.1396565296617074,0.782334991498404,0.8920951098506897,0.8837373108212535
10,8,0.1873335690690868,0.780457882532419,0.8943826136641941,0.9258577301613414
10,9,0.19394889311793184,0.7954861582511902,0.90603902570877,0.8919473089309367
10,10,0.1947550319259484,0.7991874536673265,0.8960437449957919,0.8593416051332294
