r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.030589612450714475,0.8,0.8,0.8
1,3,0.18801828747774324,0.7,0.6666666666666666,0.9746666666666666
1,4,0.1482417548230129,0.85,0.9,0.9833333333333332
1,5,0.2521958178800137,0.71,0.8800000000000001,0.8122
2,2,0.10925849376448116,0.65,0.65,0.9901960784313726
2,3,0.1463077584248285,0.6583333333333334,0.6333333333333333,0.8677564102564101
2,4,0.23903875761220533,0.595,0.665,0.771930817610063
2,5,0.11842820876965424,0.8188888888888888,0.9133333333333333,0.858353086419753
3,2,0.10376526852377133,0.7733333333333333,0.7733333333333333,0.8882604323780795
3,3,0.15093040250789896,0.7079365079365079,0.7746031746031745,0.9014798987021209
3,4,0.20378211430234588,0.6777777777777778,0.7333333333333333,0.912797619047619
3,5,0.1545438832417797,0.7079166666666666,0.8716666666666668,0.8688686049132297
4,2,0.11647938803852731,0.8464285714285713,0.8464285714285713,0.8877358490566039
4,3,0.15429298693873048,0.7216666666666667,0.7366666666666666,0.9078207671957672
4,4,0.09386496583895945,0.7954212454212454,0.9274725274725275,0.9335200200359655
4,5,0.14972900386190258,0.7228399122807018,0.8969736842105263,0.8599933585490925
5,2,0.10892951047578707,0.7333333333333333,0.7333333333333333,0.9454647099930117
5,3,0.12091738426760992,0.6976923076923077,0.7591208791208791,0.8785064673177196
5,4,0.14730574517355227,0.7503703703703705,0.8099999999999999,0.9571881720430108
5,5,0.20234618634180848,0.6434166666666666,0.7950000000000002,0.9121578865578867
6,2,0.10871122943326635,0.7439393939393939,0.7439393939393939,0.9431313131313133
6,3,0.17853648122815677,0.6665441176470589,0.7494281045751634,0.8839780721691884
6,4,0.1362539899557056,0.8111111111111111,0.8142857142857143,0.9304046043562174
6,5,0.1408880778642833,0.8026666666666668,0.8213333333333332,0.9290238095238095
7,2,0.08633794276069588,0.7547619047619047,0.7547619047619047,0.8782879818594104
7,3,0.18126426061298942,0.6619047619047619,0.6857142857142857,0.9342549923195087
7,4,0.17999285645221635,0.6834368530020706,0.822360248447205,0.9168806411453468
7,5,0.19508260396023705,0.6671500576036866,0.7680472350230414,0.8971545515046522
8,2,0.11065537184621232,0.825,0.825,0.9631578947368421
8,3,0.13560000351728796,0.8041666666666666,0.8833333333333334,0.9810546875
8,4,0.13880670551014712,0.783955938697318,0.8698275862068965,0.9227903466193581
8,5,0.19467056609343442,0.6810897435897435,0.7658119658119658,0.9436732374232374
9,2,0.10495159232436216,0.761437908496732,0.761437908496732,0.9230758889561066
9,3,0.11555553925909164,0.7805925925925926,0.7914074074074074,0.9490425084175085
9,4,0.12916100226577915,0.7641142608884544,0.86673183447377,0.9056677722834081
9,5,0.17501206100938363,0.7602272727272728,0.8143434343434344,0.9337642610994011
10,2,0.10732551368163316,0.7368421052631579,0.7368421052631579,0.9621537112799533
10,3,0.12243439127670501,0.7597619047619049,0.8080952380952381,0.931782531194296
10,4,0.1549838608121609,0.6876942355889724,0.7327067669172933,0.8921697450697451
10,5,0.18067160301777954,0.6575432695434017,0.7390073439181408,0.9047152678453368
