r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.5728530257267066,0.0,0.0,0.29800000000000004
1,3,0.6278616456596111,0.0,0.0,0.394
1,4,0.624531594037806,0.03333333333333333,0.0,0.48699999999999993
1,5,0.694971690510946,0.030000000000000006,0.0,0.3772
2,2,0.746045633973071,0.0,0.0,0.2833333333333333
2,3,0.5780904216668372,0.0,0.0,0.4281153846153846
2,4,0.5938404440404675,0.008333333333333333,0.0,0.40904402515723276
2,5,0.5985071761006309,0.005,0.0,0.3331449802003261
3,2,0.5768860728183369,0.0,0.0,0.42445952740070386
3,3,0.5821642991126832,0.0,0.0,0.434639126305793
3,4,0.635666219808624,0.02222222222222222,0.03333333333333333,0.4961309523809524
3,5,0.6189690548239348,0.01,0.0,0.37514323992687754
4,2,0.6133632188532958,0.0,0.0,0.4010250362844703
4,3,0.6461080580918512,0.0,0.0,0.4231812169312169
4,4,0.5870476878514616,0.03397435897435897,0.03076923076923077,0.41190305831669577
4,5,0.6041788388280567,0.005131578947368421,0.0,0.35581084925474027
5,2,0.6500308546460821,0.0,0.0,0.32442348008385735
5,3,0.5817294869305126,0.023076923076923078,0.03076923076923077,0.4329532163742689
5,4,0.6160963596647898,0.006666666666666666,0.01,0.42027777777777775
5,5,0.6345615971236315,0.014416666666666666,0.016666666666666666,0.4506099456099456
6,2,0.6005779993667918,0.03636363636363636,0.03636363636363636,0.42738496071829407
6,3,0.5998646797200227,0.011805555555555555,0.02361111111111111,0.4842980063640496
6,4,0.5510717624181889,0.026587301587301587,0.019047619047619046,0.47241108354011574
6,5,0.5570012373220024,0.012,0.006666666666666666,0.4682475302475303
7,2,0.606787108331828,0.0,0.0,0.3286470143613001
7,3,0.6054663359872298,0.0047619047619047615,0.009523809523809523,0.5051459293394778
7,4,0.5883758560544438,0.0047619047619047615,0.0,0.4679193899782135
7,5,0.5768631913241326,0.027926267281105987,0.037972350230414745,0.4799169096133899
8,2,0.5960313185081592,0.0125,0.0125,0.46885964912280703
8,3,0.6255896858402156,0.004166666666666667,0.008333333333333333,0.4580729166666666
8,4,0.5723974034381254,0.040043103448275864,0.013333333333333332,0.4755565486553879
8,5,0.55312894203027,0.018696581196581196,0.02692307692307692,0.50609430996931
9,2,0.5932230196901265,0.01111111111111111,0.01111111111111111,0.4052665187873899
9,3,0.5891275398127909,0.01111111111111111,0.0,0.45997825476992144
9,4,0.563078258424978,0.01717171717171717,0.012121212121212121,0.4554698452279592
9,5,0.5782620582063469,0.006818181818181818,0.013636363636363636,0.49687627555287894
10,2,0.6649122576273381,0.0,0.0,0.36146113383985967
10,3,0.5744756657918145,0.016904761904761905,0.026666666666666665,0.4639512774806892
10,4,0.5711863849866778,0.017230576441102756,0.015263157894736843,0.47585895960895963
10,5,0.5453019656706097,0.03130213479162865,0.029470738650069956,0.48406132468138807
