r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.2546342187332028,0.7,0.7,0.7964285714285715
1,3,0.008673862673675457,0.8666666666666666,0.8666666666666666,0.9928571428571429
1,4,0.018818938664094627,0.9333333333333332,0.95,0.9964285714285713
1,5,0.04523713667026886,0.89,0.9199999999999999,0.9889285714285714
2,2,0.035083529498738344,1.0,1.0,1.0
2,3,0.016827255665546943,0.9666666666666668,0.9666666666666668,0.9983333333333334
2,4,0.013808735191374183,1.0,1.0,1.0
2,5,0.11924683252181163,0.93,0.9800000000000001,0.95828125
3,2,0.08262607623250728,0.9333333333333332,0.9333333333333332,0.9333333333333332
3,3,0.27791755688398817,0.7333333333333333,0.7333333333333333,0.7333333333333333
3,4,0.14051298369084667,0.8444444444444447,0.9333333333333332,0.9058823529411765
3,5,0.10296789005469613,0.9166666666666667,0.9466666666666667,0.9554629629629631
4,2,0.01483814235513855,1.0,1.0,1.0
4,3,0.1144008646671133,0.8833333333333332,0.9,0.8995098039215688
4,4,0.04278166878465164,0.9791666666666666,1.0,0.9990990990990991
4,5,0.22642109247656167,0.765,0.8399999999999999,0.8381875000000001
5,2,0.1751433407359883,0.82,0.82,0.8393750000000001
5,3,0.20494859699723778,0.7733333333333333,0.7866666666666666,0.8490740740740741
5,4,0.13364440438246672,0.8799999999999999,0.9199999999999999,0.91075
5,5,0.203700406093943,0.8119999999999999,0.9040000000000001,0.841
6,2,0.09700338767168644,0.8833333333333334,0.8833333333333334,0.9318181818181819
6,3,0.19452179904452901,0.7777777777777778,0.8111111111111111,0.831140350877193
6,4,0.22351784617778261,0.7638888888888891,0.8,0.8035529715762273
6,5,0.3054615422027514,0.74,0.82,0.7742708333333332
7,2,0.10043555388437957,0.8571428571428571,0.8571428571428571,0.9403361344537815
7,3,0.22088622774004857,0.7857142857142858,0.780952380952381,0.7994047619047618
7,4,0.16749846409336683,0.8595238095238095,0.8857142857142858,0.8618530020703934
7,5,0.3591177248275018,0.687142857142857,0.7542857142857142,0.7242032967032965
8,2,0.12252887397629804,0.8375,0.8375,0.8982142857142857
8,3,0.15830252253562735,0.8458333333333334,0.875,0.8656746031746032
8,4,0.27229975336205947,0.7395833333333333,0.78125,0.7921768707482993
8,5,0.29495705604745887,0.74875,0.8200000000000001,0.7636160714285715
9,2,0.09997424791460321,0.8888888888888887,0.8888888888888887,0.9320987654320987
9,3,0.27693616549757716,0.674074074074074,0.7481481481481481,0.7735690235690236
9,4,0.2527855551472426,0.774074074074074,0.8111111111111111,0.8250356125356128
9,5,0.24766415149042711,0.821111111111111,0.8622222222222222,0.8510185185185184
10,2,0.06946260407309726,0.9,0.9,0.9772972972972974
10,3,0.21924324761727848,0.77,0.8,0.817608695652174
10,4,0.36862330562192025,0.6916666666666667,0.7500000000000001,0.737060606060606
10,5,0.2963288880903054,0.738,0.8,0.7618281250000001
