r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.24542483357191586,0.1,0.1,0.8642857142857144
1,3,0.27423796125670163,0.09999999999999999,0.0,0.8089285714285713
1,4,0.26974777475564166,0.3833333333333333,0.075,0.8642857142857142
1,5,0.2508349121186395,0.32,0.1,0.8387500000000001
1,6,0.2431413572673297,0.47333333333333333,0.13333333333333333,0.8986904761904764
1,7,0.23986002774884874,0.6880952380952381,0.14285714285714285,0.9251700680272112
1,8,0.2596832224225733,0.46785714285714286,0.1625,0.8601403061224492
1,9,0.2909534851940194,0.5583333333333333,0.22222222222222224,0.8499503968253966
1,10,0.2732185678026635,0.47777777777777775,0.2322222222222222,0.8169543650793651
2,2,0.26049011483947127,0.1,0.1,0.8491379310344828
2,3,0.2917156942323462,0.2583333333333333,0.1,0.8816666666666666
2,4,0.27657422273343985,0.32916666666666666,0.1875,0.8557795698924732
2,5,0.24573376208696315,0.545,0.24000000000000005,0.92734375
2,6,0.3187164674085083,0.42000000000000004,0.058333333333333334,0.8435858585858582
2,7,0.3148520349465221,0.3714285714285714,0.11428571428571428,0.8049019607843133
2,8,0.2744323842155079,0.5455357142857143,0.25625,0.8918622448979591
2,9,0.29862713261786766,0.5034722222222223,0.2965277777777778,0.8534885945118786
2,10,0.30359714594067355,0.4688888888888889,0.14,0.8494744744744747
3,2,0.2869417962208828,0.15,0.15,0.8761111111111113
3,3,0.2735061788298082,0.2777777777777778,0.07777777777777777,0.8770833333333332
3,4,0.26573679204078426,0.44722222222222224,0.16666666666666666,0.9007352941176471
3,5,0.28363606420527543,0.3816666666666667,0.12,0.8678703703703702
3,6,0.2714861356310892,0.36888888888888893,0.1,0.8598245614035085
3,7,0.3015082188960506,0.37380952380952387,0.17619047619047618,0.8564880952380955
3,8,0.3064805621730319,0.33848343685300203,0.10543478260869565,0.8232566874988475
3,9,0.31364017059231813,0.42968518518518517,0.15303703703703703,0.8438507094757094
3,10,0.2796640460497254,0.45251028806584365,0.18259259259259258,0.8638726788322343
