r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.10043317299822148,0.9,0.9,0.9964285714285716
1,3,0.024164195598073833,0.9666666666666668,0.9333333333333332,0.9976190476190476
1,4,0.0267438977358267,0.9833333333333332,1.0,0.999404761904762
1,5,0.026739721078012545,0.99,0.96,0.9985714285714286
2,2,0.03588832851203211,0.95,0.95,0.9982758620689655
2,3,0.044906700156187036,0.9666666666666666,0.9666666666666666,0.9983333333333334
2,4,0.024382886276465333,0.975,0.975,0.9986559139784946
2,5,0.046283410631985863,0.925,0.9399999999999998,0.99390625
3,2,0.0559069708510625,0.9666666666666666,0.9666666666666666,0.9988888888888889
3,3,0.09882796274543,0.8555555555555555,0.9555555555555555,0.9569444444444443
3,4,0.034000220819463856,0.9666666666666668,0.9666666666666666,0.9982026143790851
3,5,0.04264544309326334,0.9233333333333335,0.9333333333333333,0.9943518518518518
4,2,0.038314653652174596,1.0,1.0,1.0
4,3,0.058622643037742304,0.8916666666666666,0.9333333333333332,0.9948529411764706
4,4,0.05151316264192808,0.8958333333333333,0.9625,0.992454954954955
4,5,0.07023140240032866,0.9125,0.9399999999999998,0.961875
5,2,0.06029956647114117,0.9199999999999999,0.9199999999999999,0.996875
5,3,0.07906932198886671,0.8666666666666668,0.8533333333333333,0.9920370370370369
5,4,0.05117523014844679,0.9533333333333334,0.9800000000000001,0.9798333333333333
5,5,0.06641868546244882,0.9099999999999999,0.944,0.9800454545454546
6,2,0.05601339230476952,0.9333333333333333,0.9333333333333333,0.997979797979798
6,3,0.09223609626531568,0.85,0.9,0.9894736842105264
6,4,0.062023623072901754,0.9194444444444445,0.9666666666666668,0.9803617571059432
6,5,0.1122389480631129,0.8316666666666667,0.9066666666666668,0.9759027777777778
7,2,0.07104002187914324,0.9428571428571428,0.9428571428571428,0.9974789915966387
7,3,0.12275004181124763,0.8095238095238095,0.8571428571428571,0.9325000000000001
7,4,0.07225202556745955,0.8714285714285716,0.9285714285714286,0.9760351966873706
7,5,0.1606242874742721,0.7671428571428571,0.8571428571428571,0.8978021978021976
8,2,0.04986447768860548,0.925,0.925,0.9978571428571428
8,3,0.051833896033759194,0.9291666666666668,0.9166666666666666,0.995436507936508
8,4,0.1276117890595853,0.8416666666666666,0.9,0.8946428571428571
8,5,0.12108124010910608,0.83375,0.915,0.93515625
9,2,0.06613410614990263,0.9222222222222222,0.9222222222222222,0.9978395061728396
9,3,0.12520717246691582,0.7777777777777778,0.837037037037037,0.9564814814814815
9,4,0.06830822090799966,0.85,0.8777777777777779,0.9808048433048434
9,5,0.10995770899426824,0.8366666666666667,0.9155555555555555,0.9458703703703704
10,2,0.07558150857254543,0.9,0.9,0.9945945945945945
10,3,0.09508697171736322,0.85,0.8866666666666667,0.9452173913043478
10,4,0.10240163161646292,0.8300000000000001,0.835,0.9607272727272728
10,5,0.1013116491828234,0.8629999999999999,0.9199999999999999,0.950921875
