r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.02122959554020044,0.95,0.95,0.9982142857142857
1,3,0.10121356000662178,0.9166666666666667,0.9333333333333332,0.9851190476190477
1,4,0.11330991247678043,0.8833333333333332,0.95,0.9767857142857143
1,5,0.06737715721927404,0.8949999999999999,0.96,0.9848214285714285
1,6,0.15996853241663453,0.8466666666666665,0.9666666666666668,0.9610714285714286
1,7,0.1615136097449721,0.838095238095238,0.9142857142857143,0.9615646258503403
1,8,0.12126390820568245,0.8964285714285714,0.975,0.9611607142857144
1,9,0.24370377401845253,0.8097222222222221,0.9333333333333333,0.896875
1,10,0.14544762639542913,0.8650617283950618,0.9477777777777778,0.920625
2,2,0.0895254612593283,0.825,0.825,0.9896551724137931
2,3,0.2294195530400153,0.7250000000000001,0.8166666666666667,0.9258333333333335
2,4,0.120846516068568,0.8916666666666668,0.9375,0.9813172043010752
2,5,0.20548706154461094,0.8149999999999998,0.9199999999999999,0.9588281249999999
2,6,0.2794246032116028,0.73,0.8583333333333334,0.9156060606060606
2,7,0.1452158570511561,0.8738095238095239,0.9214285714285715,0.9501050420168067
2,8,0.16822375572671674,0.8660714285714286,0.95625,0.9630357142857143
2,9,0.2172645759787935,0.8203993055555555,0.93125,0.8910448438634713
2,10,0.08533709088334428,0.9538888888888888,0.9700000000000001,0.9888888888888889
3,2,0.2197577284182556,0.7333333333333334,0.7333333333333334,0.9727777777777777
3,3,0.15389480129511746,0.8388888888888889,0.9,0.9697916666666666
3,4,0.2187181326427381,0.7777777777777779,0.9,0.9566176470588236
3,5,0.16288465009695927,0.8733333333333334,0.9400000000000001,0.969074074074074
3,6,0.22346001052429862,0.7644444444444445,0.9166666666666666,0.8938011695906433
3,7,0.14695936208930918,0.865079365079365,0.9476190476190478,0.9606547619047617
3,8,0.17742480463187532,0.8142339544513458,0.9038043478260871,0.9177461838393892
3,9,0.27282607014778376,0.8033518518518518,0.9176296296296297,0.9093514510181174
3,10,0.20241958199810184,0.8548148148148149,0.944814814814815,0.9139772684717075
4,2,0.12535741838922884,0.825,0.825,0.9814516129032258
4,3,0.24107212054355717,0.7625,0.8583333333333332,0.9466911764705882
4,4,0.10728715216933007,0.8979166666666668,0.91875,0.9729166666666667
4,5,0.18311889443878135,0.8400000000000002,0.8899999999999999,0.95703125
4,6,0.2406020490924637,0.7908333333333335,0.9083333333333334,0.9235077519379844
4,7,0.203467578026038,0.8410714285714285,0.8964285714285716,0.8977743271221532
4,8,0.1256814816993531,0.8888392857142857,0.95,0.9715743440233234
4,9,0.1731443487621352,0.8630923202614378,0.9629084967320262,0.8972852564102565
4,10,0.21884850309483803,0.8374297374297374,0.9225883575883577,0.8793447416780751
5,2,0.18784420004858676,0.78,0.78,0.9828125
5,3,0.1981819498581879,0.7833333333333334,0.8533333333333333,0.9414814814814815
5,4,0.23104506415215847,0.7883333333333334,0.8400000000000001,0.9577083333333333
5,5,0.21174455702896616,0.7929999999999999,0.8879999999999999,0.942431818181818
5,6,0.17499562270257724,0.8493333333333334,0.9200000000000002,0.9286111111111112
5,7,0.18287135592211884,0.8528571428571429,0.9171428571428573,0.9446886446886447
5,8,0.17436602872092938,0.8665293040293042,0.926923076923077,0.9223268784786642
5,9,0.2428214128389119,0.8313436692506461,0.8924031007751939,0.8800561485130451
5,10,0.1932344814377166,0.8581654846335696,0.9362127659574468,0.9318853028233152
6,2,0.1380423426045115,0.7833333333333333,0.7833333333333333,0.9843434343434343
6,3,0.18263667418832036,0.8194444444444443,0.8722222222222223,0.9411549707602338
6,4,0.174514902046123,0.8319444444444445,0.8916666666666666,0.9678940568475454
6,5,0.1633380006460836,0.8583333333333332,0.9166666666666667,0.9597916666666666
6,6,0.26543325887134006,0.8100000000000002,0.875,0.9556603773584905
6,7,0.17807668095722234,0.8496031746031747,0.9261904761904762,0.9364053092501369
6,8,0.2250758011732079,0.8263867781155018,0.9265514184397163,0.9099969826640331
6,9,0.22959204128169047,0.8206196581196581,0.8993589743589745,0.8942811636439087
6,10,0.26025890500124216,0.7725285435811751,0.8619172932330826,0.871164880282733
7,2,0.11817664814580661,0.8571428571428571,0.8571428571428571,0.9842436974789915
7,3,0.21170449409808528,0.788095238095238,0.8571428571428573,0.9188690476190476
7,4,0.18784461280842296,0.8035714285714285,0.8785714285714284,0.9595755693581781
7,5,0.17051751290682166,0.86,0.9057142857142859,0.9571153846153846
7,6,0.1794532226952105,0.8533333333333335,0.9071428571428573,0.9453530377668308
7,7,0.16866114763445633,0.8527210884353741,0.9285714285714285,0.9193452380952382
7,8,0.28334868680792613,0.824234693877551,0.8946428571428571,0.9436953352769681
7,9,0.2756964347557124,0.8180230288836846,0.8823315118397087,0.8749900511413669
7,10,0.2284079327970995,0.7752857364473199,0.8987014953465312,0.897015081187892
8,2,0.16978364490337974,0.8,0.8,0.9817857142857143
8,3,0.18777283357101254,0.7979166666666666,0.8541666666666666,0.9432539682539682
8,4,0.1785729190229583,0.8343750000000002,0.878125,0.9708333333333334
8,5,0.2258164893275291,0.8074999999999999,0.8825000000000001,0.9419754464285713
8,6,0.22866678047974193,0.8104166666666668,0.93125,0.9267592592592594
8,7,0.22633869153224356,0.8241071428571429,0.9053571428571429,0.9227763605442177
8,8,0.2760520391857272,0.7932397959183672,0.8602430555555557,0.8922365395021646
