r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.6676942922013767,0.8,0.8,0.8
1,3,0.46925282032268223,0.9666666666666668,1.0,0.9988095238095237
1,4,0.5330888074248271,1.0,1.0,1.0
1,5,0.5866909697741344,0.95,1.0,0.9596428571428571
2,2,0.6193449764808105,1.0,1.0,1.0
2,3,0.5841232451766126,0.9833333333333332,1.0,0.9994444444444444
2,4,0.6543276307173225,1.0,1.0,1.0
2,5,0.7284085771268102,0.8300000000000001,0.9800000000000001,0.8300000000000001
3,2,0.5814182530713923,0.9333333333333332,0.9333333333333332,0.9333333333333332
3,3,0.7184006462889527,0.7222222222222222,0.7333333333333333,0.7329861111111111
3,4,0.7401442301619737,0.8777777777777779,0.95,0.8777777777777779
3,5,0.6640559384490705,0.8933333333333333,0.96,0.8933333333333333
4,2,0.6204881958325305,1.0,1.0,1.0
4,3,0.6731853001796051,0.8833333333333334,0.9,0.8995098039215688
4,4,0.6751097305042217,0.9416666666666667,1.0,0.9655405405405405
4,5,0.7431438272130445,0.7675000000000001,0.9,0.7746875
5,2,0.6858162351349201,0.8400000000000001,0.8400000000000001,0.8400000000000001
5,3,0.7780535673929604,0.7933333333333333,0.8400000000000001,0.8124074074074074
5,4,0.7476069043053292,0.8733333333333334,0.9199999999999999,0.8733333333333334
5,5,0.7817873223392366,0.8019999999999999,0.9199999999999999,0.796
6,2,0.6709711719650052,0.9333333333333333,0.9333333333333333,0.9333333333333333
6,3,0.6963086525676764,0.8055555555555556,0.8444444444444444,0.8214912280701754
6,4,0.7518396953312714,0.7805555555555557,0.8333333333333334,0.7886304909560724
6,5,0.8004168266353135,0.7066666666666667,0.82,0.7128125000000001
7,2,0.6844563459695195,0.9142857142857143,0.9142857142857143,0.9142857142857143
7,3,0.7288795058055045,0.780952380952381,0.7904761904761906,0.7901190476190476
7,4,0.7250165719364798,0.8261904761904763,0.8714285714285716,0.8375258799171842
7,5,0.8277114229411143,0.6528571428571429,0.7542857142857142,0.6537087912087911
8,2,0.6765421701409713,0.8875,0.8875,0.8996428571428572
8,3,0.7244513542601416,0.85,0.875,0.85
8,4,0.7753167927488696,0.7333333333333334,0.8125,0.7332482993197279
8,5,0.8306077571854684,0.72125,0.8150000000000001,0.7198883928571429
9,2,0.7024392040131643,0.9333333333333332,0.9333333333333332,0.9333333333333332
9,3,0.7657433383998663,0.7185185185185186,0.762962962962963,0.747053872053872
9,4,0.7947110408773824,0.7666666666666666,0.8333333333333333,0.7695156695156695
9,5,0.8403195742309079,0.7722222222222221,0.888888888888889,0.7687592592592593
10,2,0.6987407782315642,0.9200000000000002,0.9200000000000002,0.9200000000000002
10,3,0.7598454699368604,0.78,0.8133333333333332,0.7927536231884058
10,4,0.8150669556428628,0.6516666666666668,0.765,0.6531818181818181
10,5,0.8313105188930571,0.7050000000000001,0.8,0.713125
