r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.12596280719575476,0.7,0.7,0.9821428571428571
1,3,0.08205484260688457,1.0,1.0,1.0
1,4,0.04224551150745182,1.0,1.0,1.0
1,5,0.1071066863789714,0.9200000000000002,1.0,0.9917857142857143
2,2,0.07161411174964692,1.0,1.0,1.0
2,3,0.07040679930414798,0.95,0.9666666666666668,0.9966666666666667
2,4,0.0717709483327931,1.0,1.0,1.0
2,5,0.09289874466302231,0.95,1.0,0.99640625
3,2,0.06957749452580105,0.9333333333333332,0.9333333333333332,0.9933333333333334
3,3,0.12269587439053065,0.8333333333333333,0.9555555555555555,0.9829861111111111
3,4,0.1156491622189679,0.8944444444444443,0.9166666666666666,0.9859477124183007
3,5,0.11309992001132799,0.9333333333333332,1.0,0.9932407407407406
4,2,0.03726886106618328,1.0,1.0,1.0
4,3,0.09302007280856753,0.9083333333333334,0.9833333333333332,0.9958333333333333
4,4,0.11451159510979687,0.9041666666666666,0.9375,0.9873873873873874
4,5,0.10029734902135219,0.8674999999999999,0.96,0.9881250000000001
5,2,0.10926721568107875,0.7799999999999999,0.7799999999999999,0.985
5,3,0.1590759859334295,0.8266666666666668,0.8666666666666668,0.9394444444444444
5,4,0.1259193309429688,0.8700000000000001,0.96,0.9776666666666667
5,5,0.11719202251888265,0.9199999999999999,0.96,0.9835454545454546
6,2,0.11665804341215329,0.85,0.85,0.9747474747474747
6,3,0.11427850180443497,0.8777777777777779,0.9333333333333332,0.9792397660818712
6,4,0.17096372082453465,0.7722222222222224,0.85,0.940374677002584
6,5,0.2069537207024173,0.7266666666666667,0.82,0.9428819444444445
7,2,0.12945516628661044,0.8,0.8,0.9852941176470589
7,3,0.12278841120040969,0.8857142857142858,0.9238095238095237,0.9780952380952381
7,4,0.13571570322982116,0.8785714285714287,0.9357142857142857,0.9813664596273293
7,5,0.2186861340106605,0.7242857142857144,0.7028571428571428,0.9401373626373625
8,2,0.08953781558704921,0.9,0.9,0.9846428571428572
8,3,0.11360038169668836,0.8791666666666667,0.925,0.9881944444444445
8,4,0.1381321986717267,0.8145833333333334,0.85625,0.9642857142857142
8,5,0.17283284266766336,0.8099999999999999,0.8399999999999999,0.9739732142857142
9,2,0.12659855652190835,0.8444444444444444,0.8444444444444444,0.9827160493827162
9,3,0.18238910868162034,0.6962962962962963,0.7629629629629628,0.9587542087542088
9,4,0.17507572212020306,0.7833333333333333,0.7944444444444445,0.9674501424501424
9,5,0.19081020382649677,0.7644444444444444,0.8,0.9536111111111112
10,2,0.09663778201687741,0.8899999999999999,0.8899999999999999,0.9643243243243242
10,3,0.12016756175799148,0.8433333333333334,0.9,0.9857246376811595
10,4,0.2021261593647524,0.6933333333333332,0.75,0.9397272727272726
10,5,0.16834321269142571,0.783,0.836,0.9695625
