r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.04571411824374581,0.75,0.75,0.7972222222222223
1,3,0.03821874497543165,0.8666666666666666,0.9,0.8981481481481481
1,4,0.023116138179343118,0.9,0.9,0.9
1,5,0.0031084495957329006,0.8,0.8,0.8
1,6,0.008477008314346288,0.9833333333333334,1.0,0.999074074074074
1,7,0.006946779589315331,0.7857142857142857,0.8,0.7992063492063493
1,8,0.004520829986567908,0.8,0.8,0.8
1,9,0.005341663224814633,0.7,0.7,0.7
1,10,0.017819225500255574,0.788888888888889,0.8,0.7966666666666666
2,2,0.0195018879192681,0.8666666666666666,0.8666666666666666,0.8
2,3,0.02593202463264526,0.9166666666666667,0.95,0.8983333333333334
2,4,0.12257115553535233,0.7841666666666667,0.78,0.7496031746031746
2,5,0.00280196882327366,0.95,0.95,0.85
2,6,0.004277333281522041,0.9916666666666668,1.0,0.9996376811594203
2,7,0.0019080461239994514,0.7678571428571429,0.775,0.6997023809523809
2,8,0.0019448228764368774,0.9174603174603175,0.9444444444444444,0.7470952380952381
2,9,0.013303781467260429,0.9675,0.9800000000000001,0.8978899572649572
2,10,0.05806027380371561,0.9573737373737374,0.9668181818181818,0.8924691358024692
3,2,0.030437757895628265,0.8133333333333332,0.8133333333333332,0.7974122807017544
3,3,0.027214648427024278,0.8626984126984126,0.9174603174603175,0.828459595959596
3,4,0.1430734239795792,0.8277777777777778,0.8111111111111112,0.7000000000000001
3,5,0.0010107265907074148,0.9751515151515152,0.9818181818181818,0.9330769230769229
3,6,0.014382868953750235,0.9235897435897437,0.9346153846153846,0.7996394064872325
3,7,0.0008518475701573382,0.9277777777777778,0.9511111111111112,0.7992063492063493
3,8,0.007231401413256821,0.9387114845938376,0.9482352941176471,0.7986793154761905
3,9,0.04016716253462484,0.9401072124756336,0.9631578947368421,0.754522792022792
3,10,0.03396006488031929,0.9452380952380952,0.961904761904762,0.8225925925925928
4,2,0.029834960952091993,0.7476190476190475,0.7476190476190475,0.6968749999999999
4,3,0.011773654720528182,0.925,0.925,0.825
4,4,0.009837493835645337,0.9501602564102566,0.9552884615384617,0.873900462962963
4,5,0.10764171621123811,0.8774999999999998,0.875,0.7999166666666666
4,6,0.06001920148402247,0.8890977443609023,0.8909774436090225,0.7487771739130435
4,7,0.0793634963119638,0.9229978354978355,0.9147727272727273,0.7904761904761906
4,8,0.05890974158366637,0.9113174603174603,0.9266388888888889,0.7738667582417582
4,9,0.03298159340266833,0.9553968253968254,0.9637301587301585,0.8159060846560846
4,10,0.10798609696383217,0.923046594982079,0.9416935483870967,0.8100324074074073
5,2,0.06857391755161615,0.768888888888889,0.768888888888889,0.7953246753246753
5,3,0.070818484911138,0.9048717948717948,0.9225641025641025,0.8977350427350427
5,4,0.09278467033339999,0.8599579831932773,0.8549579831932773,0.74
5,5,0.04311875842684439,0.917187675070028,0.9120448179271708,0.7998745098039215
5,6,0.09033594680932677,0.8675999999999998,0.8539999999999999,0.7187070707070707
5,7,0.017183213283216446,0.9745484400656814,0.9764532019704433,0.8742857142857142
5,8,0.04683225714834901,0.9279903429903429,0.9457517482517483,0.8284398267040929
5,9,0.054651447954170054,0.9483183183183183,0.9775975975975977,0.8722923280423279
5,10,0.0486136982789198,0.9317239159891599,0.9517926829268293,0.8134440329218107
6,2,0.07087363447078307,0.8316666666666667,0.8316666666666667,0.7981029236464019
6,3,0.04539837798556736,0.852876984126984,0.8803571428571428,0.7807412494912496
6,4,0.009282698372380164,0.9307539682539684,0.9339285714285716,0.8636321548821548
6,5,0.07159877972843033,0.8960372960372961,0.8921911421911422,0.7995098039215687
6,6,0.029504568076033542,0.9560311552247036,0.9652605459057071,0.8410465116279069
