r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.008389819467944416,0.8,0.8,0.8
1,3,0.0024788380383155306,0.8,0.8,0.8
1,4,0.09699345002002023,0.9833333333333332,0.95,0.9972222222222221
1,5,0.0037416241051717257,0.8,0.8,0.8
2,2,0.006510470353803521,1.0,1.0,1.0
2,3,0.005692067862453654,1.0,1.0,1.0
2,4,0.037725566225579335,0.9516666666666668,0.9349999999999999,0.8988095238095237
2,5,0.042730137438309355,0.9566666666666667,0.9466666666666667,0.8988636363636363
3,2,0.0037873843353140924,0.78,0.78,0.6666666666666666
3,3,0.09287893548038326,0.8857142857142858,0.8571428571428573,0.7977777777777777
3,4,0.06735324815261115,0.9444444444444444,0.9222222222222222,0.8652777777777778
3,5,0.08224526910416852,0.959090909090909,0.9454545454545455,0.866060606060606
4,2,0.04040498602215769,0.8571428571428571,0.8571428571428571,0.79875
4,3,0.04759267712551216,0.9416666666666668,0.9433333333333334,0.8989267676767676
4,4,0.06714118400727642,0.9240384615384615,0.8951923076923076,0.7984953703703704
4,5,0.09921420275823903,0.9724999999999999,0.9650000000000001,0.8996666666666666
5,2,0.004163985642692638,0.8777777777777779,0.8777777777777779,0.8
5,3,0.09711169846235912,0.9569230769230769,0.9425641025641026,0.9581623931623933
5,4,0.1534924144299994,0.8541176470588235,0.8547899159663865,0.7589166666666667
5,5,0.03997870915482911,0.9077142857142858,0.8902857142857143,0.8725607843137254
6,2,0.05297954682380569,0.7965656565656566,0.7965656565656566,0.7317063492063494
6,3,0.008217691830656524,0.8589285714285715,0.8714285714285716,0.7322649572649573
6,4,0.0582941294000904,0.9305555555555556,0.925,0.7997474747474747
6,5,0.09277885404073465,0.9394871794871795,0.9164102564102565,0.8953973168214656
7,2,0.08744107737753132,0.758974358974359,0.758974358974359,0.7123658949745907
7,3,0.11245000137511182,0.8421642341146984,0.8115877930119417,0.7954212454212455
7,4,0.08658589460733582,0.913012987012987,0.9214545454545455,0.7942340067340068
7,5,0.21209484137840046,0.8390322580645162,0.8254377880184333,0.8239455782312923
8,2,0.08788235951884495,0.8266666666666665,0.8266666666666665,0.8229166666666666
8,3,0.10175964321757511,0.8840909090909091,0.8628787878787879,0.8723263888888889
8,4,0.15691915275355675,0.8249336870026525,0.8249336870026527,0.7194707491582492
8,5,0.14911748488642057,0.9067361111111112,0.9194444444444445,0.8155952380952382
9,2,0.06409764185054105,0.8529411764705882,0.8529411764705882,0.8195
9,3,0.1521423868386865,0.8014814814814815,0.7777777777777778,0.8163739106753812
9,4,0.12265453468929406,0.8519191919191919,0.865050505050505,0.7425451092117759
9,5,0.13863115348523283,0.9157628360067382,0.9306174467150076,0.8753343915343915
10,2,0.108328081113918,0.7718782249742002,0.7718782249742002,0.7576259259259259
10,3,0.10753853260848881,0.8070512820512821,0.7963369963369964,0.7745110294117648
10,4,0.08571597738850027,0.8639519975383353,0.8633160674906405,0.8095299145299146
10,5,0.20766424297372862,0.8559006211180125,0.832712215320911,0.7726191304347827
