r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.004483377307416747,0.8,0.8,0.8
1,3,0.010630848996394614,0.7333333333333333,0.8,0.7962962962962963
1,4,0.031056846398301065,1.0,1.0,1.0
1,5,0.0018682547552581964,0.8,0.8,0.8
2,2,0.010692712807924864,0.9,0.9,0.9947368421052631
2,3,0.028624598893640364,0.9666666666666668,1.0,0.9983333333333334
2,4,0.02381306264991745,0.9266666666666665,0.9349999999999999,0.8976190476190476
2,5,0.03292570635292282,0.9616666666666667,0.9666666666666668,0.8997727272727273
3,2,0.006554899882909819,0.7300000000000001,0.7300000000000001,0.6648148148148147
3,3,0.06453514999966445,0.9142857142857143,0.9142857142857143,0.7999999999999999
3,4,0.02118384314689615,0.9555555555555555,0.9555555555555555,0.8666666666666666
3,5,0.12649010504135832,0.9636363636363636,0.9636363636363636,0.8666666666666666
4,2,0.011796005423485006,0.8857142857142858,0.8857142857142858,0.8
4,3,0.04929614281988526,0.9199999999999999,0.96,0.8977272727272727
4,4,0.02987818207828809,0.9384615384615385,0.9384615384615385,0.8
4,5,0.16349707172086952,0.959375,0.975,0.8988205128205127
5,2,0.011641948708220098,0.8305555555555555,0.8305555555555555,0.7980476190476191
5,3,0.1361293215900341,0.877948717948718,0.9046153846153846,0.9528205128205128
5,4,0.2013058641695787,0.8298599439775909,0.8573109243697481,0.7579259259259259
5,5,0.12692099531878376,0.8754285714285714,0.9268571428571428,0.8709960784313726
6,2,0.041238096012153586,0.7842424242424244,0.7842424242424244,0.7310606060606061
6,3,0.09039233975696132,0.8133928571428571,0.8571428571428571,0.7305992618492619
6,4,0.10400865597015704,0.8694444444444445,0.913888888888889,0.7974934530490085
6,5,0.1930973177259634,0.9223076923076924,0.934871794871795,0.895611455108359
7,2,0.08242996591924698,0.758974358974359,0.758974358974359,0.71171654432524
7,3,0.20211186574052786,0.8085655314757483,0.782485625829279,0.7950610500610501
7,4,0.1539450914879849,0.8805454545454545,0.900025974025974,0.7871524771524772
7,5,0.3340907864659798,0.7923963133640552,0.7797235023041476,0.8047869674185464
8,2,0.07471513513824353,0.8533333333333333,0.8533333333333333,0.8234375
8,3,0.14329285664706898,0.8401515151515151,0.8613636363636363,0.8699392361111112
8,4,0.2343584133535989,0.8026525198938993,0.7880636604774536,0.7218223905723906
8,5,0.23189212281555557,0.8859027777777777,0.9180555555555555,0.82815265064836
9,2,0.05461727664637543,0.8897058823529413,0.8897058823529413,0.8217777777777778
9,3,0.2126715700581535,0.8069629629629629,0.826962962962963,0.8183142701525055
9,4,0.2264721846726109,0.845993265993266,0.8382491582491582,0.7460268640824197
9,5,0.2773102805646762,0.8859312971508093,0.9083952244927854,0.8614721417069242
10,2,0.1284536421223062,0.7414791881664947,0.7414791881664947,0.7560566951566952
10,3,0.14484958176958593,0.843956043956044,0.8546703296703295,0.7780208333333334
10,4,0.20255615652815234,0.8593944988631895,0.8741268783014513,0.8081471306471306
10,5,0.34527188626184924,0.8145445134575569,0.8283643892339544,0.7570095652173913
