r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.3367753435419628,0.0,0.0,0.8125
1,3,0.43177463173298525,0.0,0.0,0.8160714285714287
1,4,0.46852487226171524,0.03333333333333333,0.0,0.8068452380952381
1,5,0.4583504663816048,0.195,0.02,0.8228571428571427
1,6,0.49106823062449523,0.2566666666666667,0.11666666666666665,0.8089285714285713
1,7,0.5179185027457456,0.36626984126984125,0.15714285714285714,0.8121768707482993
1,8,0.49619383065832157,0.44499999999999995,0.2625,0.8441454081632653
1,9,0.5273816335902654,0.4340277777777778,0.2777777777777778,0.8042261904761903
1,10,0.5253617193819988,0.5655555555555556,0.33999999999999997,0.8652777777777775
2,2,0.34411365344154987,0.0,0.0,0.8137931034482758
2,3,0.4404698329855724,0.0,0.0,0.7841666666666667
2,4,0.476742294130802,0.041666666666666664,0.0125,0.8177419354838709
2,5,0.4908186191301985,0.13999999999999999,0.01,0.8047656250000002
2,6,0.4764500174909393,0.29000000000000004,0.15833333333333333,0.8609090909090907
2,7,0.5396952566480997,0.33383699633699637,0.2032967032967033,0.8325154247304983
2,8,0.5327998205215978,0.408615491651206,0.1875,0.8308468421459491
2,9,0.5904822312717523,0.36928571428571433,0.08777777777777777,0.799666631593715
2,10,0.5936976883250572,0.46476851851851864,0.29125,0.8323738226863229
3,2,0.35371669628228253,0.0,0.0,0.8272222222222222
3,3,0.4392168030332216,0.005555555555555555,0.0,0.8098958333333333
3,4,0.4728857190529469,0.05555555555555556,0.0,0.8272058823529413
3,5,0.4909226551829186,0.11666666666666665,0.0,0.8285185185185187
3,6,0.5122962628742441,0.24222222222222226,0.07222222222222222,0.858391812865497
3,7,0.5363503706126961,0.28626984126984123,0.12571428571428572,0.833063085063085
3,8,0.5385043040480288,0.43777056277056287,0.21525974025974026,0.875311246293389
3,9,0.5845496848956206,0.4458766103059581,0.2477495974235105,0.8503429626966212
3,10,0.5763679791492436,0.5028148148148148,0.29600000000000004,0.8841247397981228
4,2,0.3710624927356086,0.0,0.0,0.8209677419354838
4,3,0.4788713796020387,0.004166666666666667,0.0,0.8028186274509805
4,4,0.47398239614495397,0.08124999999999999,0.0,0.8322072072072073
4,5,0.5171559108638969,0.11875,0.01,0.8381874999999999
4,6,0.5355521667534029,0.22637681159420295,0.07952898550724638,0.8491463639719455
4,7,0.5715357510226953,0.305307963641297,0.14267399267399267,0.8402009876194659
4,8,0.586907435085107,0.3911791871921183,0.20911637931034482,0.8635654808540305
4,9,0.6009047996056075,0.42896938131313134,0.28194444444444444,0.8532287215099714
4,10,0.6170989306872392,0.4564814814814815,0.20722222222222225,0.8659436522083581
5,2,0.40203982643445285,0.0,0.0,0.8174999999999999
5,3,0.4636024273992224,0.0,0.0,0.8322222222222223
5,4,0.514884857438529,0.026666666666666665,0.0,0.8355833333333333
5,5,0.5358394494837383,0.131,0.02,0.8435909090909093
5,6,0.5534609024990943,0.2615862068965517,0.11333333333333333,0.8501316489361702
5,7,0.5771442584263976,0.31439733469145226,0.17149987267634326,0.8536038138332256
5,8,0.5997332762212954,0.36478358057305427,0.09918207681365576,0.8854650923786707
5,9,0.6055336017306995,0.44496031746031744,0.2149206349206349,0.887743469785575
5,10,0.6470901223559307,0.4381433303221921,0.15311111111111111,0.881433327983222
6,2,0.4196011237224327,0.0,0.0,0.8128787878787879
6,3,0.5027020151333035,0.008333333333333333,0.0,0.8109649122807017
6,4,0.5580638648062763,0.02638888888888889,0.0,0.8082687338501291
6,5,0.5739649634935242,0.08416666666666667,0.02,0.81703125
6,6,0.5704274224211734,0.17742857142857144,0.06976190476190476,0.8622710046766651
6,7,0.6033346914401813,0.25007984901277586,0.07261614401858305,0.8626118877173777
6,8,0.6713257283807541,0.2777234299516908,0.09487023929895518,0.8371360477366206
6,9,0.627619141364849,0.40300748620961385,0.1842348305752561,0.8803607008972845
6,10,0.6545237859316531,0.40747835497835494,0.14785714285714285,0.8825722529101647
7,2,0.41577971573125055,0.0,0.0,0.8130252100840336
7,3,0.4955067879621301,0.0023809523809523807,0.0,0.8163690476190476
7,4,0.5605846761320389,0.04285714285714286,0.0035714285714285713,0.8303571428571429
7,5,0.5954766715092847,0.10214285714285713,0.011428571428571429,0.8317170329670329
7,6,0.6351288472510165,0.15155632984901277,0.038211382113821135,0.8368135136692304
7,7,0.6360568080333888,0.23963685651565586,0.07036926472716745,0.8626876261577339
7,8,0.6554240015053778,0.31166249518675393,0.11101752021563342,0.8690992885427091
7,9,0.6405951031292637,0.36168213613128863,0.15750874361043848,0.887911208449841
7,10,0.6626605732782754,0.43885886426870024,0.20814447847234732,0.886234662894369
8,2,0.43792929468845115,0.0,0.0,0.8067857142857143
8,3,0.5106176424159401,0.020833333333333336,0.008333333333333333,0.8328373015873016
8,4,0.5681387909845729,0.065625,0.00625,0.8351403061224489
8,5,0.6283050153220259,0.08124999999999999,0.0025,0.8186049107142856
8,6,0.6425724274598378,0.16394503546099287,0.0275709219858156,0.8416498122546511
8,7,0.6834041140935578,0.17633994179591667,0.031022330220443428,0.83424293083013
8,8,0.6546088352195778,0.3140740919616688,0.10315375182622413,0.8627166180820198
8,9,0.6549181445997606,0.37107887539073603,0.10101946575731742,0.9064128178277482
8,10,0.7152434000229997,0.31208382066276796,0.07415350877192982,0.8561085516513544
9,2,0.4235283016443517,0.0,0.0,0.8126543209876542
9,3,0.5397787322255942,0.0037037037037037034,0.0037037037037037034,0.8224747474747476
9,4,0.5966847641950386,0.025,0.0,0.8154202279202278
9,5,0.6388576988666369,0.05611111111111111,0.0022222222222222222,0.8420185185185185
9,6,0.6630287425658975,0.14904961565338926,0.06135569531795946,0.825479262185803
9,7,0.6817684361342667,0.20063332577875145,0.05503135151469366,0.855435383378366
9,8,0.6895315467521563,0.2624149659863945,0.10142857142857142,0.849588529856387
9,9,0.7360338750085912,0.23963081671415004,0.050807217473884135,0.8191330281592453
9,10,0.7196400423961021,0.3497995304926448,0.09886000911992704,0.8477268572666233
10,2,0.44613899476476304,0.0,0.0,0.8029729729729729
10,3,0.5441326841487969,0.028333333333333332,0.006666666666666666,0.8068115942028985
10,4,0.6095104685069684,0.03166666666666666,0.0025,0.8241515151515152
10,5,0.63432019735084,0.07949999999999999,0.008,0.8442968750000001
10,6,0.6699937160011898,0.13006214689265536,0.02519774011299435,0.8451962836123796
10,7,0.6900711914860957,0.2074838843173003,0.07470714567462286,0.854796384148474
10,8,0.7159677122154804,0.21025331811046097,0.0596524309024309,0.8533779942469248
10,9,0.720061102964943,0.28202162566330546,0.11235545764989925,0.8307055661904628
10,10,0.7134038761383843,0.3526060343165605,0.11420785135916715,0.8603954347996547
