r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.9538835316862245,0.0,0.0,0.7142857142857142
1,3,0.9936136794410615,0.06666666666666667,0.0,0.2488095238095238
1,4,0.9681810244891252,0.3333333333333333,0.0,0.5333333333333333
1,5,1.0,0.11000000000000001,0.2,0.0
2,2,0.9617355189422574,0.0,0.0,0.6258620689655172
2,3,0.9774260220550637,0.11666666666666665,0.06666666666666667,0.3905555555555556
2,4,0.9589667124085157,0.2333333333333333,0.075,0.5241935483870968
2,5,0.9865409850749453,0.19,0.06000000000000001,0.2403125
3,2,0.9900111846375284,0.03333333333333333,0.03333333333333333,0.41222222222222227
3,3,0.9846689039171961,0.08888888888888888,0.02222222222222222,0.24652777777777782
3,4,0.990057385004485,0.12777777777777777,0.016666666666666666,0.2088235294117647
3,5,0.9889605420395359,0.12666666666666665,0.0,0.15916666666666662
4,2,0.9740140689980485,0.025,0.025,0.4508064516129032
4,3,0.9909053692960074,0.049999999999999996,0.03333333333333333,0.21470588235294116
4,4,0.9806810290616079,0.17083333333333334,0.075,0.3309684684684685
4,5,0.9862509620413291,0.1775,0.06999999999999999,0.217625
5,2,0.9603229958342361,0.06,0.06,0.506875
5,3,0.9805982236891619,0.13333333333333333,0.08,0.30259259259259264
5,4,0.9851403328886992,0.12,0.04,0.28691666666666665
5,5,0.981859375871049,0.202,0.08,0.26577272727272727
6,2,0.9793558451255503,0.05,0.05,0.4691919191919191
6,3,0.9703459134863632,0.1277777777777778,0.08888888888888888,0.3589181286549708
6,4,0.9880840732883834,0.16666666666666669,0.05,0.2983204134366925
6,5,0.9894168750092549,0.14499999999999996,0.08,0.159375
7,2,0.9832839106207814,0.014285714285714285,0.014285714285714285,0.3609243697478991
7,3,0.9808728972831295,0.08571428571428572,0.047619047619047616,0.3229761904761904
7,4,0.9771932837059873,0.15238095238095237,0.07857142857142857,0.3379399585921325
7,5,0.9918634332883295,0.11714285714285715,0.039999999999999994,0.13420329670329667
8,2,0.9851607034952699,0.0125,0.0125,0.39285714285714285
8,3,0.9864126694259197,0.049999999999999996,0.025,0.27232142857142855
8,4,0.9884322545163815,0.12708333333333333,0.0375,0.22687074829931975
8,5,0.9849495977321165,0.1625,0.09,0.18265625000000002
9,2,0.9838063902548679,0.0,0.0,0.4382716049382716
9,3,0.986541518026099,0.08518518518518517,0.05185185185185185,0.25117845117845117
9,4,0.9910997734849314,0.12222222222222223,0.03888888888888888,0.2551994301994302
9,5,0.9872411978942497,0.12666666666666668,0.06666666666666667,0.14949999999999997
10,2,0.9774691725110651,0.02,0.02,0.48486486486486485
10,3,0.9882922082569301,0.056666666666666664,0.039999999999999994,0.21942028985507248
10,4,0.9850910052938845,0.14499999999999996,0.06,0.2526666666666667
10,5,0.9946695414801325,0.099,0.052000000000000005,0.1151875
