r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.5148534140371706,0.0,0.0,0.8714285714285716
1,3,0.567615190829124,0.05,0.06666666666666667,0.8404761904761905
1,4,0.6466950823126252,0.11666666666666665,0.0,0.8261904761904761
1,5,0.6404238992160087,0.2,0.0,0.815892857142857
1,6,0.6548567865995911,0.34,0.06666666666666667,0.8210714285714283
1,7,0.6690519511469886,0.42658730158730157,0.08571428571428572,0.8138265306122447
1,8,0.6829269805768224,0.5078571428571429,0.0,0.8290943877551022
1,9,0.6996456058540018,0.49513888888888885,0.05555555555555556,0.8041964285714289
1,10,0.7077385775725376,0.6055555555555556,0.0,0.8325793650793653
2,2,0.5137581249216018,0.0,0.0,0.8732758620689655
2,3,0.603905092963798,0.025,0.03333333333333333,0.8286111111111112
2,4,0.628481611279137,0.15416666666666667,0.05,0.819758064516129
2,5,0.6648140785273379,0.1925,0.03,0.8197656249999998
2,6,0.6578808384201094,0.32500000000000007,0.0,0.8789393939393937
2,7,0.718706431036738,0.3862637362637363,0.007142857142857143,0.8170775241914946
2,8,0.7142376810823833,0.4421266233766234,0.00625,0.8050113443104513
2,9,0.7532411554481442,0.45515873015873015,0.02222222222222222,0.7670163439955104
2,10,0.767824582452986,0.48388888888888887,0.04,0.7699050613113114
3,2,0.5344128534382679,0.03333333333333333,0.03333333333333333,0.8711111111111112
3,3,0.6109404046728331,0.01111111111111111,0.0,0.8550347222222223
3,4,0.6610849321934691,0.08611111111111111,0.0,0.8408496732026144
3,5,0.6712513199620025,0.17666666666666664,0.0,0.8255092592592593
3,6,0.6851240282095575,0.30666666666666664,0.02222222222222222,0.8735087719298245
3,7,0.7069490758559047,0.34916666666666674,0.047857142857142855,0.8267554945054945
3,8,0.6898712250209788,0.5038342609771181,0.03939393939393939,0.8781250908483047
3,9,0.7496899642469839,0.5035708534621578,0.0,0.8018098006543125
3,10,0.7411933887977014,0.5597037037037038,0.019999999999999997,0.8358712344369824
4,2,0.5411662087837762,0.025,0.025,0.869758064516129
4,3,0.6451972766548467,0.04583333333333333,0.008333333333333333,0.8468137254901962
4,4,0.6361637501518769,0.13541666666666666,0.05,0.8650337837837837
4,5,0.6817426074692043,0.20750000000000002,0.015,0.8440624999999999
4,6,0.6905246765751135,0.3077536231884058,0.05416666666666666,0.8513695090439277
4,7,0.7164002105342535,0.3886124677791344,0.0035714285714285713,0.8210710495221363
4,8,0.7452157659561962,0.4295422824302134,0.016666666666666666,0.8239225619050314
4,9,0.7454860065853104,0.4856494633838384,0.023484848484848487,0.8206382888358335
4,10,0.7728790163104341,0.49175925925925934,0.030000000000000006,0.8191889483065953
5,2,0.5344995835938916,0.08,0.08,0.875625
5,3,0.6132880624522841,0.05,0.03333333333333334,0.8699074074074075
5,4,0.6609774707691983,0.095,0.04,0.8555833333333333
5,5,0.7006641369760157,0.19,0.012,0.8045
