r,w,diameter,precision@w-1,precision@1,triplet
1,2,1.0,0.0,0.0,0.0
1,3,1.0,0.0,0.0,0.0
1,4,1.0,0.0,0.0,0.0
1,5,1.0,0.06999999999999999,0.0,0.0
2,2,1.0,0.0,0.0,0.0
2,3,1.0,0.0,0.0,0.0
2,4,0.992026754577285,0.041666666666666664,0.025,0.06344086021505377
2,5,1.0,0.04,0.0,0.0
3,2,1.0,0.0,0.0,0.0
3,3,1.0,0.0,0.0,0.0
3,4,1.0,0.0,0.0,0.0
3,5,1.0,0.006666666666666666,0.0,0.0
4,2,1.0,0.0,0.0,0.0
4,3,1.0,0.0,0.0,0.0
4,4,1.0,0.020833333333333332,0.0,0.0
4,5,1.0,0.01,0.0,0.0
5,2,0.9977281526630117,0.0,0.0,0.035625000000000004
5,3,0.9968327572375371,0.006666666666666666,0.0,0.02481481481481481
5,4,1.0,0.023333333333333334,0.0,0.0
5,5,0.9981996594652337,0.036,0.016,0.011681818181818182
6,2,0.998106793885843,0.0,0.0,0.029797979797979796
6,3,0.9947212620625618,0.01111111111111111,0.0,0.041666666666666664
6,4,1.0,0.016666666666666666,0.0,0.0
6,5,0.9984997162210281,0.023333333333333334,0.006666666666666666,0.0096875
7,2,1.0,0.0,0.0,0.0
7,3,0.997737683741098,0.0047619047619047615,0.0,0.017857142857142856
7,4,0.9958251172675082,0.03333333333333333,0.007142857142857143,0.032091097308488616
7,5,1.0,0.007142857142857143,0.0,0.0
8,2,0.9996062870072819,0.0,0.0,0.02142857142857143
8,3,1.0,0.0,0.0,0.0
8,4,1.0,0.0125,0.0,0.0
8,5,0.9977495743315421,0.025,0.015000000000000003,0.014665178571428572
9,2,1.0,0.0,0.0,0.0
9,3,0.9982404206875206,0.0037037037037037034,0.0,0.013973063973063974
9,4,1.0,0.01111111111111111,0.0,0.0
9,5,0.9979996216280375,0.013333333333333332,0.013333333333333332,0.013074074074074071
10,2,1.0,0.0,0.0,0.0
10,3,0.9990451801679473,0.0,0.0,0.012463768115942029
10,4,0.9981384706591152,0.021666666666666667,0.0,0.01615151515151515
10,5,1.0,0.008,0.0,0.0
