r,w,diameter,precision@w-1,precision@1,triplet
1,2,1.0,0.0,0.0,0.0
1,3,0.9920841547955366,0.03333333333333333,0.0,0.061309523809523814
1,4,1.0,0.016666666666666666,0.0,0.0
1,5,1.0,0.01,0.0,0.0
1,6,0.9934175170953614,0.07333333333333333,0.03333333333333333,0.025833333333333337
1,7,0.9939555353938218,0.08095238095238096,0.02857142857142857,0.03214285714285715
1,8,1.0,0.1392857142857143,0.0,0.0
1,9,0.9947110272048743,0.125,0.02222222222222222,0.019047619047619042
1,10,1.0,0.1655555555555556,0.0,0.0
2,2,1.0,0.0,0.0,0.0
2,3,0.9960420773977683,0.008333333333333333,0.0,0.03055555555555555
2,4,0.9962796402425598,0.020833333333333332,0.0,0.03131720430107527
2,5,0.9973893390929011,0.0125,0.02,0.014453125
2,6,1.0,0.016666666666666666,0.0,0.0
2,7,1.0,0.015369352869352867,0.0,0.0
2,8,1.0,0.05128710575139146,0.0,0.0
2,9,1.0,0.07093253968253968,0.0,0.0
2,10,0.9959820484339446,0.08699074074074076,0.03,0.013213213213213212
3,2,0.9978769008156718,0.0,0.0,0.03
3,3,1.0,0.0,0.0,0.0
3,4,1.0,0.0,0.0,0.0
3,5,1.0,0.0016666666666666666,0.0,0.0
3,6,0.9978058390317871,0.015555555555555555,0.01111111111111111,0.008684210526315789
3,7,0.996199464178893,0.039999999999999994,0.019047619047619046,0.020119047619047613
3,8,0.9956889043529052,0.06764069264069261,0.017424242424242425,0.016420068027210882
3,9,1.0,0.06512228260869565,0.0,0.0
3,10,1.0,0.09333333333333335,0.0,0.0
4,2,0.9979673818907061,0.0,0.0,0.04354838709677419
4,3,0.998021038698884,0.008333333333333333,0.0,0.015563725490196075
4,4,0.9962796402425598,0.022916666666666665,0.0,0.03164414414414414
4,5,0.9986946695464505,0.008749999999999999,0.015,0.0073437500000000005
4,6,0.995063137821521,0.03336956521739131,0.025,0.01959302325581395
4,7,1.0,0.016804029304029303,0.0,0.0
4,8,0.9983833391323393,0.06035714285714285,0.006666666666666666,0.006174012158054713
4,9,0.9986777568012186,0.06854482323232323,0.006060606060606061,0.004804421768707482
4,10,0.9979910242169723,0.06972222222222223,0.015,0.006631313131313131
5,2,0.9949045619576122,0.0,0.0,0.0725
5,3,0.9968336619182147,0.013333333333333332,0.0,0.024999999999999994
5,4,0.9970237121940478,0.018333333333333333,0.0,0.025416666666666664
5,5,0.9989557356371603,0.007999999999999998,0.008,0.005840909090909091
5,6,0.9986835034190722,0.0187816091954023,0.006666666666666666,0.0052361111111111115
5,7,0.9997250713003858,0.025839062897886428,0.0,0.00184981684981685
5,8,0.9998214285714285,0.041116134931924384,0.0,0.0006940700808625337
5,9,0.9976992256967646,0.058115079365079356,0.011428571428571429,0.008807748538011695
5,10,0.9975892290603667,0.07106775067750679,0.02,0.007975694444444445
6,2,0.9997064708526349,0.0,0.0,0.01414141414141414
6,3,0.9995523205755414,0.0,0.0,0.005263157894736842
6,4,0.9975197601617065,0.015277777777777776,0.0,0.021253229974160206
6,5,0.9991297796976337,0.0075,0.006666666666666666,0.0048784722222222215
6,6,0.9990418084047825,0.012777777777777777,0.008333333333333333,0.003312368972746331
6,7,0.9989925892323036,0.02318428184281842,0.0047619047619047615,0.005459770114942529
6,8,0.9989222260882263,0.03857810920121334,0.004166666666666667,0.004124149659863945
6,9,0.9982370090682913,0.062553585500394,0.007703703703703704,0.006425313180827888
6,10,1.0,0.08439874939874939,0.0,0.0
7,2,0.9990901003495736,0.0,0.0,0.013025210084033614
7,3,0.997878628906103,0.009523809523809523,0.0,0.013630952380952382
7,4,0.9979886337634447,0.009523809523809523,0.0,0.015942028985507246
7,5,1.0,0.002142857142857143,0.0,0.0
7,6,0.9964766764354446,0.02247386759581882,0.02392566782810685,0.01316783337654481
7,7,0.997409515168781,0.03111717204612341,0.014285714285714285,0.014073129251700681
7,8,0.9990761937899084,0.036936850211782814,0.0035714285714285713,0.0035422740524781345
7,9,0.9992444324578391,0.05913034705407587,0.003389830508474576,0.0027557319223985885
7,10,0.9977040276765399,0.08270521827898876,0.021172761664564943,0.007598948842564898
8,2,0.9984076756117538,0.0,0.0,0.022678571428571426
8,3,1.0,0.0,0.0,0.0
8,4,0.9981398201212798,0.008333333333333333,0.0,0.01598639455782313
8,5,0.9993473347732251,0.00625,0.0075,0.0036941964285714286
8,6,0.9997916666666666,0.017695035460992912,0.0,0.0016133299197815328
8,7,0.9996563391254825,0.03980613638632506,0.0,0.0023076730692276914
8,8,0.9974634015556519,0.053264061525667004,0.01126883923849815,0.009741640237175952
8,9,0.997326578417252,0.0663061238988349,0.012663398692810458,0.00999834656084656
8,10,0.9984932681627292,0.06740399610136451,0.013013157894736843,0.004987453608644467
9,2,0.9967778288910756,0.0,0.0,0.05972222222222222
9,3,0.9991204616439486,0.0037037037037037034,0.0,0.007028619528619528
9,4,0.998346506774471,0.012962962962962963,0.0,0.014280626780626781
9,5,1.0,0.010555555555555554,0.0,0.0
