r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.027474200245066877,0.1,0.1,0.9214285714285714
1,3,0.13465868342676632,0.1,0.06666666666666667,0.7785714285714286
1,4,0.11878619570256847,0.21666666666666665,0.25,0.8261904761904761
1,5,0.21727739079678493,0.29000000000000004,0.2,0.7664285714285713
2,2,0.1458895699715208,0.0,0.0,0.7844827586206897
2,3,0.17124693143446562,0.15,0.03333333333333333,0.79
2,4,0.27266174858875963,0.06666666666666667,0.025,0.7043010752688172
2,5,0.22245409273560374,0.27,0.2,0.7739062500000001
3,2,0.32790196905070335,0.0,0.0,0.5877777777777777
3,3,0.21075935395766215,0.11111111111111112,0.11111111111111112,0.7472222222222222
3,4,0.3221236655812213,0.05555555555555556,0.06666666666666667,0.6640522875816994
3,5,0.25504651177444165,0.25666666666666665,0.22666666666666666,0.741574074074074
4,2,0.2908100958795262,0.025,0.025,0.6637096774193548
4,3,0.30297828398513726,0.1,0.13333333333333336,0.7014705882352941
4,4,0.3581637983243668,0.058333333333333334,0.05,0.6429054054054054
4,5,0.27855165453858055,0.22750000000000004,0.24000000000000005,0.7425625
5,2,0.282260820930885,0.08,0.08,0.686875
5,3,0.44301960807329827,0.0,0.0,0.5488888888888889
5,4,0.3194566699826287,0.08666666666666667,0.05,0.7146666666666667
5,5,0.37874400490350907,0.022,0.0,0.6921818181818182
6,2,0.3762910994231459,0.06666666666666667,0.06666666666666667,0.5732323232323232
6,3,0.38704332019564475,0.03333333333333333,0.03333333333333333,0.6125730994152047
6,4,0.3624454573864706,0.047222222222222214,0.06666666666666668,0.6681524547803617
6,5,0.39460000321329614,0.05833333333333333,0.1,0.672048611111111
7,2,0.37669981284941934,0.02857142857142857,0.02857142857142857,0.5722689075630252
7,3,0.3770650892144453,0.019047619047619046,0.009523809523809523,0.6325000000000001
7,4,0.3983428839776672,0.049999999999999996,0.06428571428571428,0.6451345755693583
7,5,0.3628765574342173,0.07142857142857142,0.05714285714285714,0.7097252747252747
8,2,0.3791243272105928,0.0375,0.0375,0.5935714285714286
8,3,0.37766741634443174,0.025,0.008333333333333333,0.6253968253968254
8,4,0.36684040045277644,0.02708333333333333,0.0375,0.683078231292517
8,5,0.385765455089383,0.032499999999999994,0.02,0.7061383928571429
9,2,0.3850007603130623,0.04444444444444444,0.04444444444444444,0.5836419753086419
9,3,0.400025773254288,0.02222222222222222,0.007407407407407407,0.6100168350168349
9,4,0.3789369105774546,0.04074074074074073,0.03333333333333333,0.6943732193732195
9,5,0.37513721005605705,0.04666666666666666,0.04,0.7095555555555556
10,2,0.3691213232976849,0.06999999999999999,0.06999999999999999,0.6072972972972972
10,3,0.4038859857548801,0.02,0.013333333333333332,0.632391304347826
10,4,0.3746650769804349,0.02,0.01,0.7036969696969695
10,5,0.36460835231540756,0.025,0.024,0.7429374999999998
