r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.37238720566789196,0.6,0.6,0.6
1,3,0.36317108777459056,0.7,0.7,0.7
1,4,0.6417614499883719,0.3,0.3,0.3
1,5,0.27529407290906033,0.9,0.9,0.9
1,6,0.6426737057220867,0.44000000000000006,0.4666666666666666,0.4198717948717949
1,7,0.5327991836412703,0.6147619047619048,0.6,0.5857142857142856
1,8,0.26258361312702566,0.7607142857142857,0.8,0.7571428571428571
1,9,0.4455945206150741,0.5652777777777778,0.6888888888888889,0.5416666666666667
1,10,0.7009383089507711,0.3323809523809524,0.33999999999999997,0.2577777777777778
2,2,0.5804872864636174,0.475,0.475,0.4962962962962963
2,3,0.3833677019842834,0.6583333333333334,0.6416666666666666,0.63125
2,4,0.5445889263524623,0.6291666666666667,0.6291666666666667,0.6229885057471265
2,5,0.5834829044373531,0.5628571428571428,0.5428571428571429,0.5
2,6,0.5560080841326449,0.6548484848484849,0.646969696969697,0.5599462365591398
2,7,0.6168027481978647,0.636131461131461,0.6132478632478632,0.5428571428571429
2,8,0.6241338271771755,0.5540750915750915,0.5802884615384615,0.4892857142857143
2,9,0.6246055802429931,0.4720125360750361,0.5149801587301587,0.39166666666666666
2,10,0.771676893742306,0.41236970001675877,0.4258333333333333,0.3022222222222222
3,2,0.5959720013707475,0.5666666666666667,0.5666666666666667,0.5666666666666667
3,3,0.5914787344096331,0.5680555555555554,0.5458333333333333,0.5222222222222221
3,4,0.49155754708860544,0.6583333333333333,0.6833333333333333,0.6333333333333333
3,5,0.5680772157912453,0.5992424242424244,0.6392424242424242,0.5499999999999999
3,6,0.4866275541471693,0.6685268979386627,0.7365007541478129,0.5888571428571427
3,7,0.6476889041378111,0.5563336839459131,0.5956943404892321,0.47446803282716604
3,8,0.5276679668668949,0.6786451247165532,0.6834920634920634,0.55
3,9,0.6845174395864924,0.506266458274131,0.664383671597294,0.4092372134038801
3,10,0.5320723122452844,0.7205723905723905,0.7266060606060606,0.5911111111111111
4,2,0.6133874503080419,0.4428571428571429,0.4428571428571429,0.44649014778325125
4,3,0.6628597295965878,0.41090909090909095,0.41090909090909095,0.3893817204301075
4,4,0.644717899821085,0.40027680652680653,0.3817994505494505,0.35244949494949496
4,5,0.6512623400892521,0.5327941176470589,0.5669117647058823,0.4774342105263158
4,6,0.5716932298021014,0.5751599519219657,0.6194386658345469,0.4916666666666666
4,7,0.6642781342005918,0.5679803891760413,0.6399937019502236,0.46662096349596355
4,8,0.666640716251399,0.5136334310850439,0.5666987785573714,0.4258724701608719
4,9,0.6599893024483163,0.5345323928944619,0.6313315917798676,0.40763888888888894
4,10,0.7102541384428062,0.5132962962962961,0.6320833333333333,0.3844444444444445
5,2,0.6150131881723941,0.3788888888888889,0.3788888888888889,0.377632183908046
5,3,0.6304448308154113,0.5159523809523809,0.5014652014652015,0.47927083333333337
5,4,0.627640774996838,0.5139106753812637,0.5220588235294118,0.4633333333333334
5,5,0.6524872582321628,0.49319696969696974,0.537010101010101,0.44800000000000006
5,6,0.6550238038702065,0.5516097569097569,0.5388255078255078,0.42666666666666664
5,7,0.6924539067905325,0.47777717652717655,0.48077711640211634,0.39521825396825394
5,8,0.6854439145322753,0.4995900071740408,0.5415302468243646,0.39070028011204483
5,9,0.73976580481594,0.42243881208004863,0.4919758614866385,0.3233333333333334
5,10,0.7363042438073159,0.5092902837902837,0.6220497835497836,0.39732510288065837
6,2,0.6319729313969006,0.48636363636363633,0.48636363636363633,0.5131182795698924
6,3,0.7162709406964944,0.3479411764705883,0.33738562091503266,0.3102623456790124
6,4,0.6649890890548275,0.4208513708513708,0.43143654591023006,0.3472222222222222
6,5,0.6818969578092621,0.4771581196581196,0.47425925925925927,0.38329365079365074
6,6,0.692972831953479,0.45199927336526013,0.5022481627059425,0.38555555555555554
6,7,0.7897828059763816,0.3504967094364627,0.39921613806813044,0.27287257495590833
6,8,0.71830816803856,0.43267545259701273,0.4504742736970996,0.33389610389610386
6,9,0.7857466813378793,0.45572011695783365,0.5337581209540592,0.3495034700425472
6,10,0.7549570286071192,0.4714502259986131,0.5620959985119577,0.3540649666059502
7,2,0.6365088384513358,0.4467032967032966,0.4467032967032966,0.45513392857142854
7,3,0.677507610333856,0.48616123642439424,0.48442773600668343,0.4328809072230125
7,4,0.6882841320682633,0.4770989010989011,0.4800879120879121,0.4421084287373486
7,5,0.6858509470483505,0.4515668202764977,0.47267281105990777,0.39142857142857135
