r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.15182021080063482,0.65,0.65,0.778846153846154
1,3,0.08574137748190305,0.7333333333333334,0.7,0.9589743589743589
1,4,0.10240228299133584,0.45,0.575,0.8307692307692308
1,5,0.13499207660147033,0.75,0.9,0.9521153846153846
1,6,0.17064793097186076,0.6026666666666667,0.6866666666666668,0.8858333333333335
1,7,0.07760481332575056,0.6842857142857143,0.8857142857142858,0.9764102564102565
1,8,0.08895405556579374,0.7678571428571428,0.7875,0.8725274725274724
1,9,0.1094940505997148,0.6180555555555556,0.8,0.8566773504273503
1,10,0.1505703229669557,0.5150793650793651,0.6614285714285714,0.8093131868131866
2,2,0.10935691714855625,0.4333333333333333,0.4333333333333333,0.8739316239316238
2,3,0.14347615914876227,0.5958333333333333,0.625,0.7376602564102563
2,4,0.15087133666821315,0.5819444444444444,0.675,0.889218816517667
2,5,0.0908953473744671,0.6732142857142857,0.837142857142857,0.9601018518518518
2,6,0.13019360178134534,0.673560606060606,0.7715909090909091,0.9193763440860214
2,7,0.13157877347002817,0.6463573463573464,0.7893162393162394,0.9251552277123514
2,8,0.13565726051021415,0.6798534798534798,0.776717032967033,0.9237025012025011
2,9,0.15688013251725796,0.6245468073593073,0.7333152958152959,0.8636139310562934
2,10,0.16353030106692318,0.5730243422155187,0.7102639517345399,0.8867559106428311
3,2,0.10897158853454128,0.7333333333333333,0.7333333333333333,0.9630952380952381
3,3,0.1555288147755592,0.5833333333333334,0.6194444444444444,0.9021647509578544
3,4,0.1292186414639112,0.6618518518518518,0.6366666666666666,0.9051348978288635
3,5,0.13831253226289777,0.6763257575757576,0.780909090909091,0.8940512333965845
3,6,0.12365279029324605,0.748984414278532,0.7905731523378582,0.872423522216533
3,7,0.14986143347014108,0.605643539467069,0.6766854211320155,0.8669447761715885
3,8,0.12676946562781238,0.7658078231292517,0.8307142857142857,0.9143388922968922
3,9,0.12541538012415207,0.7235678559499059,0.8191955449863648,0.8923658888506669
3,10,0.11338535703047652,0.7978585858585858,0.8856969696969698,0.9555146191257302
4,2,0.17165206607201045,0.4732142857142857,0.4732142857142857,0.8092056650246304
4,3,0.16772453610496968,0.46818181818181814,0.5096969696969696,0.8364773745519714
4,4,0.1323292177870504,0.500024975024975,0.5000811688311688,0.8199216495310246
4,5,0.12788290096520186,0.6558639705882353,0.7170588235294117,0.8930419062361787
4,6,0.16455819063075663,0.6373525876615123,0.661142604535053,0.8263911884696947
4,7,0.1466663786054051,0.6539592653723089,0.7446357989836251,0.8772151117428372
4,8,0.15511164667539085,0.6215547197518831,0.6655266788272906,0.8859803578754644
4,9,0.12839521806399795,0.6805665273423894,0.7371651863462209,0.896528406767185
4,10,0.15456935845242822,0.6500370370370372,0.8018750000000001,0.8974477656799369
5,2,0.143698997875086,0.4733333333333333,0.4733333333333333,0.781551724137931
5,3,0.1771562391119615,0.5349175824175825,0.5228205128205128,0.8544454207636134
5,4,0.12792550535428548,0.5851633986928105,0.6585947712418301,0.906755499860763
5,5,0.15304838810138435,0.5908030303030303,0.6724040404040402,0.8830934065934066
5,6,0.1391890729642652,0.5990985014985014,0.7247014652014652,0.881862211325785
5,7,0.17419481677649323,0.5832172418630751,0.6459117965367965,0.8847935506291341
5,8,0.17618521041861115,0.5871630585075963,0.6374951192598252,0.8633368650645681
5,9,0.17642835033723697,0.5873019792998168,0.6809829365870205,0.8775979966980458
5,10,0.1811713056506431,0.6271172839506172,0.7355425685425685,0.8677522403356651
6,2,0.17078639489781494,0.5628787878787879,0.5628787878787879,0.8599731182795699
6,3,0.16317550519822543,0.43394491129785245,0.47824463118580757,0.8050686678290845
6,4,0.16937381973352722,0.479021417179312,0.471152312599681,0.8083330514198082
6,5,0.14623273018081545,0.5465135327635328,0.6201566951566952,0.8436714206803944
6,6,0.16261903340710832,0.5946172366796181,0.6173967651576759,0.8715937027313752
6,7,0.1742645614554983,0.48746299057257314,0.5345610824975151,0.8316492464181439
6,8,0.16466781048230086,0.5643791392426453,0.6079703189805586,0.8460828362817733
6,9,0.15181528565147112,0.6177905194176826,0.688263456582591,0.8830019795134518
6,10,0.17211940743055387,0.5978967235367916,0.661670287833276,0.8533547295807369
7,2,0.16356309715649212,0.4747252747252747,0.4747252747252747,0.8267497119815668
7,3,0.19707580577571376,0.4996303258145363,0.5525271512113616,0.8371190067618638
7,4,0.15631241494376166,0.5161282051282051,0.527065934065934,0.8521069643674174
7,5,0.15646038734673823,0.5696738191244239,0.6320823732718894,0.8583389091557281
7,6,0.20446720858750478,0.45929237549969254,0.4874393794515746,0.8329075354484186
7,7,0.16670803087277147,0.5561041992948741,0.6176256041165266,0.8489205495852957
7,8,0.19075916867182524,0.49695173289467176,0.565556846341978,0.8519985564877841
7,9,0.17977608343148402,0.5583988387958647,0.6392468058257779,0.8559096487226011
7,10,0.1784320235331986,0.5705359027430379,0.6310605675452816,0.858427096221044
8,2,0.1838288527582214,0.5091666666666667,0.5091666666666667,0.8451882102272726
8,3,0.1854422219739756,0.5374529456051196,0.5543760587238847,0.8547128644332591
8,4,0.14295624889027816,0.5541660585051389,0.6062278781244299,0.8702462068777475
8,5,0.16205375966995444,0.5139226124520243,0.5896905863082333,0.8750543076849535
8,6,0.17178938217863163,0.550368004017295,0.6100801782674725,0.8745699667502949
8,7,0.17074011145638882,0.5087932810231476,0.5710602475949264,0.8282757708383679
8,8,0.1681320871869474,0.5043229055646913,0.5584011540903712,0.8692462576793367
8,9,0.19001998438677697,0.5220613112180356,0.6085233069034066,0.8258589011123512
8,10,0.18857914168399031,0.5519801504135107,0.6176350406097828,0.8342310662652835
9,2,0.2035449480740265,0.5124183006535948,0.5124183006535948,0.8074222618340267
9,3,0.1655063692472972,0.42996652421652426,0.44366524216524217,0.8401022588522589
9,4,0.1739619059068931,0.5471853257432004,0.6129981024667932,0.8837086233692322
9,5,0.17363761711690262,0.4867447582370561,0.5334775964300996,0.8451254333963935
9,6,0.19134083740313562,0.4971122980194408,0.5760039048253334,0.8641932142019048
9,7,0.2328389795596605,0.44821460891797793,0.5058533415398718,0.8545893385944815
9,8,0.19317005222664033,0.5196475060288829,0.5946968538485482,0.8265160812073024
9,9,0.2029095985839528,0.460595040518671,0.4933292974907192,0.8179669969467127
9,10,0.20680491544123852,0.5480987034298374,0.6056913787015519,0.8520271439128251
10,2,0.1680203362496897,0.5023684210526316,0.5023684210526316,0.8239663865546218
10,3,0.1808628862467163,0.44870415982484957,0.45493066958584194,0.8647569631162938
10,4,0.1856996330560158,0.5008529821687716,0.5432154403207035,0.8696637277019093
10,5,0.19891031451993285,0.4528019016727523,0.4892230355965916,0.8531089183153341
10,6,0.19649824812877587,0.46872311864962085,0.5365997362536942,0.8426277250819132
10,7,0.19545990854502213,0.49235199977462896,0.5322532117501105,0.8711095837227507
10,8,0.21568730882288664,0.4513825609105494,0.47272600087827793,0.8172813268463214
10,9,0.22843570455523582,0.4647286900877761,0.517376211930322,0.8496422212614754
10,10,0.22899759170973719,0.49051601596789374,0.5511884364623624,0.8309463553603491
