r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.42856046979832174,0.0,0.0,0.5576923076923077
1,3,0.47034803108958956,0.0,0.0,0.5000000000000001
1,4,0.46858331611696286,0.01944444444444444,0.0,0.46602564102564115
1,5,0.4771042787580274,0.06916666666666667,0.0,0.4862820512820513
1,6,0.5531999034831525,0.11333333333333333,0.0,0.4802564102564104
1,7,0.5577563254013393,0.16666666666666666,0.0,0.47879120879120884
1,8,0.5370412948960994,0.20249999999999999,0.0,0.4786538461538462
1,9,0.5735243215343436,0.24409722222222224,0.02222222222222222,0.5382020757020757
1,10,0.606641719772097,0.2765740740740741,0.04,0.5385653235653235
2,2,0.44757115711323225,0.0,0.0,0.47733516483516486
2,3,0.5030726657115727,0.0,0.0,0.5392063492063491
2,4,0.4939141510597283,0.025,0.0,0.50840086996337
2,5,0.5035202849615443,0.05217261904761905,0.0,0.5286338612368023
2,6,0.4850041709024202,0.1610714285714286,0.0,0.5383648758648759
2,7,0.6215585631764257,0.14915343915343915,0.014285714285714285,0.48490577904576143
2,8,0.6095536317526149,0.14821934018362587,0.0,0.4922805256718072
2,9,0.5150425989605699,0.36818553178847296,0.08888888888888888,0.6975486583522296
2,10,0.5551698469130268,0.2425925925925926,0.03666666666666667,0.5436119221581406
3,2,0.47381755593618136,0.0,0.0,0.47095238095238107
3,3,0.4518172384698154,0.00625,0.0,0.583753306878307
3,4,0.457570881463912,0.053720538720538724,0.0,0.5457113474044588
3,5,0.5051373750503267,0.10711635586635586,0.0,0.4921518010713057
3,6,0.4897658576375898,0.14263492063492067,0.0,0.5273471874723278
3,7,0.5225092325385909,0.24029814118629905,0.06359649122807018,0.6412167242640765
3,8,0.5172800521034335,0.2552258852258852,0.07638888888888888,0.6742438808435833
3,9,0.5615376805478196,0.2486401809585448,0.06284993885680384,0.593017531968744
3,10,0.5820991606130927,0.2568537688827544,0.07925465838509317,0.5251955945371358
4,2,0.4986306737996201,0.0,0.0,0.5269270833333334
4,3,0.46043514605106434,0.008333333333333333,0.0,0.5461156977410847
4,4,0.512815456787178,0.02221056721056721,0.00625,0.541955484047686
4,5,0.5714161806590929,0.05509442559074913,0.0,0.5252577588053633
4,6,0.5196219430245441,0.14606881333769206,0.03299961861174676,0.5860848358063032
4,7,0.5612051689994371,0.20849555436511955,0.06272712794451925,0.5519146776559392
4,8,0.5349138976049674,0.22977711904497614,0.0910386557886558,0.5975720175477339
4,9,0.5727960516446927,0.27386866951862415,0.08734811165845649,0.623262106868937
4,10,0.5186320292439516,0.3686891012876677,0.15187557603686636,0.681056997927358
5,2,0.43176368843224466,0.0,0.0,0.5261029411764706
5,3,0.4937175338729281,0.013333333333333332,0.0,0.553600946811473
5,4,0.5356929016353674,0.023425925925925926,0.0,0.49819689236719117
5,5,0.5702186049286263,0.10137719876106603,0.032037768994290734,0.6254297704585936
5,6,0.5488768435389956,0.1377786336269095,0.025369963369963368,0.5480328045230631
5,7,0.5433698295389335,0.1686214488453087,0.052827985881378534,0.5988300205871863
5,8,0.5969821518625713,0.16066870329145871,0.04676624821229938,0.580132764006742
5,9,0.5309445812008737,0.2501306641041274,0.05836769961902517,0.6066627079211064
5,10,0.6362888043543962,0.21662281388954555,0.047433830669637675,0.5933999540386685
6,2,0.5423245366307358,0.0,0.0,0.49136710239651415
6,3,0.5007239677250521,0.011968954248366012,0.0,0.5322390049563963
6,4,0.5438637631028298,0.03356614527095076,0.0,0.5092896531697859
6,5,0.5002829032236145,0.10959172550476899,0.021703703703703704,0.6283787591084125
