r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.20893842795900905,0.4,0.4,0.5769230769230769
1,3,0.007859885035489674,0.9333333333333332,1.0,0.9897435897435898
1,4,0.23833658462890192,0.5,0.55,0.5692307692307692
1,5,0.4010598108409444,0.625,0.6,0.6115384615384615
2,2,0.20503299839116443,0.75,0.75,0.85
2,3,0.40385555137845497,0.5766666666666667,0.5700000000000001,0.5168253968253969
2,4,0.34179286754581406,0.544047619047619,0.6107142857142857,0.6800694444444445
2,5,0.40442636741470606,0.6725,0.6928571428571428,0.5983403361344537
3,2,0.26792592491469003,0.6799999999999999,0.6799999999999999,0.7047619047619047
3,3,0.2092140236980823,0.7611111111111112,0.7222222222222222,0.7450980392156862
3,4,0.3747252523945003,0.5147474747474747,0.5157575757575757,0.5742049841379047
3,5,0.4922766679188039,0.5279292929292929,0.5151515151515151,0.39755555555555555
4,2,0.2613902841229532,0.5214285714285714,0.5214285714285714,0.5701041666666666
4,3,0.1792078099085095,0.7466666666666667,0.78,0.7903508771929825
4,4,0.34080037427402243,0.5691847041847041,0.6340259740259742,0.5790755772005772
4,5,0.3718166034811787,0.6894094304388423,0.6400093370681605,0.6465675993343042
5,2,0.33397515737024874,0.52,0.52,0.7247058823529413
5,3,0.22220904251560034,0.7090476190476191,0.7161904761904763,0.7946666666666667
5,4,0.31087100803360734,0.6388986354775829,0.6509502923976609,0.5898812974465149
5,5,0.3818826500198367,0.6594497607655503,0.704712918660287,0.5559115942028985
6,2,0.4136087554793345,0.4,0.4,0.5268518518518518
6,3,0.38105327281844886,0.5074509803921569,0.5215686274509804,0.5378535353535354
6,4,0.3251355844649441,0.6460084033613445,0.6856442577030812,0.6213928571428572
6,5,0.3147332926456097,0.6982588566827697,0.6665458937198068,0.6418926875593542
7,2,0.3752021190172858,0.5197802197802198,0.5197802197802198,0.6463659147869675
7,3,0.3778031510010371,0.5850000000000001,0.5963157894736841,0.6237891335717423
7,4,0.3705764965565922,0.5661111111111111,0.6474545454545455,0.6306885865457293
7,5,0.35036136796889283,0.528951533449865,0.5628005720641983,0.6530389585228294
8,2,0.3758578537809827,0.4966666666666667,0.4966666666666667,0.6450328947368421
8,3,0.2504755440122383,0.5808865047995482,0.6170525127046866,0.6848936965811966
8,4,0.3908316854277169,0.6084111405835543,0.6490592396109639,0.5576416446208112
8,5,0.3806246129608499,0.6025473656907481,0.5933417470182176,0.6008961225556053
9,2,0.39898793610345856,0.43006535947712415,0.43006535947712415,0.5743915343915343
9,3,0.3015838382216851,0.5275384615384616,0.5363589743589744,0.6707856615264023
9,4,0.3711438603192651,0.549699297118652,0.5707610668900991,0.6407746462387671
9,5,0.405062135951259,0.5103540100250626,0.4877736006683375,0.5537904715492435
10,2,0.28890125019915713,0.5052631578947369,0.5052631578947369,0.6485714285714286
10,3,0.3282042265162137,0.48201058201058194,0.47938542938542944,0.6251614668856048
10,4,0.4516586284194194,0.5397585635085635,0.5151220176220177,0.645128103034353
10,5,0.4879749418546144,0.5186529371856304,0.4795525871810252,0.6305982367012749
