r,w,diameter,precision@w-1,precision@1,triplet
1,2,1.0,0.0,0.0,0.0
1,3,0.9,0.0,0.0,0.0
1,4,0.9,0.0,0.0,0.0
1,5,0.9,0.0,0.0,0.0
1,6,0.9,0.016666666666666666,0.0,0.0
1,7,0.9,0.048571428571428564,0.0,0.0
1,8,0.9,0.05928571428571429,0.0,0.0
1,9,1.0,0.0970486111111111,0.0,0.0
1,10,1.0,0.11203703703703705,0.0,0.0
2,2,0.9,0.0,0.0,0.0
2,3,1.0,0.0,0.0,0.0
2,4,0.95,0.0,0.0,0.0
2,5,0.9,0.016785714285714286,0.0,0.0
2,6,0.9,0.0022222222222222222,0.0,0.0
2,7,0.95,0.04966931216931216,0.0,0.0
2,8,0.95,0.0802476095333238,0.0,0.0
2,9,1.0,0.0755291889483066,0.0,0.0
2,10,0.9,0.11578002244668913,0.0,0.0
3,2,0.8666666666666668,0.0,0.0,0.0
3,3,0.9333333333333333,0.0,0.0,0.0
3,4,0.8999999999999998,0.0,0.0,0.0
3,5,0.8666666666666668,0.0016666666666666666,0.0,0.0
3,6,0.8666666666666668,0.018666666666666668,0.0,0.0
3,7,0.9666666666666666,0.021600877192982454,0.0,0.0
3,8,1.0,0.034954212454212444,0.0,0.0
3,9,0.9333333333333332,0.033775562093639896,0.0,0.0
3,10,0.8999999999999998,0.06260409477800785,0.0,0.0
4,2,0.975,0.0,0.0,0.0
4,3,0.925,0.0,0.0,0.0
4,4,0.925,0.0,0.0,0.0
4,5,0.9,0.007357954545454545,0.0,0.0
4,6,0.925,0.014079546692819004,0.0,0.0
4,7,0.9,0.01387471224427746,0.0,0.0
4,8,0.925,0.038124750910465195,0.0,0.0
4,9,0.925,0.055820376244871815,0.0,0.0
4,10,0.95,0.03657319223985891,0.0,0.0
5,2,0.9,0.0,0.0,0.0
5,3,0.96,0.0,0.0,0.0
5,4,0.9199999999999999,0.0,0.0,0.0
5,5,0.9800000000000001,0.0034758454106280194,0.0,0.0
5,6,0.9199999999999999,0.007480734846252088,0.0,0.0
5,7,0.9200000000000002,0.02423508005404557,0.0,0.0
5,8,0.9199999999999999,0.03512359802682383,0.0,0.0
5,9,0.9,0.02321772102707273,0.0,0.0
5,10,0.9400000000000001,0.03638041305349278,0.0,0.0
6,2,0.9333333333333333,0.0,0.0,0.0
6,3,0.95,0.0,0.0,0.0
6,4,0.9,0.0,0.0,0.0
6,5,0.95,0.0,0.0,0.0
6,6,0.95,0.0029569892473118283,0.0,0.0
6,7,0.9666666666666668,0.01733971752472701,0.0,0.0
6,8,0.9333333333333333,0.028554494343968017,0.0,0.0
6,9,0.9833333333333332,0.023303494125357586,0.0,0.0
6,10,0.9333333333333333,0.015982603504523595,0.0,0.0
7,2,0.9285714285714285,0.0,0.0,0.0
7,3,0.9285714285714285,0.0,0.0,0.0
7,4,0.9571428571428571,0.0,0.0,0.0
7,5,0.9428571428571428,0.001,0.0,0.0
7,6,0.9142857142857143,0.009330327507959087,0.0,0.0
7,7,0.9285714285714286,0.004689366786140979,0.0,0.0
7,8,0.9,0.009881416798251568,0.0,0.0
7,9,0.9,0.027890143177876074,0.0,0.0
7,10,0.9571428571428571,0.01601385904969626,0.0,0.0
8,2,0.925,0.0,0.0,0.0
8,3,0.9375,0.0,0.0,0.0
8,4,0.925,0.0,0.0,0.0
8,5,0.9125,0.0,0.0,0.0
8,6,0.9,0.005729724252244975,0.0,0.0
8,7,0.925,0.011315028710539545,0.0,0.0
8,8,0.9125,0.012323058549090821,0.0,0.0
8,9,0.9125,0.00508081908724221,0.0,0.0
8,10,0.95,0.011628843821153947,0.0,0.0
9,2,0.9222222222222223,0.0,0.0,0.0
9,3,0.9222222222222223,0.0,0.0,0.0
9,4,0.9222222222222223,0.0,0.0,0.0
9,5,0.9444444444444444,0.0,0.0,0.0
9,6,0.9222222222222223,0.0029541673444112475,0.0,0.0
9,7,0.9222222222222223,0.0017503697874541864,0.0,0.0
9,8,0.8888888888888891,0.007915604838426599,0.0,0.0
9,9,0.9333333333333333,0.008326018195380753,0.0,0.0
9,10,0.9444444444444444,0.008579700427623984,0.0,0.0
10,2,0.9400000000000001,0.0,0.0,0.0
10,3,0.95,0.0,0.0,0.0
10,4,0.9200000000000002,0.0,0.0,0.0
10,5,0.93,0.0,0.0,0.0
10,6,0.9200000000000002,0.0008906481939633844,0.0,0.0
10,7,0.9200000000000002,0.00031446540880503143,0.0,0.0
10,8,0.9200000000000002,0.005929972469507856,0.0,0.0
10,9,0.9200000000000002,0.006495313663721551,0.0,0.0
10,10,0.9200000000000002,0.006184034010120966,0.0,0.0
