r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.7373877200060402,0.4,0.4,0.4
1,3,0.8178050400309378,0.7,0.7333333333333332,0.8435897435897436
1,4,0.7530313924031526,0.4666666666666667,0.5,0.4333333333333334
1,5,0.8837430852856443,0.5650000000000001,0.5599999999999999,0.5907692307692308
2,2,0.8103377959119363,0.6,0.6,0.6892857142857143
2,3,0.8247092881851901,0.4600000000000001,0.4533333333333333,0.4266666666666666
2,4,0.8848450848232312,0.4928571428571429,0.5107142857142857,0.5068402777777778
2,5,0.8995139643165395,0.6542857142857142,0.6157142857142857,0.5845252100840337
3,2,0.7306775329639154,0.5466666666666666,0.5466666666666666,0.6555555555555556
3,3,0.7999860354555041,0.7166666666666667,0.7111111111111111,0.7275443510737628
3,4,0.8217502781376679,0.4444444444444445,0.48090909090909084,0.46374842334594657
3,5,0.8277832706412734,0.4717171717171717,0.4818181818181818,0.337130991285403
4,2,0.710384633549757,0.3821428571428572,0.3821428571428572,0.441875
4,3,0.8533883180334667,0.6966666666666668,0.6966666666666667,0.7381578947368421
4,4,0.8384449566599187,0.4752272727272727,0.5098593073593073,0.5227840024898849
4,5,0.9048981352692905,0.6578338001867412,0.642530345471522,0.5800247035573123
5,2,0.9062626516026169,0.36,0.36,0.5341176470588235
5,3,0.8977471164007532,0.6647619047619047,0.7057142857142857,0.7749047619047619
5,4,0.8052710916245557,0.5671734892787523,0.5847368421052631,0.5407815734989648
5,5,0.8174331195770209,0.6261602870813396,0.6747129186602872,0.5196000000000001
6,2,0.8416243894529785,0.346969696969697,0.346969696969697,0.42385620915032673
6,3,0.835016291860879,0.4866666666666667,0.4564705882352941,0.4880050505050505
6,4,0.8241316135315346,0.6130392156862745,0.6080252100840337,0.5572427248677247
6,5,0.8353577616431389,0.6650563607085347,0.7144927536231884,0.5957962962962962
7,2,0.8966736442675629,0.478021978021978,0.478021978021978,0.5383458646616541
7,3,0.893491840551528,0.5380409356725145,0.5424561403508772,0.5566629023150762
7,4,0.8936749229492488,0.5975454545454545,0.6001515151515152,0.6103689846308894
7,5,0.8711223128453296,0.5316227554425553,0.5373818528523756,0.544365177913565
8,2,0.8877224829325827,0.39249999999999996,0.39249999999999996,0.48654605263157896
8,3,0.8173078865903974,0.522953133822699,0.5310182571052137,0.5869204059829058
8,4,0.8472779686272196,0.5877182434423813,0.6104942528735633,0.5161423937969637
8,5,0.866661066352292,0.5578978735228736,0.5562093940770412,0.552441935559903
9,2,0.8243479337785766,0.43006535947712415,0.43006535947712415,0.47555555555555556
9,3,0.8501421128006779,0.515051282051282,0.5267435897435898,0.5635199505569876
9,4,0.8646561930700489,0.5986026160219707,0.5929311548666387,0.6051505769812284
9,5,0.865626628208726,0.5003195488721806,0.4745739348370927,0.4554667223614592
10,2,0.825847458039604,0.46315789473684205,0.46315789473684205,0.578095238095238
10,3,0.8800393351378084,0.4765364265364266,0.4953601953601954,0.5472793894058262
10,4,0.9136730530079495,0.5676136026136027,0.5436850311850312,0.597897568928819
10,5,0.9239965175235071,0.5806573032571996,0.5706739722826905,0.5222852400799034
