r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.29998033149684844,0.35,0.35,0.7961538461538462
1,3,0.3054455099084164,0.31666666666666665,0.36666666666666664,0.7423076923076922
1,4,0.28472592419677195,0.3166666666666666,0.41666666666666663,0.7064102564102565
1,5,0.25138225228912314,0.4333333333333334,0.4666666666666667,0.7560256410256411
1,6,0.2892917685861787,0.4126666666666667,0.4133333333333333,0.7064102564102566
1,7,0.2820034601195971,0.5038095238095239,0.5228571428571429,0.7193772893772895
1,8,0.26414629157539504,0.4914285714285714,0.5675,0.742912087912088
1,9,0.2524178424333511,0.5072916666666666,0.6402777777777777,0.8184676434676433
1,10,0.1857600500409887,0.5,0.6391666666666667,0.8433180708180709
2,2,0.2656287136273414,0.36666666666666664,0.36666666666666664,0.6623626373626373
2,3,0.3358236699467164,0.4216666666666667,0.43,0.8336507936507939
2,4,0.29971156304756297,0.4578968253968254,0.4852380952380953,0.7843204365079366
2,5,0.17882707466947168,0.515982142857143,0.5601190476190477,0.7970779465632407
2,6,0.27296732757986386,0.5543253968253969,0.48015873015873023,0.7709072039072038
2,7,0.19385086100431445,0.4796428571428571,0.46884920634920635,0.7658335720253013
2,8,0.2252021044144304,0.4618050798407941,0.406000111000111,0.7751050574075784
2,9,0.388275948870463,0.5968954248366013,0.5307932263814616,0.8162764550264547
2,10,0.16322063492489175,0.3958585858585859,0.33277777777777773,0.7090985671657941
3,2,0.2770238144513704,0.2533333333333333,0.2533333333333333,0.5930952380952381
3,3,0.31317929523004834,0.3470238095238095,0.3373015873015873,0.7466372938064115
3,4,0.3241871183488577,0.376957671957672,0.3428715728715729,0.7321639303869698
3,5,0.2867433788675734,0.38841249028749025,0.34682400932400925,0.6859679427326486
3,6,0.2928052687234906,0.44098412698412703,0.3352380952380952,0.6963978505038765
3,7,0.3146336435018508,0.5379297201336676,0.5318327067669173,0.8027027568922305
3,8,0.32153584513760397,0.5839590964590964,0.5590811965811966,0.8528245786951143
3,9,0.36150258839353316,0.512506665351345,0.42710038711182874,0.7345729436418154
3,10,0.269794385229318,0.49134997316156725,0.5056245686680471,0.7367628289500291
4,2,0.3170041859482387,0.2553571428571429,0.2553571428571429,0.6888541666666667
4,3,0.30049023975131234,0.3321464646464646,0.3591919191919192,0.7385819788441693
4,4,0.27194884881364456,0.4239342601842602,0.41306943056943046,0.765085168985856
4,5,0.2838102996773477,0.35847037970199735,0.4241440422322775,0.7013271090240698
4,6,0.3573037876849176,0.46582134684537435,0.41592527514438266,0.7725226008358256
4,7,0.30895459276329146,0.4499758976932891,0.44098394359263926,0.7038212755034623
4,8,0.34071527804994983,0.47165827096184226,0.4403856976356977,0.7532176107512917
4,9,0.2850104000454302,0.4469561279593507,0.41590047634298727,0.7380383456332665
4,10,0.33539647044170307,0.5554749103942652,0.5855229774705581,0.781593794102603
5,2,0.2733540219679799,0.27,0.27,0.6934191176470588
5,3,0.3191609467643953,0.3532967032967033,0.37296703296703304,0.7468390420495684
5,4,0.28698288325369703,0.33622549019607845,0.25680555555555556,0.7492347752308516
5,5,0.35313674858054456,0.33616520467836253,0.3523213600536255,0.7693525726064706
5,6,0.33808645560325506,0.3935922422405181,0.3513495470047194,0.7265572510822511
5,7,0.3265202221316832,0.40105158189974655,0.3708356947094433,0.7048735137485236
5,8,0.33476822238557974,0.3883738490205994,0.37328108076161476,0.716952961361083
5,9,0.3621124409158676,0.37762439544275084,0.33899948809821534,0.6810392679730679
5,10,0.3436755058302816,0.3583143678921863,0.38716271120565954,0.7042366327668964
6,2,0.24354264302304726,0.2643939393939394,0.2643939393939394,0.7116285403050109
6,3,0.32537252336489686,0.321968954248366,0.3645016339869281,0.7506429198820502
6,4,0.30555367334367745,0.28487477477179995,0.22051977357755392,0.7051181905073813
6,5,0.3439108528899601,0.38346762356001485,0.38183364300755607,0.7727032870297145
6,6,0.3661948640340699,0.3588596883742879,0.36350488337209697,0.734243674191284
6,7,0.30945638334229153,0.38968457540563795,0.36924240091223015,0.754467663788035
6,8,0.3273833171755083,0.3858856822719604,0.385275646887489,0.7312807828102565
6,9,0.3293091480072881,0.4718931672390686,0.47779315267863504,0.8212751599363862
6,10,0.34670913101163126,0.4842144924073337,0.5068988270639213,0.7537608607153342
7,2,0.29765168633681865,0.25274725274725274,0.25274725274725274,0.7461779448621553
7,3,0.3336597979119077,0.3507155142758858,0.34238070666863235,0.7663578778019772
7,4,0.3173913438127892,0.33755460588793923,0.2913717047847483,0.7694317184322562
7,5,0.32617487226902886,0.37767194730556797,0.37523301985370955,0.7616640185703617
7,6,0.31513247988690585,0.3999495507630183,0.4065252717536,0.7558820271082463
7,7,0.35695771443730867,0.3602438705446046,0.38850048051086705,0.7241007682730755
7,8,0.3511305086657796,0.44590631175502005,0.45480976426771136,0.7206089310984235
7,9,0.30963259919874847,0.4192857059984824,0.3798819828001374,0.7169269173891206
7,10,0.3860634681106742,0.3939820376752898,0.39867787869637583,0.7290328063447187
8,2,0.32878445710236615,0.3416666666666667,0.3416666666666667,0.6956907894736842
8,3,0.3338826574141653,0.3685902503293808,0.3648823640127988,0.7629059364548496
8,4,0.3081155407402694,0.31719439181508136,0.2728374524581421,0.7464973721113053
8,5,0.3273036708246579,0.3388430398301473,0.3457239460454656,0.7245731191026341
8,6,0.32435792008870623,0.384149673486211,0.3347175283214058,0.7322744556420675
8,7,0.34983903612158607,0.3747448978775709,0.4094025901489161,0.7225372866044122
8,8,0.34143423560220926,0.37171092167237535,0.3901909766675328,0.7143319720603664
8,9,0.3569465972904853,0.4005448010948659,0.3564738222485081,0.7178336660577143
8,10,0.3760100105556502,0.4043523213201688,0.4381707215178553,0.734279117888747
9,2,0.31670665645195334,0.2669934640522876,0.2669934640522876,0.7034126984126983
9,3,0.34837832689095793,0.29777954292084724,0.3062235228539576,0.7079369879682779
9,4,0.33811683616804805,0.313732892781836,0.28569275004133177,0.7377008503148421
9,5,0.3385002608297731,0.3116648202045401,0.2707072188942954,0.7356000098693694
9,6,0.3530349524142724,0.3480642631499773,0.329561982136895,0.7397961892369131
9,7,0.3707719060720184,0.37796345434782197,0.4302721749736711,0.7239880383503726
9,8,0.3547321764570929,0.3608862246653045,0.37057586367880485,0.6786801358430186
9,9,0.3423539270597963,0.3799143955796664,0.41133412445419565,0.7472716277364488
9,10,0.3754022428116546,0.4044880669489121,0.4500655145340021,0.7376142210697177
10,2,0.30802774381732956,0.22605263157894737,0.22605263157894737,0.7254220779220779
10,3,0.3446057464143673,0.3535752880580466,0.36269771097357306,0.7749908290222527
10,4,0.3623198794024716,0.29344457400184953,0.29473550185624486,0.7474688804239887
10,5,0.36534529928141113,0.30252245551721996,0.3073635971190976,0.7316848541734169
10,6,0.3602218226767115,0.3258899951280948,0.34499891236688995,0.7252921377776103
10,7,0.39371406504049744,0.31384506241863575,0.3903783951196823,0.6814284483265904
10,8,0.3519248058980609,0.3706889906922786,0.35881587898299505,0.7129154594263057
10,9,0.3570540165889492,0.3349552413525356,0.36463179705170573,0.710172545758597
10,10,0.3878263662075945,0.3677818370401488,0.4342043599588356,0.7011257436681161
