r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.013078124942337632,0.8,0.8,0.8
1,3,0.04750112606609708,0.8,0.8,0.8
1,4,0.022600845920580776,1.0,1.0,1.0
1,5,0.018404666575622515,0.9800000000000001,1.0,0.9976470588235294
2,2,0.017091166551426118,0.9333333333333332,0.9333333333333332,0.9
2,3,0.018267669972433363,0.9,0.9,0.8
2,4,0.02865185419756814,0.9666666666666666,1.0,0.9979166666666668
2,5,0.0746131602996144,0.865,0.9333333333333332,0.8727731092436976
3,2,0.02698322630328685,1.0,1.0,1.0
3,3,0.05974898505349087,0.9015873015873016,0.9492063492063492,0.9290448343079923
3,4,0.018351824950640628,0.9333333333333332,0.9333333333333332,0.7999999999999999
3,5,0.062216482633488245,0.8699999999999999,0.9866666666666667,0.9674666666666667
4,2,0.023993958597289974,1.0,1.0,1.0
4,3,0.027439682325906285,0.9666666666666666,0.9833333333333332,0.9971014492753623
4,4,0.026826159890450514,0.9070512820512819,0.9692307692307693,0.8956870122630992
4,5,0.02148042874357323,0.9487500000000001,0.9525,0.896896551724138
5,2,0.01974558309965322,0.9355555555555556,0.9355555555555556,0.919047619047619
5,3,0.026923434956370968,0.9712820512820514,0.9846153846153847,0.9586666666666666
5,4,0.054018957033106274,0.9229411764705882,0.9429411764705883,0.873788682581786
5,5,0.07163202170556186,0.8704761904761904,0.9394285714285715,0.8457889237199581
6,2,0.03686516921385783,0.9651515151515151,0.9651515151515151,0.9659090909090908
6,3,0.039583145230003336,0.976388888888889,0.976388888888889,0.9660493827160493
6,4,0.037696795963314704,0.9154761904761906,0.9392857142857143,0.9268378831417625
6,5,0.0555875897213441,0.927948717948718,0.9579487179487179,0.9194594594594594
7,2,0.02553791259766342,0.9549450549450549,0.9549450549450549,0.941614906832298
7,3,0.040171680127514334,0.9714285714285715,0.980952380952381,0.9986863711001643
7,4,0.05492115620346919,0.8701904761904761,0.976,0.9298022959183674
7,5,0.08256866454422435,0.8962211981566821,0.9592626728110598,0.9425746303795084
8,2,0.02471410411363064,0.9616666666666667,0.9616666666666667,0.9739583333333334
8,3,0.03474798895142189,0.9371212121212121,0.9553030303030304,0.9224416017797552
8,4,0.056593384566363605,0.9196839080459771,0.9668103448275861,0.9409038220551379
8,5,0.06396935337660101,0.9198611111111111,0.9572222222222221,0.9249261517615176
9,2,0.02513855039909621,1.0,1.0,1.0
9,3,0.03786627497989389,0.9343703703703703,0.9611851851851851,0.9527750624524817
9,4,0.04611447421787633,0.9242424242424242,0.9696969696969697,0.9272963913849666
9,5,0.05337423938755159,0.9222222222222223,0.9662872628726287,0.9128571428571428
10,2,0.023547924340936298,0.9578947368421054,0.9578947368421054,0.9200000000000002
10,3,0.03057813282884899,0.9571428571428573,0.9642857142857144,0.919090909090909
10,4,0.054365979036838805,0.9006756756756756,0.9683783783783785,0.9312232076866225
10,5,0.0828807841529347,0.9100000000000001,0.9480000000000001,0.9700566037735848
