r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.053074701961724334,0.9,0.9,0.9
1,3,0.01311986161945985,0.8833333333333332,0.8666666666666668,0.8980392156862745
1,4,0.06702518658226145,0.9000000000000001,0.925,0.9730392156862745
1,5,0.019667263607548148,0.845,0.8800000000000001,0.8929411764705882
1,6,0.017741889854775424,0.8666666666666668,0.8833333333333334,0.891764705882353
1,7,0.09794481296457154,0.8833333333333334,0.9571428571428571,0.9542016806722688
1,8,0.03423414168619597,0.9339285714285716,0.975,0.9803571428571429
1,9,0.005011777568005892,0.8902777777777778,0.888888888888889,0.8986928104575164
1,10,0.010111640851836782,0.9844444444444445,0.99,0.9947712418300654
2,2,0.02572608507134696,0.8333333333333334,0.8333333333333334,0.75
2,3,0.02045580566249125,0.8833333333333332,0.9,0.7991228070175438
2,4,0.03683588545671327,0.8683333333333334,0.9025000000000001,0.8869607843137255
2,5,0.02082899146386516,0.9375,0.95,0.9896428571428573
2,6,0.013357049088639055,0.9330952380952381,0.938095238095238,0.8900757575757577
2,7,0.16147688139568278,0.825,0.9428571428571428,0.9168737060041409
2,8,0.09352453032679563,0.8692460317460317,0.951388888888889,0.9127604166666667
2,9,0.01548648834343982,0.9424999999999999,0.9633333333333333,0.8923055555555555
2,10,0.04035587107517403,0.9409090909090908,0.965909090909091,0.9370299145299146
3,2,0.04501659872688201,1.0,1.0,1.0
3,3,0.015793602707156552,0.9246031746031745,0.9428571428571427,0.8653160679476471
3,4,0.06273876114795396,0.8490740740740741,0.9361111111111111,0.8793599033816426
3,5,0.054209156307063966,0.8862121212121213,0.9509090909090909,0.9474285714285715
3,6,0.05796572735240082,0.9152991452991452,0.9547008547008546,0.9107482229704452
3,7,0.0984044458750303,0.8853968253968254,0.9457142857142857,0.9212643678160921
3,8,0.035815478591412694,0.8989495798319329,0.9715686274509805,0.913805683563748
3,9,0.0841886336423838,0.9012183235867447,0.924366471734893,0.9395482603815936
3,10,0.009203516449134235,0.9542328042328043,0.9680952380952382,0.8299365079365078
4,2,0.043711374013837324,0.9714285714285713,0.9714285714285713,0.95
4,3,0.0377836732449472,0.9633333333333333,0.9716666666666667,0.9489130434782609
4,4,0.036409021296923624,0.9277243589743589,0.9798076923076924,0.9641826923076924
4,5,0.11205049412383991,0.84375,0.8637499999999999,0.9351724137931035
4,6,0.050566274495918696,0.9058333333333335,0.9570175438596491,0.9360484182098766
4,7,0.10770062316048452,0.8672077922077923,0.9532467532467533,0.9441144733755571
4,8,0.08269800283146712,0.8995714285714286,0.9585000000000001,0.9396734022556391
4,9,0.09113680296874796,0.8375496031746031,0.9166666666666667,0.785686642851277
