r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.3962499945975869,0.6,0.6,0.7764705882352941
1,3,0.4106853499630801,0.7333333333333333,0.8,0.7333333333333333
1,4,0.5035473822712228,0.8166666666666667,0.75,0.8852941176470589
1,5,0.6328044592231195,0.97,1.0,0.9964705882352941
2,2,0.47561560688149235,0.8333333333333333,0.8333333333333333,0.888888888888889
2,3,0.4493392972567706,0.7666666666666667,0.6666666666666667,0.7850877192982455
2,4,0.5633271136211601,0.8666666666666668,0.875,0.9829166666666665
2,5,0.5590899181206005,0.7766666666666666,0.8400000000000001,0.8116666666666665
3,2,0.5260209099971661,1.0,1.0,1.0
3,3,0.5613436403475226,0.7301587301587301,0.8095238095238095,0.8682818156502368
3,4,0.47347486665693034,0.9037037037037037,0.8444444444444443,0.796268115942029
3,5,0.5867768487698309,0.9099999999999999,0.9466666666666669,0.9434666666666667
4,2,0.49656252115805566,0.95,0.95,0.9974999999999999
4,3,0.5648672272956364,0.8666666666666666,0.8333333333333333,0.9695652173913043
4,4,0.5081286654194372,0.8586538461538462,0.7990384615384615,0.8818840579710147
4,5,0.5497397041683809,0.9350000000000002,0.8949999999999999,0.8955172413793104
5,2,0.4860185178868842,0.8355555555555554,0.8355555555555554,0.9066666666666666
5,3,0.6042399316335084,0.9005128205128206,0.8717948717948719,0.917750724637681
5,4,0.5250526756571152,0.8158823529411764,0.8494117647058823,0.7945092838196286
5,5,0.5857265273361191,0.7451428571428572,0.7832380952380953,0.7475067920585163
6,2,0.48232774116943855,0.8954545454545455,0.8954545454545455,0.9581168831168831
6,3,0.5868450061809194,0.8256944444444445,0.8305555555555555,0.8974979423868312
6,4,0.5817925298989174,0.8761904761904761,0.9011904761904763,0.9069653975095786
6,5,0.6083419909051428,0.8893589743589743,0.8794871794871796,0.8650805350805351
7,2,0.4752190568515579,0.8241758241758241,0.8241758241758241,0.9011010728402032
7,3,0.6322691310548334,0.8761904761904763,0.895238095238095,0.9546798029556649
7,4,0.6283124570439664,0.7826666666666667,0.7577142857142858,0.8431696428571428
7,5,0.6036967114373317,0.8621198156682027,0.8678341013824886,0.8616027874564459
8,2,0.5556415901908991,0.7975,0.7975,0.9608695652173914
8,3,0.5853479036179836,0.881439393939394,0.8780303030303029,0.887092139414164
8,4,0.5301573095431609,0.8689655172413792,0.8698275862068965,0.8829793233082708
8,5,0.642582212989958,0.8391666666666666,0.8622222222222222,0.8423773712737127
9,2,0.5484247872491649,0.8777777777777779,0.8777777777777779,0.9675555555555555
9,3,0.5793549498043313,0.8557037037037037,0.8699259259259259,0.9139024655153689
9,4,0.6193112165957554,0.8361952861952862,0.8292929292929292,0.8691021252317788
9,5,0.5676872674772707,0.873929539295393,0.9014634146341465,0.8479581758629378
10,2,0.5018931677434733,0.8326315789473684,0.8326315789473684,0.9080307692307693
10,3,0.5742885159008395,0.8385714285714286,0.8533333333333333,0.8668340548340548
10,4,0.5835545818335717,0.8657207207207206,0.858918918918919,0.8682631189948262
10,5,0.6509953184639897,0.818,0.8480000000000001,0.8691320754716981
