r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.21263122606595433,0.4,0.4,0.7764705882352942
1,3,0.2077568866957566,0.8,0.8,0.8
1,4,0.18307994421041993,0.9333333333333333,0.8,0.9882352941176471
1,5,0.3257723143984352,0.8400000000000001,0.6799999999999999,0.9623529411764707
2,2,0.21585551682953802,0.4,0.4,0.8607843137254901
2,3,0.2142955900333514,0.6166666666666667,0.5,0.7701754385964912
2,4,0.2693447856435423,0.7083333333333334,0.5,0.95375
2,5,0.24451522409339949,0.77,0.7133333333333333,0.8404761904761905
3,2,0.2678255810396384,0.8666666666666666,0.8666666666666666,0.9929824561403509
3,3,0.2426696433198999,0.773015873015873,0.6190476190476191,0.915009746588694
3,4,0.19785854327954513,0.8518518518518519,0.7777777777777778,0.7904347826086956
3,5,0.2874237788029675,0.8466666666666667,0.8400000000000001,0.9517333333333333
4,2,0.24249969623759524,0.8,0.8,0.985
4,3,0.2556161669620274,0.8,0.7,0.9757246376811594
4,4,0.22164370503047034,0.8740384615384615,0.7336538461538462,0.8895624303233
4,5,0.2179975459960856,0.9,0.7625,0.8899034482758619
5,2,0.24383170157890266,0.7111111111111111,0.7111111111111111,0.9046666666666667
5,3,0.24007952247275893,0.9205128205128205,0.9117948717948717,0.9531478260869566
5,4,0.23832897061317887,0.7954901960784314,0.7317647058823529,0.8398717948717949
5,5,0.2621057963656631,0.7717142857142856,0.7165714285714285,0.8015506792058517
6,2,0.2318582464368404,0.8121212121212121,0.8121212121212121,0.9529581529581531
6,3,0.24460189242692096,0.8319444444444445,0.7652777777777777,0.9481481481481481
6,4,0.22918929548611439,0.8960317460317461,0.8178571428571428,0.9228957136015324
6,5,0.2515135784784411,0.8787179487179486,0.8615384615384615,0.886818181818182
7,2,0.2171097021852031,0.7362637362637363,0.7362637362637363,0.924025974025974
7,3,0.24882811931288815,0.8333333333333334,0.7714285714285714,0.9822660098522167
7,4,0.2735852014578231,0.7528571428571429,0.6185714285714285,0.8949744897959183
7,5,0.28687483229417776,0.8092626728110599,0.7592626728110599,0.8867595818815331
8,2,0.24462978602880256,0.7208333333333333,0.7208333333333333,0.958197463768116
8,3,0.23779025887247532,0.8420454545454547,0.7909090909090909,0.9141268075639599
8,4,0.26181210123896903,0.8351293103448276,0.8553879310344827,0.8926331453634084
8,5,0.28731240253427986,0.7952777777777778,0.7711111111111111,0.8625453929539295
9,2,0.24669263619885048,0.7777777777777778,0.7777777777777778,0.984888888888889
9,3,0.23686421625852666,0.7888888888888888,0.7084444444444444,0.9371709930849714
9,4,0.24567586979020756,0.8437710437710437,0.7868686868686868,0.8986699472257881
9,5,0.24695467214669278,0.8434688346883469,0.8234146341463415,0.8655550516502897
10,2,0.2298096151563656,0.6863157894736842,0.6863157894736842,0.9029230769230769
10,3,0.2250705294943526,0.7978571428571428,0.78,0.9058614718614718
10,4,0.2557875798674999,0.8178828828828829,0.8002702702702702,0.8775942350332594
10,5,0.3106746802037747,0.79,0.7879999999999999,0.911320754716981
