r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.236353500239361,0.4,0.4,0.5764705882352941
1,3,0.15046831720417314,0.6666666666666666,0.6666666666666666,0.7607843137254902
1,4,0.27038940029446434,0.6166666666666666,0.75,0.8852941176470589
1,5,0.4106188471167792,0.7300000000000001,0.72,0.8229411764705883
2,2,0.40828449943790535,0.3,0.3,0.4790849673202615
2,3,0.26885909382011575,0.4916666666666666,0.5333333333333333,0.5874613003095975
2,4,0.34941673595767886,0.5416666666666666,0.6,0.7654166666666666
2,5,0.27255982469104584,0.6916666666666667,0.8533333333333333,0.7954761904761904
3,2,0.2548392058910457,0.8333333333333334,0.8333333333333334,0.8666666666666668
3,3,0.23836501879892164,0.607936507936508,0.653968253968254,0.7937621832358674
3,4,0.17503939747641858,0.6685185185185185,0.7388888888888889,0.7351690821256038
3,5,0.2657033072119028,0.7833333333333334,0.8133333333333332,0.8962666666666665
4,2,0.27059857428767764,0.55,0.55,0.7725
4,3,0.25770181067362846,0.7416666666666667,0.7666666666666666,0.9105072463768116
4,4,0.1765236921688042,0.6724358974358975,0.7211538461538461,0.8384197324414716
4,5,0.15726314427034166,0.81375,0.925,0.8385103448275861
5,2,0.2503881539550682,0.5666666666666667,0.5666666666666667,0.7816190476190475
5,3,0.2319846507098334,0.5764102564102564,0.5764102564102563,0.8240579710144929
5,4,0.22021786599050355,0.6213725490196078,0.6364705882352941,0.796657824933687
5,5,0.20233220725456266,0.6919047619047619,0.7771428571428571,0.7934712643678161
6,2,0.2173632938947258,0.6621212121212121,0.6621212121212121,0.8376623376623377
6,3,0.22509858132005478,0.6375,0.6749999999999999,0.8584115226337449
6,4,0.17372468120650875,0.7261904761904762,0.8142857142857143,0.8706297892720307
6,5,0.14942110664682956,0.7852564102564102,0.8405128205128205,0.8875075075075074
7,2,0.21138288430357366,0.601098901098901,0.601098901098901,0.8481084133258046
7,3,0.1707668701623537,0.7523809523809524,0.819047619047619,0.9338259441707717
7,4,0.23273172303444664,0.5962857142857143,0.6711428571428572,0.8411883503401361
7,5,0.18666240288373434,0.7519354838709678,0.8305990783410138,0.8972266691778887
8,2,0.2433470806366887,0.645,0.645,0.8485280797101449
8,3,0.16920618209999766,0.7291666666666666,0.7477272727272728,0.8609149054505005
8,4,0.17133492783326582,0.7237787356321841,0.8021551724137931,0.8932127192982456
8,5,0.17386394871782004,0.7776388888888889,0.8483333333333333,0.896019647696477
9,2,0.22997717853687308,0.6222222222222222,0.6222222222222222,0.8657777777777778
9,3,0.2004725901218551,0.6622222222222223,0.7158518518518519,0.8591868505847001
9,4,0.19117274952499916,0.6821548821548823,0.7297979797979799,0.8577093139352445
9,5,0.15422833703767574,0.7458536585365854,0.8229810298102981,0.8814436885865456
10,2,0.20711411855361153,0.6242105263157894,0.6242105263157894,0.7960461538461538
10,3,0.16641469761007474,0.6707142857142858,0.7019047619047619,0.8408427128427128
10,4,0.15405125811929776,0.7560360360360361,0.821891891891892,0.8806614929785661
10,5,0.1552878295525571,0.787,0.9,0.9566415094339623
