r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.36847346836585626,0.5,0.5,0.7441176470588236
1,3,0.31922244061521526,0.6,0.6666666666666667,0.8313725490196079
1,4,0.2924483559501869,0.7833333333333333,0.775,0.9377450980392158
1,5,0.27647759379815723,0.7649999999999999,0.82,0.8644117647058824
1,6,0.3895111612554547,0.6266666666666667,0.6333333333333334,0.7670588235294119
1,7,0.3250979987642158,0.7714285714285714,0.7857142857142856,0.8876750700280113
1,8,0.3543196190734291,0.7535714285714286,0.8125,0.861659663865546
1,9,0.3231221956117206,0.7611111111111111,0.8222222222222222,0.8247549019607842
1,10,0.4095617329630515,0.828888888888889,0.8699999999999999,0.8741830065359475
2,2,0.2507106177023693,0.55,0.55,0.6475490196078431
2,3,0.21983917320004923,0.7208333333333333,0.6833333333333333,0.7325851393188854
2,4,0.24697508272326693,0.7641666666666667,0.7725,0.8535416666666666
2,5,0.3548331911236525,0.7550000000000001,0.8099999999999999,0.8942857142857144
2,6,0.2914273478093383,0.766904761904762,0.7511904761904762,0.8289839572192514
2,7,0.3306850102084261,0.7214285714285716,0.8642857142857142,0.8688923395445134
2,8,0.2815237775753406,0.8133928571428571,0.9076388888888889,0.8710477941176471
2,9,0.21125479927973556,0.7926388888888888,0.8633333333333333,0.8203921568627452
2,10,0.27423817775646336,0.8258080808080809,0.9309090909090909,0.8817295123177475
3,2,0.3178598331236978,0.6999999999999998,0.6999999999999998,0.8535087719298247
3,3,0.2731273261175759,0.6682539682539683,0.661904761904762,0.7652186020607074
3,4,0.29751785618943105,0.6648148148148147,0.6694444444444445,0.8001388888888888
3,5,0.3516393263596185,0.6307575757575756,0.6696969696969697,0.8241809523809523
3,6,0.27663235666656233,0.7857264957264959,0.8649572649572651,0.8463150018705574
3,7,0.3370899367962494,0.7120634920634921,0.7866666666666666,0.8415375645510578
3,8,0.31883223026909846,0.7068277310924369,0.7938725490196079,0.8085077444956477
3,9,0.3019052652697054,0.7701023391812865,0.8614035087719298,0.8700387205387206
3,10,0.2536796601038054,0.7852910052910054,0.9185714285714285,0.7700569800569799
4,2,0.2853000391595871,0.6785714285714286,0.6785714285714286,0.8685526315789474
4,3,0.279862700333945,0.6733333333333332,0.6316666666666666,0.8649413388543822
4,4,0.2543775706314428,0.7721153846153845,0.7894230769230769,0.9021286231884058
4,5,0.24209688398030002,0.7959375,0.84375,0.9058120689655172
4,6,0.2671481345533988,0.7300438596491228,0.8377192982456141,0.8623254243827161
4,7,0.3329314555195068,0.6548701298701298,0.751948051948052,0.8417886464930799
4,8,0.27090271129715177,0.7656071428571429,0.88975,0.8937064182634005
4,9,0.26572740576823584,0.6745039682539682,0.8281746031746031,0.7222609735567053
4,10,0.28966926767627543,0.6646505376344086,0.7916935483870967,0.7775122655122655
5,2,0.25905836995376263,0.6866666666666666,0.6866666666666666,0.867309523809524
5,3,0.23263624682799172,0.7264102564102564,0.7312820512820511,0.8652347826086956
5,4,0.2246538862306211,0.7091176470588235,0.7097058823529412,0.8309836427939878
5,5,0.2951229305657669,0.6233333333333333,0.716952380952381,0.7903605015673981
5,6,0.25818115740396885,0.7186666666666667,0.7673333333333332,0.8248975225225227
5,7,0.25663902362980806,0.7377339901477833,0.8356650246305419,0.8559462419113988
5,8,0.25691798498570034,0.7161147186147188,0.8297727272727272,0.8219964494569757
5,9,0.2744654611585606,0.6808183183183184,0.8693093093093094,0.8336806592555721
5,10,0.2455365700353845,0.7353495934959351,0.8867317073170732,0.8669608347627216
6,2,0.30833267745930854,0.5106060606060605,0.5106060606060605,0.7845057720057721
6,3,0.21309903187846543,0.7798611111111112,0.8166666666666668,0.9125514403292181
6,4,0.22560587560922446,0.7160714285714285,0.7785714285714286,0.857318606321839
6,5,0.26245948575307365,0.6759615384615385,0.7910256410256411,0.8528549003549003
6,6,0.23999630304105954,0.6885663082437278,0.7627240143369176,0.8297368797368797
6,7,0.24211544397951,0.7173280423280424,0.8353174603174605,0.8249703462080215
6,8,0.2725262181401517,0.696305168408827,0.7940040650406504,0.8604618182743182
6,9,0.2150514387036971,0.7736513687600645,0.8994363929146537,0.87086681651218
6,10,0.2272601169559306,0.7621568627450981,0.8775490196078429,0.8556306778476591
7,2,0.27019655318830893,0.6412087912087913,0.6412087912087913,0.862775268210051
7,3,0.24988987606896065,0.6510025062656641,0.6711779448621553,0.8628170041963147
7,4,0.22535769108065423,0.6927619047619047,0.7578571428571428,0.8208195153061224
7,5,0.2232104011889408,0.7556912442396312,0.8250691244239633,0.8715693568132592
7,6,0.20415307848241687,0.7840025740025739,0.8486486486486488,0.8963718820861679
7,7,0.25637565157380166,0.6766809049201077,0.7484100616990982,0.853558251883652
7,8,0.22786144688943777,0.7244533527696791,0.826530612244898,0.8420109324694675
7,9,0.2587604935356378,0.6789718614718614,0.8447907647907649,0.8505546987125934
7,10,0.2592762976685351,0.6931303669008585,0.8179391100702575,0.870722831613336
8,2,0.25382579821352863,0.6583333333333334,0.6583333333333334,0.860439311594203
8,3,0.23502120586736958,0.6850378787878787,0.7018939393939394,0.8589845198368558
8,4,0.23327131487750727,0.7030531609195402,0.7654094827586208,0.8781649436090226
8,5,0.21969043358089885,0.715138888888889,0.8066666666666666,0.8385125338753389
8,6,0.18812446957642243,0.7834689922480621,0.8630813953488372,0.898735338243317
8,7,0.21516803221838407,0.703654761904762,0.8002857142857144,0.8524499558377876
8,8,0.22799929147736075,0.7012648809523808,0.7846217105263158,0.8526614319649276
8,9,0.20109359159493062,0.7640190972222223,0.8892361111111111,0.8611337592202318
8,10,0.2592659825688945,0.6873122065727698,0.8177288732394367,0.852195398082942
9,2,0.29009572115314486,0.5509803921568628,0.5509803921568628,0.8307685185185184
9,3,0.21176015789472474,0.7106666666666668,0.7339259259259259,0.8610495637377358
9,4,0.21693584029768206,0.7459595959595962,0.8007575757575756,0.9112044168687301
9,5,0.2226581270974859,0.7112466124661246,0.7413550135501354,0.8577049634668683
9,6,0.2128242164842758,0.6985941043083901,0.772562358276644,0.8590791972809516
9,7,0.20548313482134212,0.7323308270676693,0.8284043441938179,0.8506177438380828
9,8,0.22100831624237854,0.6957722832722832,0.8054273504273504,0.8319607935190128
9,9,0.20179589590959385,0.75229156096736,0.8604600033823777,0.8832015093339013
9,10,0.20469750117203395,0.7386282578875171,0.8625925925925925,0.8334499930642252
10,2,0.25848096564752004,0.6413157894736843,0.6413157894736843,0.8264153846153846
10,3,0.2038360341393009,0.7111904761904763,0.7171428571428572,0.8841139971139971
10,4,0.20528525526157013,0.738355855855856,0.7910135135135136,0.889878972653363
10,5,0.2152946236094456,0.7311956521739131,0.7817391304347826,0.8865352329611088
10,6,0.19802180238695438,0.7345454545454546,0.8066666666666666,0.857992171288436
10,7,0.23223058159213195,0.6793229166666667,0.7501339285714286,0.851838311922819
10,8,0.20761668291559893,0.7237181996086106,0.8110273972602741,0.8603048250978474
10,9,0.19277024873566517,0.7518326558265582,0.8565311653116531,0.8723364698447927
