r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.0009486979900922065,1.0,1.0,1.0
1,3,0.008109455691356713,1.0,1.0,1.0
1,4,0.010180521868807831,1.0,1.0,1.0
1,5,0.002468154440500738,1.0,1.0,1.0
2,2,0.0032736585925674964,1.0,1.0,1.0
2,3,0.01236209220647972,0.95,1.0,0.9944444444444445
2,4,0.012259317082085875,0.9916666666666666,1.0,0.9993589743589745
2,5,0.010518726969893423,1.0,1.0,1.0
3,2,0.10020115045892378,0.8666666666666668,0.8666666666666668,0.9333333333333332
3,3,0.010589640905851395,1.0,1.0,1.0
3,4,0.017948783752388127,0.9277777777777778,1.0,0.9902777777777778
3,5,0.06964743638831533,0.9333333333333332,0.9333333333333332,0.9644444444444445
4,2,0.003666290212038631,1.0,1.0,1.0
4,3,0.010272509619704275,1.0,1.0,1.0
4,4,0.07150519986350777,0.9291666666666666,0.9375,0.9719298245614034
4,5,0.011284057977575996,0.9949999999999999,1.0,0.9995454545454546
5,2,0.06684501553146155,0.9199999999999999,0.9199999999999999,0.9528571428571428
5,3,0.07306340711844408,0.9199999999999999,0.9199999999999999,0.9670370370370371
5,4,0.015544120356889516,0.9733333333333333,1.0,0.9951515151515151
5,5,0.009331746077562453,0.992,1.0,0.9984615384615385
6,2,0.045796208698733964,0.9333333333333332,0.9333333333333332,0.9744444444444443
6,3,0.11683582940988443,0.8555555555555555,0.8555555555555555,0.9302777777777778
6,4,0.06547744327367591,0.9361111111111111,0.9333333333333332,0.966
6,5,0.12589605034990012,0.85,0.86,0.9193888888888889
7,2,0.04155224887342433,0.9428571428571428,0.9428571428571428,0.9776785714285715
7,3,0.16778722098832444,0.7809523809523811,0.8095238095238095,0.9207792207792208
7,4,0.17875344116974046,0.8238095238095238,0.8285714285714286,0.874234693877551
7,5,0.1135310401253226,0.8814285714285715,0.8971428571428571,0.9328991596638655
8,2,0.08449425919889157,0.9,0.9,0.9566176470588236
8,3,0.18919904714749736,0.8,0.8,0.8800347222222223
8,4,0.1986558580278805,0.7895833333333332,0.79375,0.867002688172043
8,5,0.11283134659124801,0.89375,0.9,0.9148684210526316
9,2,0.11351708400855458,0.8666666666666666,0.8666666666666666,0.9265432098765432
9,3,0.1396313380603957,0.8666666666666666,0.8666666666666666,0.9170940170940172
9,4,0.14754847637088558,0.8629629629629629,0.8666666666666666,0.9098039215686274
9,5,0.2322457400786932,0.7755555555555556,0.7777777777777778,0.8017989417989417
10,2,0.09969157876320198,0.8800000000000001,0.8800000000000001,0.9373684210526315
10,3,0.16293511428601215,0.8400000000000001,0.8400000000000001,0.8797619047619047
10,4,0.21518028634300057,0.8,0.8,0.8246396396396397
10,5,0.17985888934662345,0.8390000000000001,0.8440000000000001,0.8431739130434783
