r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.008512907253246771,1.0,1.0,1.0
1,3,0.005071101723737204,1.0,1.0,1.0
1,4,0.0014805804579733203,1.0,1.0,1.0
1,5,0.00510004551760076,1.0,1.0,1.0
1,6,0.0014169663105370097,1.0,1.0,1.0
1,7,0.014507152817393187,0.9952380952380953,1.0,0.9990476190476191
1,8,0.019475883006969185,0.9928571428571429,1.0,0.9982142857142857
1,9,0.011631415495343387,0.9888888888888889,1.0,0.9986111111111111
1,10,0.022178623327449416,0.99,1.0,0.9969999999999999
2,2,0.011800451268670653,1.0,1.0,1.0
2,3,0.005814543639096949,1.0,1.0,1.0
2,4,0.1052000571255242,0.9875,1.0,0.9977564102564103
2,5,0.10379909909656196,0.97,0.99,0.9887499999999999
2,6,0.015038491382370123,0.9966666666666667,1.0,0.9982222222222223
2,7,0.014748589003001328,0.9964285714285716,1.0,0.9996279761904763
2,8,0.026257029492910134,0.9928571428571429,1.0,0.9991071428571429
2,9,0.02642750724191184,1.0,1.0,1.0
2,10,0.018602880424542875,0.9888888888888889,1.0,0.9991228070175439
3,2,0.07182732918832538,1.0,1.0,1.0
3,3,0.004458555308475366,1.0,1.0,1.0
3,4,0.011111789431763917,1.0,1.0,1.0
3,5,0.07614843356407605,0.9766666666666666,0.9933333333333334,0.9835185185185186
3,6,0.02844094156229749,0.9933333333333334,1.0,0.9991666666666668
3,7,0.16579119989466348,0.934126984126984,0.9428571428571428,0.9371933621933621
3,8,0.03830516850924563,0.9952380952380953,1.0,0.9992063492063492
3,9,0.08084769756759859,1.0,1.0,1.0
3,10,0.11303741461491745,0.9355555555555556,0.9633333333333333,0.9387698412698413
4,2,0.10710661167683036,0.9625,0.9625,0.9971153846153846
4,3,0.10807961564760296,0.9791666666666667,0.9916666666666666,0.9981770833333332
4,4,0.010468997443952624,1.0,1.0,1.0
4,5,0.05410400334220157,1.0,1.0,1.0
4,6,0.1852978197832829,0.9299999999999999,0.975,0.9251666666666665
4,7,0.15984095557804523,0.961309523809524,0.9821428571428571,0.9546130952380952
4,8,0.03939415088848943,0.9964285714285716,1.0,0.9994815668202766
4,9,0.12088652578045947,0.992361111111111,0.9972222222222221,0.9981209150326797
4,10,0.17794537513155997,0.9466666666666667,0.95,0.9456906906906907
5,2,0.08837166738474125,0.9700000000000001,0.9700000000000001,0.9942857142857143
5,3,0.07040018584790667,0.9866666666666667,0.9866666666666667,0.9983333333333334
5,4,0.20660609677785685,0.8766666666666667,0.9199999999999999,0.8897727272727274
5,5,0.2006133031462217,0.9269999999999999,0.9719999999999999,0.9246923076923077
5,6,0.18800219537893348,0.9613333333333334,0.9800000000000001,0.9608666666666666
5,7,0.2420132259306132,0.9,0.9428571428571428,0.8880252100840336
5,8,0.2493954733880473,0.8964285714285714,0.9375,0.8810526315789474
5,9,0.2435589233560203,0.8863888888888889,0.9311111111111112,0.8795965608465608
5,10,0.2737754674081067,0.8640000000000001,0.8940000000000001,0.8601739130434781
6,2,0.17248483831411937,0.9583333333333333,0.9583333333333333,0.9944444444444445
6,3,0.13698869782457104,0.9444444444444444,0.95,0.9554166666666667
6,4,0.13244216733001354,1.0,1.0,1.0
6,5,0.19340821384259835,0.9116666666666665,0.9566666666666667,0.9101944444444445
6,6,0.32774338802463887,0.7877777777777778,0.861111111111111,0.7841746031746032
6,7,0.24780392925055633,0.8813492063492063,0.9166666666666666,0.8757142857142857
6,8,0.22691043691854831,0.8925595238095237,0.9270833333333333,0.9041666666666666
6,9,0.19518993507917426,0.9488425925925924,0.962962962962963,0.9614305555555556
6,10,0.2335851212009617,0.8942592592592593,0.9133333333333333,0.8946969696969698
7,2,0.09740603216657259,0.9857142857142858,0.9857142857142858,0.9982142857142857
7,3,0.1304025067097815,0.95,0.9571428571428571,0.9487012987012987
7,4,0.22993731836991488,0.9035714285714285,0.9392857142857143,0.8904761904761905
7,5,0.24462605810889387,0.9099999999999998,0.9542857142857144,0.9044747899159663
7,6,0.34439431813638,0.9047619047619049,0.95,0.9102738095238095
7,7,0.3607735789597423,0.8452380952380952,0.9122448979591835,0.8337843833185449
