r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.006196294517069179,1.0,1.0,1.0
1,3,0.009392230448933002,1.0,1.0,1.0
1,4,0.01236042241557559,1.0,1.0,1.0
1,5,0.011998470665404598,1.0,1.0,1.0
1,6,0.018095012264312503,1.0,1.0,1.0
1,7,0.016182921675960766,1.0,1.0,1.0
1,8,0.022737667901454605,1.0,1.0,1.0
1,9,0.02652269603927022,1.0,1.0,1.0
1,10,0.027385171908267624,1.0,1.0,1.0
2,2,0.012848927936984573,1.0,1.0,1.0
2,3,0.017562855942261174,1.0,1.0,1.0
2,4,0.11153841263014788,0.9541666666666668,0.9,0.989423076923077
2,5,0.11726705576623546,0.9675,0.9,0.9907142857142857
2,6,0.04638051146145012,1.0,1.0,1.0
2,7,0.0767480377216689,1.0,1.0,1.0
2,8,0.10936074480403046,1.0,1.0,1.0
2,9,0.10045559668484838,1.0,1.0,1.0
2,10,0.10823585390629324,1.0,1.0,1.0
3,2,0.0728276832378832,0.9333333333333333,0.9333333333333333,0.9944444444444445
3,3,0.0193532527270075,1.0,1.0,1.0
3,4,0.024783502421448094,1.0,1.0,1.0
3,5,0.09549027248889333,0.9783333333333333,0.9333333333333332,0.9951851851851853
3,6,0.0660139503821375,1.0,1.0,1.0
3,7,0.19885237661898897,0.9587301587301585,0.8761904761904763,0.9887806637806635
3,8,0.07987204400174698,1.0,1.0,1.0
3,9,0.11527140487280181,1.0,1.0,1.0
3,10,0.12597792171106773,0.9862962962962964,0.9366666666666668,0.9955158730158729
4,2,0.11812984603956105,0.9,0.9,0.9836538461538462
4,3,0.1240480722405303,0.9375,0.9,0.9921875
4,4,0.03520879099077238,1.0,1.0,1.0
4,5,0.10077325055130963,1.0,1.0,1.0
4,6,0.22401871580176264,0.9366666666666668,0.85,0.9866666666666667
4,7,0.1927449463706468,0.9821428571428571,0.95,0.9954719387755102
4,8,0.0950369102826799,1.0,1.0,1.0
4,9,0.15549836188803107,1.0,1.0,1.0
4,10,0.24839319581824873,0.9838888888888888,0.95,0.99237987987988
5,2,0.09989851208727796,0.9199999999999999,0.9199999999999999,0.987142857142857
5,3,0.09421076787154511,0.96,0.96,0.9914814814814814
5,4,0.22776986233301372,0.9016666666666667,0.85,0.982878787878788
5,5,0.23300263930392817,0.932,0.8919999999999998,0.9861923076923077
5,6,0.19063366754341998,0.9786666666666667,0.96,0.9953333333333333
5,7,0.25380994091128606,0.9671428571428573,0.8828571428571428,0.9938235294117647
5,8,0.26835821936346116,0.9557142857142857,0.8799999999999999,0.9908834586466165
5,9,0.2665573432782786,0.9663888888888887,0.9088888888888889,0.993558201058201
5,10,0.3394906948618562,0.9544444444444442,0.8959999999999999,0.9903913043478261
6,2,0.18619307303815308,0.8333333333333334,0.8333333333333334,0.9744444444444443
6,3,0.16254535874751813,0.9083333333333332,0.9,0.986111111111111
6,4,0.144514758288458,1.0,1.0,1.0
6,5,0.24394706111272596,0.9141666666666668,0.8999999999999998,0.98475
6,6,0.34139630636520446,0.9,0.7916666666666667,0.9844761904761905
6,7,0.28268289592516666,0.9591269841269842,0.9,0.9936408730158732
6,8,0.2563386453679279,0.9642857142857142,0.9166666666666666,0.9942724867724866
6,9,0.23345223849441932,0.9833333333333332,0.9703703703703704,0.9967129629629629
6,10,0.334584485557043,0.9648148148148147,0.9649999999999999,0.9793939393939393
7,2,0.12491134666671469,0.9142857142857143,0.9142857142857143,0.9870535714285713
7,3,0.13723978349725469,0.95,0.9428571428571428,0.9924242424242425
7,4,0.24028735697894751,0.9178571428571429,0.8857142857142858,0.9861819727891156
7,5,0.2853899065514876,0.9250000000000002,0.8857142857142856,0.9887394957983193
7,6,0.3458395092996818,0.9528571428571428,0.9166666666666667,0.992904761904762
7,7,0.3962642823490609,0.9224489795918368,0.8448979591836736,0.9886128364389233
7,8,0.39349645328351884,0.9387755102040817,0.8821428571428571,0.983197605965463
7,9,0.4188906307101915,0.9400793650793651,0.8825396825396826,0.9840961959496441
7,10,0.39577496647646926,0.9438095238095237,0.9,0.9755803571428571
8,2,0.2167510399608099,0.825,0.825,0.9746323529411767
8,3,0.1492419453638195,0.925,0.925,0.9901909722222223
8,4,0.2903023556199807,0.921875,0.890625,0.9891801075268816
8,5,0.2855599382924854,0.94375,0.9199999999999999,0.992483552631579
8,6,0.29020087174611087,0.9441666666666666,0.9270833333333334,0.9910092592592592
8,7,0.4200312568720371,0.9306547619047618,0.8785714285714284,0.9879178113553113
8,8,0.4532030732406649,0.9033482142857142,0.8421875,0.983485926150121
8,9,0.38920364655469036,0.9149305555555556,0.9263888888888889,0.9654698021885523
8,10,0.4333051217537432,0.9144444444444444,0.87375,0.9709779299847794
9,2,0.18820040699579993,0.8666666666666666,0.8666666666666666,0.9787037037037036
9,3,0.2675452085784899,0.8722222222222221,0.8666666666666666,0.9820512820512821
9,4,0.34358327413009704,0.8935185185185185,0.85,0.9852668845315904
9,5,0.38753348324938486,0.9005555555555554,0.8644444444444446,0.9882936507936508
9,6,0.4064479945178441,0.8962962962962961,0.8518518518518519,0.9853851851851854
9,7,0.5025998046551504,0.9026455026455029,0.8158730158730159,0.9832147418354316
9,8,0.4624119055397496,0.9015873015873014,0.9041666666666668,0.9528589466089464
9,9,0.46309299583260816,0.8925925925925926,0.8913580246913579,0.9571738405071739
9,10,0.5060051184774733,0.8518518518518519,0.8777777777777779,0.8985140018066845
10,2,0.23854762209500188,0.82,0.82,0.973421052631579
10,3,0.29526229344695154,0.8566666666666667,0.8433333333333334,0.980297619047619
10,4,0.37311561435924173,0.8899999999999997,0.8450000000000001,0.9875900900900902
10,5,0.44530063408773285,0.89,0.852,0.9887608695652172
10,6,0.44234838460533343,0.8999999999999998,0.885,0.9808181818181818
10,7,0.4965135695647301,0.8861904761904762,0.8399999999999999,0.9738095238095237
