r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.19651651397566278,0.8,0.8,0.8
1,3,0.006617233352421997,1.0,1.0,1.0
1,4,0.1551411629244642,0.8,0.8,0.8516666666666666
1,5,0.14694208607196413,0.8,0.8,0.8620000000000001
2,2,0.09873246185723367,0.9,0.9,0.9
2,3,0.17255758157432038,0.8,0.8,0.8055555555555556
2,4,0.01048092206992542,1.0,1.0,1.0
2,5,0.15136062357691937,0.8,0.8,0.8578571428571429
3,2,0.20558516044370675,0.7333333333333333,0.7333333333333333,0.8416666666666666
3,3,0.06186527228126846,0.9333333333333332,0.9333333333333332,0.9357142857142857
3,4,0.0594304145525172,0.9333333333333332,0.9333333333333332,0.946875
3,5,0.13132455577529742,0.8766666666666666,0.8533333333333333,0.9487037037037037
4,2,0.0557749891034154,0.95,0.95,0.95
4,3,0.07860405216796916,0.9,0.9,0.9197916666666668
4,4,0.1484140479806713,0.8208333333333332,0.8125,0.9263157894736842
4,5,0.05463123615485919,0.95,0.95,0.9720454545454545
5,2,0.12335979013338653,0.8400000000000001,0.8400000000000001,0.9028571428571428
5,3,0.11008332712640434,0.8533333333333333,0.8533333333333333,0.9425925925925925
5,4,0.10317977033764332,0.8733333333333333,0.8699999999999999,0.9096969696969698
5,5,0.06394111028353955,0.9199999999999999,0.9199999999999999,0.9503846153846155
6,2,0.10829245981067936,0.8666666666666666,0.8666666666666666,0.9233333333333335
6,3,0.13766310761682127,0.8277777777777777,0.8111111111111111,0.9208333333333334
6,4,0.1122426863625374,0.8833333333333334,0.8916666666666668,0.9555555555555555
6,5,0.1644243828097065,0.7916666666666667,0.7866666666666667,0.924
7,2,0.12102909155290356,0.8571428571428573,0.8571428571428573,0.9
7,3,0.18214378608628862,0.7333333333333334,0.7428571428571429,0.9151515151515153
7,4,0.17772486013805353,0.7571428571428571,0.7428571428571429,0.9217687074829932
7,5,0.1421812831391028,0.8328571428571427,0.8685714285714285,0.9434453781512605
8,2,0.1484371364864559,0.8125,0.8125,0.8882352941176471
8,3,0.20952530354015092,0.7125,0.6916666666666667,0.8866319444444445
8,4,0.214239455838742,0.6749999999999999,0.6875,0.9079301075268816
8,5,0.14918018151324214,0.8225,0.835,0.9174671052631579
9,2,0.15029533536241763,0.8111111111111111,0.8111111111111111,0.906172839506173
9,3,0.1396255031705164,0.8,0.8074074074074075,0.9148148148148147
9,4,0.15364235794670003,0.7722222222222224,0.7777777777777778,0.9247276688453161
9,5,0.17103501457759554,0.76,0.7333333333333333,0.9343650793650793
10,2,0.17166757906116345,0.7899999999999999,0.7899999999999999,0.8757894736842105
10,3,0.16995141071360403,0.73,0.7266666666666666,0.9110714285714288
10,4,0.19114756023697593,0.6966666666666667,0.7049999999999998,0.9177927927927927
10,5,0.16245943450086217,0.776,0.764,0.9246304347826086
