r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.2014942670316901,0.8,0.8,0.8
1,3,0.02164288984634817,1.0,1.0,1.0
1,4,0.17062906012738172,0.8,0.8,0.845
1,5,0.15913544255389064,0.8400000000000001,0.8,0.9179999999999999
2,2,0.1165987374933862,0.9,0.9,0.9
2,3,0.18690443194673334,0.8,0.8,0.8069444444444445
2,4,0.020693996060902695,1.0,1.0,1.0
2,5,0.1570044269364426,0.8300000000000001,0.8,0.9275
3,2,0.22637852135671227,0.7333333333333333,0.7333333333333333,0.8277777777777778
3,3,0.07714875226118456,0.9333333333333332,0.9333333333333332,0.9357142857142857
3,4,0.09937097858234593,0.9333333333333332,0.9333333333333332,0.9597222222222221
3,5,0.1628541305883579,0.85,0.8666666666666666,0.9505555555555556
4,2,0.07594166280840522,0.95,0.95,0.95
4,3,0.1010513758456583,0.9,0.9,0.9078125
4,4,0.15344421036207706,0.8333333333333333,0.8375,0.9278508771929825
4,5,0.08642768834954286,0.95,0.95,0.9727272727272727
5,2,0.15941411761394841,0.8400000000000001,0.8400000000000001,0.8871428571428572
5,3,0.14783971565387216,0.8666666666666666,0.8800000000000001,0.9185185185185185
5,4,0.1380412537563462,0.8800000000000001,0.8800000000000001,0.9046969696969697
5,5,0.09213509943513137,0.9199999999999999,0.9199999999999999,0.9414615384615385
6,2,0.1372888078518981,0.8833333333333334,0.8833333333333334,0.9177777777777777
6,3,0.16282445548652022,0.8444444444444444,0.8444444444444444,0.9225
6,4,0.13209668675888359,0.8916666666666668,0.8833333333333334,0.9504444444444445
6,5,0.19972468130703142,0.8083333333333332,0.78,0.9270555555555555
7,2,0.16282678118322833,0.8714285714285716,0.8714285714285716,0.9017857142857142
7,3,0.22692843046532576,0.8,0.7904761904761906,0.9244588744588744
7,4,0.19060097347681698,0.8,0.7857142857142858,0.9359693877551021
7,5,0.1799514024338451,0.8542857142857143,0.8685714285714285,0.9389495798319327
8,2,0.19805988300173755,0.825,0.825,0.8875
8,3,0.2596731665437048,0.7541666666666667,0.7333333333333333,0.8644097222222223
8,4,0.2230827480295578,0.7291666666666666,0.725,0.9078629032258064
8,5,0.19027454440325947,0.8275,0.8400000000000001,0.9139473684210527
9,2,0.1890185627497772,0.8222222222222223,0.8222222222222223,0.9080246913580247
9,3,0.18455591282522904,0.8333333333333334,0.8444444444444444,0.904985754985755
9,4,0.17733397701237383,0.8203703703703704,0.8388888888888889,0.9303376906318084
9,5,0.19501454605514298,0.7244444444444444,0.7066666666666667,0.9326719576719575
10,2,0.2116327374772043,0.8099999999999999,0.8099999999999999,0.881578947368421
10,3,0.20531002954357302,0.8133333333333332,0.8200000000000001,0.8945238095238096
10,4,0.1906441005577199,0.7316666666666666,0.72,0.9324324324324325
10,5,0.19125389314375446,0.6970000000000001,0.724,0.907
