r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.4806977145691419,0.0,0.0,0.37666666666666665
1,3,0.35265997957313977,0.0,0.0,0.47444444444444445
1,4,0.486453516222506,0.0,0.0,0.43500000000000005
1,5,0.4734586078073056,0.045,0.0,0.4576666666666666
1,6,0.43866033436866525,0.19666666666666668,0.18333333333333335,0.5671111111111112
1,7,0.4769001867221042,0.3123015873015873,0.34285714285714286,0.5864126984126985
1,8,0.5136934385106535,0.3767857142857143,0.3375,0.5871269841269842
1,9,0.3934196854574906,0.6833333333333333,0.6111111111111112,0.8091666666666665
1,10,0.49060697662098685,0.5659259259259259,0.53,0.6968148148148147
2,2,0.3847104278662563,0.0,0.0,0.4421875
2,3,0.39165764218916427,0.04166666666666667,0.05,0.544607843137255
2,4,0.40986575268753833,0.0375,0.05,0.563425925925926
2,5,0.5040660981134819,0.07250000000000001,0.04,0.5160526315789473
2,6,0.3477988398306143,0.2583333333333333,0.20833333333333334,0.6854166666666666
2,7,0.5215925041307279,0.25476190476190474,0.20714285714285713,0.6040986394557825
2,8,0.44338748279237167,0.40267857142857133,0.2875,0.6833198051948051
2,9,0.430467117338939,0.5420833333333334,0.5066666666666666,0.7367708333333336
2,10,0.4329558026678103,0.6120833333333334,0.5675000000000001,0.7592731481481481
3,2,0.4012818031767729,0.0,0.0,0.43725490196078426
3,3,0.42668757686432307,0.0,0.0,0.4964912280701754
3,4,0.3859307181643715,0.13333333333333333,0.1,0.6511904761904762
3,5,0.38497716380334174,0.21166666666666667,0.18666666666666665,0.678695652173913
3,6,0.3568844616432981,0.2422222222222222,0.17222222222222225,0.6792
3,7,0.41878369006693433,0.2841269841269841,0.30952380952380953,0.6918871252204586
3,8,0.36892509764624326,0.48912337662337657,0.5443181818181818,0.7730295566502463
3,9,0.32244675312891696,0.6328703703703703,0.6796296296296297,0.8342275772316095
3,10,0.38389189188029105,0.5791452991452992,0.5302564102564102,0.8138747629552225
4,2,0.37319960299080535,0.0,0.0,0.5048611111111112
4,3,0.3734703801587902,0.0,0.0,0.5888888888888889
4,4,0.3255339207207798,0.08333333333333334,0.01875,0.6743923611111111
4,5,0.3704779924279486,0.28625,0.175,0.7169444444444444
4,6,0.35869617634656215,0.325,0.2833333333333333,0.7227777777777777
4,7,0.3231516487827514,0.40085978835978836,0.4142857142857143,0.7767347582972582
4,8,0.3611488291746399,0.4583630952380952,0.43916666666666665,0.790179981714908
4,9,0.39919825864663194,0.45523989898989903,0.40479797979797977,0.7553892153371318
4,10,0.3989581484181409,0.5201543209876544,0.5569444444444445,0.7667529935950987
5,2,0.37380739863050805,0.0,0.0,0.4794736842105262
5,3,0.40339026230519986,0.01,0.0,0.5728985507246376
5,4,0.3470643344831706,0.145,0.12,0.6947530864197532
5,5,0.3679296340461704,0.24600000000000005,0.18800000000000003,0.7188064516129031
5,6,0.32757600147305166,0.3493333333333334,0.30999999999999994,0.761961904761905
5,7,0.3327649422783795,0.480658263305322,0.516890756302521,0.783051667630615
5,8,0.4686746093054233,0.34221804511278203,0.32881578947368423,0.7098412203225024
5,9,0.37052603011248275,0.5293452380952381,0.5006349206349207,0.798990651192779
5,10,0.42862165458270435,0.46883091787439624,0.5008695652173912,0.7846352384925599
6,2,0.3502216811715461,0.0,0.0,0.4887499999999999
6,3,0.3153191028183361,0.05277777777777778,0.03888888888888888,0.6104444444444445
6,4,0.37579643161811105,0.1333333333333333,0.0875,0.6747222222222222
6,5,0.34779669334255414,0.2558333333333333,0.1933333333333333,0.7543095238095239
6,6,0.39507766056244553,0.2700000000000001,0.2444444444444444,0.7144027777777777
6,7,0.3796946328617202,0.3462543554006969,0.3025551684088269,0.737048861632195
6,8,0.34428104107553203,0.46904761904761905,0.467572463768116,0.7967131448412696
6,9,0.3611193672385423,0.46195533769063185,0.4934640522875817,0.774852645040145
6,10,0.3240314789357139,0.5400793650793652,0.6228571428571428,0.8027085537918872
7,2,0.34694038644090913,0.02857142857142857,0.02857142857142857,0.5676870748299321
7,3,0.32269538779140705,0.07857142857142856,0.06190476190476191,0.6601410934744268
7,4,0.35432757030678225,0.10714285714285712,0.08928571428571427,0.6803030303030303
7,5,0.30413328650947646,0.3707142857142858,0.27714285714285714,0.7840476190476192
7,6,0.38874108171125726,0.26,0.21666666666666665,0.7210158730158731
7,7,0.34530189168840203,0.38860544217687065,0.3565051020408163,0.7776986794717887
7,8,0.42138726433662316,0.3650510204081633,0.3625661375661376,0.7269347882693746
7,9,0.35450932720147055,0.49178571428571416,0.4825396825396825,0.8068556311413453
7,10,0.42423438033817257,0.43410293410293416,0.44844155844155836,0.7344502486241613
8,2,0.3685806804989909,0.01875,0.01875,0.5269886363636365
8,3,0.3456271232618041,0.11041666666666665,0.058333333333333334,0.6887212643678161
8,4,0.3359942766369814,0.19166666666666665,0.146875,0.7322916666666666
8,5,0.34477131796719884,0.27625,0.2125,0.7328488372093023
8,6,0.3974560165175346,0.2729166666666667,0.23125,0.7087166666666669
8,7,0.3469974933950352,0.3540367965367965,0.3192207792207792,0.7503477257130922
8,8,0.3762790963648771,0.43284130184331787,0.4146673387096774,0.7672064687139978
8,9,0.3948939100309029,0.4480223429951691,0.4280797101449275,0.7493915915838165
8,10,0.4006204546853924,0.4459868421052631,0.4270394736842106,0.7675064006314005
9,2,0.3289637660182291,0.05555555555555556,0.05555555555555556,0.5746376811594203
9,3,0.31524013852160915,0.09259259259259259,0.07777777777777777,0.6395459976105138
9,4,0.30078496948097255,0.1925925925925926,0.1222222222222222,0.7393162393162395
9,5,0.2948398414149963,0.35277777777777775,0.2733333333333333,0.7717612293144207
9,6,0.34144811617762527,0.3181481481481482,0.2796296296296296,0.7412659932659932
9,7,0.3662366476375601,0.3634749957330603,0.32895545314900154,0.7317642373556354
9,8,0.38530269720949273,0.4221315192743765,0.38702380952380944,0.7558721977598281
9,9,0.37136256385300015,0.46064221272554606,0.4210826210826212,0.7480910103141116
9,10,0.4142573266710136,0.37666666666666654,0.34165374677002586,0.7190740655256189
10,2,0.3091824822065962,0.05500000000000001,0.05500000000000001,0.59125
10,3,0.32207636274081397,0.11333333333333333,0.09333333333333332,0.6626262626262627
10,4,0.317458637281545,0.22333333333333333,0.20250000000000004,0.7546626984126984
10,5,0.3580584404127537,0.288,0.22799999999999998,0.7267352941176471
10,6,0.3180450471348045,0.4206666666666667,0.375,0.7945666666666666
10,7,0.3429287637861015,0.385776397515528,0.319648033126294,0.7583890614216701
10,8,0.35577734508055514,0.42041666666666655,0.3437820512820513,0.7663389965297858
10,9,0.3434785828612837,0.4836733716475095,0.424367816091954,0.7825445060207991
10,10,0.39201364965279073,0.44931944444444427,0.45433333333333337,0.7431917270531402
