r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.020736955080896066,0.8,0.8,0.9866666666666667
1,3,0.04035528514309008,0.9333333333333332,1.0,0.9822222222222223
1,4,0.03788736750759436,0.8333333333333333,0.95,0.9722222222222221
1,5,0.03513550867161147,0.9099999999999999,1.0,0.9833333333333334
2,2,0.02590061521338883,0.9,0.9,0.99375
2,3,0.043035044208174486,0.8333333333333334,0.8666666666666668,0.9725490196078432
2,4,0.043376252091749126,0.8499999999999999,0.875,0.9694444444444447
2,5,0.059342136430021175,0.86,0.9400000000000001,0.9602631578947369
3,2,0.031081245607605355,0.8333333333333334,0.8333333333333334,0.9823529411764707
3,3,0.037107889418836346,0.8555555555555557,0.888888888888889,0.9736842105263157
3,4,0.059701879278680446,0.7055555555555555,0.8166666666666667,0.9455026455026456
3,5,0.02894305251490416,0.8666666666666666,0.96,0.9794202898550723
4,2,0.104281249447669,0.7,0.7,0.9305555555555556
4,3,0.033642102862610525,0.8666666666666666,0.8666666666666666,0.9853174603174603
4,4,0.1854566896598574,0.7,0.7375,0.9046875
4,5,0.03856811192480661,0.8150000000000001,0.8699999999999999,0.971111111111111
5,2,0.03980524312389703,0.7,0.7,0.9673684210526317
5,3,0.03386857454121746,0.76,0.7866666666666668,0.9652173913043478
5,4,0.0940007698667314,0.76,0.8300000000000001,0.9503703703703703
5,5,0.08643605708862798,0.78,0.8320000000000001,0.9321290322580644
6,2,0.08663194851717933,0.6666666666666667,0.6666666666666667,0.9358333333333334
6,3,0.19042701198815695,0.6333333333333333,0.6444444444444446,0.8866666666666667
6,4,0.104277847927841,0.6972222222222222,0.7666666666666666,0.9528703703703705
6,5,0.12221070778731384,0.695,0.78,0.9253809523809524
7,2,0.08715776426908464,0.45714285714285713,0.45714285714285713,0.9115646258503401
7,3,0.09870206480516752,0.6761904761904761,0.6952380952380952,0.9313932980599647
7,4,0.13128636361161988,0.6928571428571428,0.7357142857142857,0.9294372294372295
7,5,0.1373341642307465,0.6328571428571428,0.7371428571428572,0.9240293040293042
8,2,0.05469876995873139,0.5875,0.5875,0.9539772727272726
8,3,0.07923265820351628,0.6791666666666667,0.6916666666666667,0.9340517241379309
8,4,0.2431688955682203,0.5562499999999999,0.60625,0.9097222222222221
8,5,0.15149847727465846,0.65625,0.73,0.908953488372093
9,2,0.04877702311099362,0.5888888888888889,0.5888888888888889,0.9603864734299516
9,3,0.16318483194044026,0.674074074074074,0.674074074074074,0.917084826762246
9,4,0.2508629014125092,0.5074074074074073,0.45555555555555555,0.8756410256410257
9,5,0.30920504838389634,0.5033333333333333,0.5599999999999999,0.8428368794326243
10,2,0.11258208658878832,0.51,0.51,0.9012500000000001
10,3,0.1217337034864437,0.6399999999999999,0.6599999999999999,0.9400000000000001
10,4,0.2852885754646319,0.5233333333333332,0.475,0.8750396825396825
10,5,0.30870468304418675,0.511,0.544,0.8758235294117647
