r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.012366170414545241,0.7,0.7,0.9533333333333334
1,3,0.010953399300292776,1.0,1.0,1.0
1,4,0.11449768213136009,0.7833333333333334,0.9,0.9111111111111111
1,5,0.04890101971699968,0.68,0.96,0.9133333333333333
2,2,0.07505003178199675,0.75,0.75,0.909375
2,3,0.05659617552269386,0.8166666666666668,0.8666666666666668,0.9470588235294117
2,4,0.08187745963413631,0.7416666666666667,0.85,0.9375
2,5,0.07201021690994841,0.755,0.8800000000000001,0.9236842105263158
3,2,0.07691118700384283,0.7666666666666667,0.7666666666666667,0.9176470588235294
3,3,0.08910414292700415,0.7777777777777779,0.8444444444444443,0.9374269005847953
3,4,0.07089880984915353,0.5944444444444444,0.8333333333333334,0.9084656084656085
3,5,0.045405303891966634,0.77,0.9199999999999999,0.9539130434782608
4,2,0.11535610741526905,0.725,0.725,0.9527777777777778
4,3,0.061797991329761846,0.7750000000000001,0.8333333333333333,0.9535714285714286
4,4,0.1858075819099126,0.7458333333333332,0.825,0.9335069444444443
4,5,0.10288976162217311,0.6825,0.8400000000000001,0.9252777777777779
5,2,0.06262134702757212,0.76,0.76,0.9484210526315788
5,3,0.08984179244437698,0.6866666666666666,0.7333333333333333,0.9121739130434781
5,4,0.1368548942896957,0.6166666666666667,0.76,0.8874074074074075
5,5,0.12792497277351397,0.6900000000000001,0.9039999999999999,0.9121935483870969
6,2,0.10704814869374087,0.7,0.7,0.9383333333333332
6,3,0.21620426996200082,0.7055555555555555,0.7666666666666667,0.8926666666666667
6,4,0.17892807881837416,0.5722222222222222,0.7250000000000001,0.8892592592592592
6,5,0.18434223506314015,0.6366666666666667,0.78,0.8901904761904763
7,2,0.13000900820421385,0.5285714285714285,0.5285714285714285,0.889795918367347
7,3,0.1578642465936883,0.6666666666666667,0.7238095238095238,0.898589065255732
7,4,0.14424853342072075,0.6714285714285715,0.7785714285714286,0.9066378066378066
7,5,0.19024930525117947,0.5999999999999999,0.7142857142857143,0.886959706959707
8,2,0.09536163666684168,0.575,0.575,0.9136363636363637
8,3,0.15095484373843898,0.5791666666666666,0.6333333333333333,0.8816091954022989
8,4,0.2563126763421727,0.5833333333333334,0.65,0.9115740740740741
8,5,0.20330134860609447,0.53625,0.675,0.8561337209302324
9,2,0.09968308674769491,0.5555555555555555,0.5555555555555555,0.9086956521739131
9,3,0.15049023877263418,0.6518518518518518,0.7185185185185186,0.9051373954599761
9,4,0.2588710542147317,0.5611111111111111,0.6722222222222223,0.8883190883190885
9,5,0.396942006963871,0.5466666666666666,0.6311111111111111,0.8355555555555558
10,2,0.13523631426123967,0.53,0.53,0.8941666666666667
10,3,0.18754720244223577,0.5700000000000001,0.64,0.8828282828282829
10,4,0.26757973321557466,0.5850000000000001,0.7,0.8649603174603175
10,5,0.34927622101227945,0.5189999999999999,0.5479999999999999,0.8766470588235296
