r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.20576932858518754,0.75,0.75,0.9466666666666667
1,3,0.32503550465993997,0.8333333333333334,0.8,0.9677777777777778
1,4,0.34234607219719215,0.7249999999999999,0.775,0.9261111111111111
1,5,0.3280482331152904,0.745,0.76,0.8866666666666667
1,6,0.23224705472210086,0.8600000000000001,0.9166666666666667,0.9597777777777777
1,7,0.44088683709185217,0.7932539682539682,0.8214285714285715,0.8478095238095239
1,8,0.3738743751273428,0.7636904761904761,0.825,0.8426507936507935
1,9,0.2666889960363258,0.961111111111111,1.0,0.9875
1,10,0.37669232960369897,0.8203703703703702,0.82,0.8474814814814813
2,2,0.3560650781797551,0.6,0.6,0.915625
2,3,0.36553478441792364,0.7083333333333333,0.6833333333333333,0.9387254901960784
2,4,0.37797070416308204,0.7874999999999999,0.7875,0.9243055555555555
2,5,0.3310383876753487,0.615,0.5900000000000001,0.8339473684210527
2,6,0.3898147506191742,0.8233333333333335,0.7666666666666667,0.9417499999999999
2,7,0.2520449340125198,0.7261904761904762,0.6571428571428571,0.8745294784580497
2,8,0.4584910137550368,0.7821428571428571,0.85,0.8608766233766234
2,9,0.48513148200416706,0.8022222222222222,0.8377777777777778,0.8368704710144927
2,10,0.5311001817328449,0.8130555555555554,0.83125,0.8881944444444445
3,2,0.2922353658080957,0.5833333333333333,0.5833333333333333,0.9215686274509804
3,3,0.3220053443150235,0.7388888888888889,0.711111111111111,0.908187134502924
3,4,0.38533542769706985,0.65,0.6333333333333334,0.8716931216931216
3,5,0.49825757901545276,0.7183333333333334,0.7666666666666666,0.8737681159420291
3,6,0.635427392864093,0.8055555555555556,0.8222222222222223,0.8626222222222223
3,7,0.4077450010341561,0.7246031746031746,0.7238095238095238,0.8394179894179894
3,8,0.6528962068484854,0.7362012987012987,0.7628787878787879,0.8175231101380526
3,9,0.5937461748838431,0.7932291666666667,0.7680555555555555,0.8727514294248166
3,10,0.5614110771491898,0.7621082621082623,0.8033333333333333,0.7957935678625333
4,2,0.3725590749131379,0.65,0.65,0.9423611111111111
4,3,0.4171993841184273,0.6708333333333333,0.6916666666666667,0.9186507936507937
4,4,0.6228362933122559,0.825,0.81875,0.9073784722222221
4,5,0.548078250856982,0.65875,0.645,0.8770370370370371
4,6,0.5283434519585517,0.7300000000000001,0.7625,0.8868611111111109
4,7,0.6758053850432277,0.7151895943562611,0.7133597883597884,0.8219920183982683
4,8,0.6089728385391796,0.6774107142857143,0.693125,0.787325124494242
4,9,0.6100507633399942,0.7047032828282827,0.7424242424242424,0.8265087844254511
4,10,0.7004412018067541,0.7492283950617284,0.7077777777777777,0.8482581453634085
5,2,0.41920715507232165,0.5399999999999999,0.5399999999999999,0.8400000000000001
5,3,0.4593951661565886,0.5533333333333333,0.54,0.7743478260869564
5,4,0.5480387748969611,0.67,0.655,0.8990123456790124
5,5,0.48592470971883994,0.683,0.6759999999999999,0.9060645161290323
5,6,0.7209486870071629,0.664,0.69,0.8013714285714284
5,7,0.7138641559811315,0.6831652661064426,0.638235294117647,0.8365069082963821
5,8,0.569582905794453,0.6003383458646616,0.6093421052631578,0.7765127623369258
5,9,0.6997943850406301,0.5710714285714287,0.633015873015873,0.6895402965828499
