r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.6953740928157242,0.6,0.6,0.9533333333333334
1,3,0.6095040695649672,0.8666666666666668,0.8,0.9844444444444445
1,4,0.6756716515115281,0.8833333333333332,0.95,0.9011111111111111
1,5,0.7596086752371475,0.8,0.72,0.9173333333333333
2,2,0.6339953674161327,0.95,0.95,0.996875
2,3,0.7300786523186482,0.85,0.9,0.9254901960784314
2,4,0.7174417337903971,0.6916666666666665,0.75,0.8689814814814815
2,5,0.6588949955855352,0.8,0.9,0.8773684210526316
3,2,0.6563455379271437,0.9333333333333332,0.9333333333333332,0.9941176470588236
3,3,0.7093461719668055,0.8111111111111111,0.8,0.8964912280701756
3,4,0.7512699401664846,0.7888888888888889,0.8166666666666667,0.9047619047619048
3,5,0.720326360596496,0.9400000000000001,0.9866666666666667,0.9746376811594203
4,2,0.7175397193052696,0.775,0.775,0.9097222222222221
4,3,0.7270269288486565,0.8916666666666666,0.9166666666666666,0.9428571428571428
4,4,0.7682072259301486,0.7583333333333333,0.7125,0.8383680555555557
4,5,0.7917400537611293,0.8,0.85,0.8905555555555555
5,2,0.7228549405027218,0.9199999999999999,0.9199999999999999,0.9957894736842106
5,3,0.7504445596723961,0.76,0.7866666666666666,0.8881159420289855
5,4,0.7885485615452831,0.73,0.74,0.8913580246913579
5,5,0.7645070982946264,0.766,0.808,0.8629032258064516
6,2,0.6833177941651524,0.7333333333333333,0.7333333333333333,0.9216666666666666
6,3,0.8657383128938981,0.6944444444444444,0.7222222222222223,0.7995555555555556
6,4,0.8070815063871383,0.7166666666666666,0.6916666666666667,0.8732407407407408
6,5,0.8476576251659214,0.6816666666666668,0.68,0.7895238095238096
7,2,0.7270946267767766,0.6857142857142857,0.6857142857142857,0.9061224489795918
7,3,0.7689642102272056,0.7523809523809524,0.7714285714285715,0.8241622574955908
7,4,0.8111799876070475,0.7642857142857142,0.7714285714285714,0.8910533910533911
7,5,0.8567275769105978,0.6785714285714286,0.7428571428571429,0.7916849816849817
8,2,0.7608624243839406,0.7125,0.7125,0.9363636363636363
8,3,0.8003952683721858,0.7458333333333333,0.7833333333333333,0.8599137931034484
8,4,0.9068047006090904,0.6208333333333333,0.65625,0.7789930555555556
8,5,0.861116218124109,0.6625,0.6849999999999999,0.7905813953488372
9,2,0.7817610657952547,0.7555555555555555,0.7555555555555555,0.9444444444444443
9,3,0.856131898448352,0.7703703703703704,0.8074074074074075,0.8870967741935484
9,4,0.8996060062585707,0.6055555555555556,0.6333333333333334,0.7807217473884142
9,5,0.9297626031107529,0.5233333333333334,0.6044444444444445,0.5820567375886526
10,2,0.8026970888458859,0.65,0.65,0.8779166666666667
10,3,0.8671178953379755,0.6900000000000001,0.7266666666666668,0.8293939393939395
10,4,0.9376474317423165,0.6333333333333335,0.66,0.7667460317460317
10,5,0.934541038067598,0.473,0.524,0.6311568627450981
