r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.24462361745077113,0.6,0.6,0.9533333333333334
1,3,0.23957246475548893,0.8333333333333333,0.9333333333333332,0.9755555555555556
1,4,0.40902599920334676,0.8666666666666668,0.9,0.8644444444444446
1,5,0.4495672749248708,0.8099999999999999,0.9199999999999999,0.9553333333333335
2,2,0.27852330875389064,0.9,0.9,0.9875
2,3,0.40305659125766236,0.7999999999999999,0.8333333333333333,0.9343137254901961
2,4,0.3658031296365222,0.7666666666666666,0.775,0.888888888888889
2,5,0.41576009410121023,0.825,0.9400000000000001,0.9034210526315791
3,2,0.3000365198860403,0.8333333333333334,0.8333333333333334,0.9745098039215687
3,3,0.39209448924682044,0.788888888888889,0.7777777777777778,0.9210526315789472
3,4,0.4473044786577226,0.7722222222222223,0.85,0.9166666666666667
3,5,0.4934119751068069,0.9400000000000001,0.9733333333333334,0.9931884057971014
4,2,0.3138928488524004,0.9,0.9,0.9944444444444445
4,3,0.41426002229104936,0.875,0.9166666666666666,0.9551587301587302
4,4,0.4758478526376784,0.8458333333333332,0.9125,0.9161458333333334
4,5,0.49297919141860014,0.8399999999999999,0.8800000000000001,0.9698148148148149
5,2,0.3329633831432077,0.9,0.9,0.9557894736842105
5,3,0.4598389682073165,0.74,0.76,0.911304347826087
5,4,0.4490193895061643,0.8099999999999999,0.8400000000000001,0.8987654320987655
5,5,0.49708316740806363,0.8200000000000001,0.8880000000000001,0.9443870967741935
6,2,0.30030085568169007,0.8833333333333334,0.8833333333333334,0.9908333333333333
6,3,0.5318261101851471,0.8444444444444444,0.8777777777777777,0.9306666666666666
6,4,0.5471859943873686,0.8,0.825,0.8874074074074073
6,5,0.5946365659932726,0.8066666666666666,0.8466666666666667,0.945809523809524
7,2,0.39388092231842176,0.7714285714285716,0.7714285714285716,0.9040816326530612
7,3,0.48063405347296184,0.8095238095238095,0.8,0.9142857142857143
7,4,0.4791379734844573,0.8333333333333333,0.8357142857142857,0.9534632034632036
7,5,0.5705183224194942,0.7528571428571429,0.8057142857142857,0.8797802197802198
8,2,0.396623248782923,0.875,0.875,0.9204545454545455
8,3,0.448486143438548,0.7875,0.8083333333333332,0.9252873563218392
8,4,0.5902053592314586,0.8208333333333334,0.85,0.9098379629629629
8,5,0.5675851356927488,0.76875,0.8400000000000001,0.9262500000000001
9,2,0.4080784846262177,0.8222222222222223,0.8222222222222223,0.9033816425120772
9,3,0.48649805718334466,0.8555555555555555,0.874074074074074,0.9793309438470728
9,4,0.6018159664347981,0.7518518518518518,0.7777777777777778,0.8963912630579298
9,5,0.7009542655148934,0.7133333333333333,0.7777777777777778,0.8731442080378251
10,2,0.41068644847278196,0.8300000000000001,0.8300000000000001,0.9491666666666667
10,3,0.5590462285260401,0.7666666666666666,0.76,0.9123232323232322
10,4,0.6304219941816113,0.8516666666666668,0.8950000000000001,0.9451984126984125
10,5,0.7040925521775316,0.749,0.828,0.8969607843137256
