r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.1889748117294828,0.7,0.7,0.8533333333333333
1,3,0.10326804908661502,0.9166666666666666,0.9,0.9822222222222223
1,4,0.22691084709514797,0.7666666666666666,0.775,0.8922222222222222
1,5,0.22294570002959008,0.78,0.86,0.8823333333333334
1,6,0.15632968312075496,0.8666666666666668,0.8833333333333332,0.9455555555555556
1,7,0.2523662702414849,0.7992063492063491,0.9095238095238095,0.8750793650793651
1,8,0.30363518125861994,0.7767857142857142,0.8166666666666667,0.858690476190476
1,9,0.14004470452293008,0.9527777777777778,0.9777777777777779,0.9582407407407407
1,10,0.25037249699879705,0.8462962962962962,0.9466666666666667,0.887925925925926
2,2,0.2013017260122245,0.8,0.8,0.878125
2,3,0.18174140248184054,0.8083333333333333,0.7833333333333333,0.936764705882353
2,4,0.18505948776546038,0.8416666666666666,0.8375,0.9342592592592593
2,5,0.2758693376157825,0.6925,0.82,0.8255263157894737
2,6,0.17261647559895218,0.9083333333333332,0.9,0.9682499999999999
2,7,0.27465876608857276,0.7368131868131869,0.9038461538461539,0.8262868480725623
2,8,0.3650388750823065,0.7883928571428571,0.825,0.9260957792207792
2,9,0.29778074613609945,0.8359722222222222,0.8711111111111111,0.8773988526570051
2,10,0.26000638443637925,0.8283333333333335,0.9225,0.8767129629629629
3,2,0.1131154048637284,0.7833333333333333,0.7833333333333333,0.9578431372549019
3,3,0.2576513687546685,0.7722222222222224,0.7666666666666666,0.9494152046783626
3,4,0.2338172319637959,0.8111111111111111,0.8416666666666668,0.9075396825396824
3,5,0.25746335369372514,0.785,0.7666666666666667,0.9260144927536231
3,6,0.29074330782059654,0.8366666666666667,0.8944444444444445,0.9110666666666667
3,7,0.23035226651442228,0.8174603174603174,0.8761904761904763,0.9467078189300411
3,8,0.357803267786977,0.8242424242424244,0.8738636363636363,0.9324023900748039
3,9,0.2515032661008153,0.8773726851851851,0.9499999999999998,0.9179540023894862
3,10,0.27324816426063914,0.8674643874643875,0.9174358974358974,0.9249251132009751
4,2,0.24675197902262794,0.725,0.725,0.8763888888888889
4,3,0.2546842078411261,0.7458333333333333,0.7249999999999999,0.9162698412698413
4,4,0.3199518402318308,0.8354166666666668,0.86875,0.9463541666666666
4,5,0.3168205340571649,0.74,0.8200000000000001,0.8810648148148148
4,6,0.29426406554979206,0.7733333333333334,0.8166666666666668,0.8994166666666666
4,7,0.33443517097195125,0.7882275132275132,0.8767195767195768,0.8939258658008657
4,8,0.3414787127852878,0.7640178571428573,0.7933333333333333,0.9071753909897293
4,9,0.34517323792670973,0.797885101010101,0.902020202020202,0.8972836538461537
4,10,0.33819027411229796,0.7944135802469136,0.861111111111111,0.847391395154553
5,2,0.2570561106388042,0.7599999999999999,0.7599999999999999,0.901578947368421
5,3,0.31863656373691845,0.7,0.7066666666666666,0.8994202898550725
5,4,0.2634382260514684,0.7716666666666666,0.7749999999999999,0.9041358024691359
5,5,0.21968382442663031,0.776,0.7879999999999999,0.9319354838709677
5,6,0.4081260793225162,0.7506666666666668,0.8666666666666666,0.8714857142857145
5,7,0.3102220842154208,0.8104481792717086,0.8648739495798319,0.8999345800398432
5,8,0.4044027601490985,0.682312030075188,0.6998684210526316,0.8660376387650922
5,9,0.4532187114001311,0.733611111111111,0.776984126984127,0.8709525037610145
5,10,0.3478202027279693,0.7376908212560384,0.8374782608695652,0.8379113706948498
6,2,0.2618087827797765,0.7583333333333333,0.7583333333333333,0.9158333333333333
6,3,0.3125391050329619,0.7416666666666667,0.7722222222222221,0.9148888888888889
6,4,0.31932029810172524,0.7305555555555556,0.7583333333333333,0.8946296296296297
6,5,0.32293126405646067,0.7191666666666666,0.7466666666666667,0.9063571428571429
6,6,0.40021894415872694,0.6905555555555557,0.775,0.8540000000000001
6,7,0.43374070062352255,0.7055555555555556,0.7792682926829266,0.8587842712842712
6,8,0.37769585668758393,0.7619435817805382,0.8070652173913043,0.8711808035714285
6,9,0.39299939695068503,0.7430283224400871,0.779193899782135,0.8560879953379953
6,10,0.44666664961645297,0.741600529100529,0.8045238095238096,0.8654794973544975
7,2,0.2982977982719035,0.7642857142857143,0.7642857142857143,0.901700680272109
7,3,0.29826723903493474,0.7404761904761903,0.7476190476190475,0.9191358024691357
7,4,0.44284825119848603,0.6761904761904761,0.7571428571428572,0.866017316017316
7,5,0.37990329650093857,0.7521428571428572,0.7971428571428572,0.8892857142857142
7,6,0.36106712714744776,0.6952380952380952,0.7166666666666666,0.8614603174603175
7,7,0.409642383294504,0.7306193310657595,0.7795068027210885,0.8799590502867816
7,8,0.4455254801604312,0.6594954648526076,0.7046957671957671,0.8326550955310354
7,9,0.4603201788107012,0.7015873015873015,0.7658730158730159,0.8655834278155705
7,10,0.5086136285117202,0.6653487253487252,0.7014718614718614,0.7780510697032434
8,2,0.3076679751084205,0.65,0.65,0.8985795454545455
8,3,0.3388368085334591,0.71875,0.7416666666666667,0.9352729885057471
8,4,0.3858385059346867,0.7250000000000001,0.765625,0.9139178240740741
8,5,0.38719685766202216,0.6637499999999998,0.6925000000000001,0.8765988372093023
8,6,0.50207744434498,0.6370833333333332,0.6875000000000001,0.7978750000000001
8,7,0.48770778252325286,0.6619426406926407,0.7511363636363636,0.8535043710466642
8,8,0.4497732131531723,0.6705933179723501,0.7386088709677419,0.8250931184595813
