r,w,diameter,precision@w-1,precision@1,triplet
1,2,0.22297085273985395,0.6,0.6,0.8600000000000001
1,3,0.15991337945069478,0.8833333333333334,0.9,0.9766666666666666
1,4,0.21774189010972309,0.775,0.675,0.8766666666666667
1,5,0.24649031978338692,0.755,0.8400000000000001,0.8516666666666668
1,6,0.18675468968662598,0.8733333333333334,0.8333333333333333,0.936888888888889
1,7,0.22723235551629775,0.807936507936508,0.8761904761904761,0.8614285714285714
1,8,0.27597582866215004,0.7619047619047618,0.7958333333333333,0.824642857142857
1,9,0.19665046509255207,0.9319444444444445,0.9888888888888889,0.9412037037037038
1,10,0.23218387936938284,0.8159259259259259,0.8933333333333333,0.8615555555555556
2,2,0.24434717336657946,0.7,0.7,0.884375
2,3,0.19597517992136176,0.775,0.8,0.9196078431372549
2,4,0.1919386233789857,0.8333333333333333,0.7625,0.9256944444444445
2,5,0.26406014850680826,0.6525,0.73,0.7773684210526316
2,6,0.19684008314814738,0.8516666666666668,0.8666666666666668,0.9394166666666666
2,7,0.2707986295952439,0.7124542124542125,0.7153846153846155,0.7823100907029479
2,8,0.2072944424109587,0.7892857142857143,0.76875,0.899715909090909
2,9,0.25290246796325977,0.8366666666666667,0.8455555555555556,0.8556234903381643
2,10,0.2245714992656298,0.788888888888889,0.85,0.8452546296296296
3,2,0.14911221628190177,0.6333333333333333,0.6333333333333333,0.9676470588235295
3,3,0.16045928606953036,0.75,0.7444444444444444,0.9353801169590643
3,4,0.2157829067431407,0.7805555555555554,0.775,0.8936507936507937
3,5,0.16747650972437084,0.7866666666666666,0.72,0.8986231884057971
3,6,0.2394735252851002,0.7811111111111112,0.7833333333333333,0.8658666666666669
3,7,0.20352439168367278,0.8325396825396825,0.8619047619047621,0.9468547912992357
3,8,0.20564305108213626,0.7935064935064935,0.8083333333333333,0.8879065559812684
3,9,0.24442786931899999,0.8015046296296295,0.7999999999999999,0.8561810889230245
3,10,0.25403969819012817,0.808005698005698,0.8710256410256412,0.8570827044390261
4,2,0.2059725397807565,0.6625,0.6625,0.8694444444444445
4,3,0.2223714916352093,0.7208333333333333,0.7166666666666666,0.8787698412698411
4,4,0.15771890179950238,0.81875,0.8125,0.9247395833333334
4,5,0.19029416946853114,0.71625,0.7100000000000001,0.8541203703703703
4,6,0.22150985897716136,0.7516666666666668,0.75,0.8750277777777777
4,7,0.24124480965708162,0.7197530864197531,0.7202380952380951,0.847519052128427
4,8,0.2847556121492492,0.7118750000000001,0.7241666666666667,0.8308544876283847
4,9,0.26964434066549653,0.7182449494949494,0.7684343434343435,0.8233460944919276
4,10,0.28186563611141024,0.717037037037037,0.7208333333333333,0.7829723614592035
5,2,0.21651898398143005,0.58,0.58,0.8715789473684211
5,3,0.2474115125383342,0.6399999999999999,0.58,0.839855072463768
5,4,0.2183501460841847,0.7283333333333333,0.675,0.8687654320987654
5,5,0.2145590034930906,0.7200000000000001,0.696,0.8615161290322579
5,6,0.2650854114995037,0.6653333333333334,0.7299999999999999,0.8099428571428572
5,7,0.2523136483680433,0.7447899159663864,0.7660504201680672,0.8395951417004047
5,8,0.2541535411927171,0.6504511278195488,0.7148684210526316,0.81419347432677
5,9,0.29120322165016727,0.6350595238095238,0.6371428571428571,0.7936443960885452
5,10,0.2957108810783418,0.621159420289855,0.6071304347826085,0.7668307606730635
6,2,0.19100625137739016,0.6499999999999999,0.6499999999999999,0.9079166666666669
6,3,0.22235050852383403,0.6611111111111111,0.6555555555555554,0.8807777777777778
6,4,0.19622694741112723,0.676388888888889,0.6791666666666667,0.8723611111111109
6,5,0.24196984672977734,0.6391666666666668,0.6366666666666666,0.8310714285714285
6,6,0.28164088025685985,0.61,0.6583333333333332,0.7940277777777777
6,7,0.2939892347888787,0.6171989934185056,0.6462833914053425,0.7808131713965045
6,8,0.26314877740362647,0.6717261904761905,0.6394927536231885,0.8130183035714286
6,9,0.2987058819090363,0.6209831154684096,0.6545751633986929,0.7697814361564362
6,10,0.27020066246590174,0.6316798941798942,0.6041666666666666,0.7973368606701942
7,2,0.20274153698096012,0.6714285714285715,0.6714285714285715,0.8721088435374149
7,3,0.2119854611276491,0.6285714285714286,0.6380952380952382,0.8559964726631394
7,4,0.2607516991384791,0.5761904761904761,0.5785714285714285,0.7978715728715728
7,5,0.22785853092658015,0.6185714285714287,0.6314285714285715,0.8295787545787545
7,6,0.28037265639003867,0.6033333333333334,0.6476190476190476,0.8126560846560847
7,7,0.29076597752926875,0.5496527777777779,0.5454931972789115,0.7714883286647993
7,8,0.32965220904510206,0.5190854119425546,0.5455026455026456,0.7174643589493211
7,9,0.3333318340811581,0.6068650793650793,0.6471428571428571,0.7927566767447718
7,10,0.364591056939078,0.5236940836940838,0.49995670995670993,0.6880430004777828
8,2,0.18447960773485,0.55625,0.55625,0.8693181818181819
8,3,0.19242745420906393,0.6229166666666667,0.6166666666666666,0.8806034482758621
8,4,0.23712814581429584,0.578125,0.575,0.8371527777777776
8,5,0.2576575176601624,0.5337500000000001,0.5250000000000001,0.793561046511628
8,6,0.349332476040618,0.4854166666666666,0.4895833333333333,0.7105500000000001
8,7,0.33173245762240877,0.5371969696969696,0.622077922077922,0.765357870121733
8,8,0.3327880763072211,0.5546875000000001,0.5728830645161291,0.7373375171010946
8,9,0.35558772048440895,0.45012832125603863,0.4370169082125604,0.6927477302540734
8,10,0.3727748241444825,0.46921783625730995,0.5128289473684211,0.6983638446138445
9,2,0.1965945308825408,0.5611111111111111,0.5611111111111111,0.8577294685990337
9,3,0.23566810148966177,0.5537037037037037,0.562962962962963,0.8105734767025089
9,4,0.2553584977917841,0.5138888888888891,0.5166666666666667,0.7955603038936373
9,5,0.25267196800929353,0.49833333333333324,0.5133333333333333,0.78
9,6,0.33916020720671614,0.49851851851851847,0.562962962962963,0.7430370370370369
9,7,0.3345409018778106,0.4635005973715652,0.519431643625192,0.7240365520959479
9,8,0.32550508986518395,0.4575056689342404,0.45972222222222214,0.7156300929570986
9,9,0.36640569005992696,0.4613782051282051,0.49292497625830956,0.7001132115626619
9,10,0.37010261306277376,0.4432586850416307,0.4511627906976744,0.6742895293391531
10,2,0.1894466871747454,0.575,0.575,0.8614583333333332
