r,w,diameter,precision@w-1,precision@1,triplet
1,2,1.0,0.0,0.0,0.0
1,3,1.0,0.0,0.0,0.0
1,4,1.0,0.05,0.15,0.0
1,5,1.0,0.22000000000000003,0.32,0.0
2,2,1.0,0.0,0.0,0.0
2,3,1.0,0.0,0.0,0.0
2,4,1.0,0.15833333333333333,0.15,0.0
2,5,1.0,0.185,0.16,0.0
3,2,1.0,0.03333333333333333,0.03333333333333333,0.0
3,3,1.0,0.04444444444444444,0.06666666666666667,0.0
3,4,1.0,0.08333333333333333,0.1,0.0
3,5,1.0,0.15,0.21333333333333332,0.0
4,2,1.0,0.025,0.025,0.0
4,3,1.0,0.09999999999999999,0.13333333333333333,0.0
4,4,1.0,0.1,0.1125,0.0
4,5,1.0,0.1125,0.16,0.0
5,2,1.0,0.08,0.08,0.0
5,3,1.0,0.08,0.08,0.0
5,4,1.0,0.08333333333333333,0.09,0.0
5,5,1.0,0.11599999999999999,0.16,0.0
6,2,1.0,0.1,0.1,0.0
6,3,1.0,0.07222222222222223,0.08888888888888888,0.0
6,4,1.0,0.09722222222222221,0.1,0.0
6,5,1.0,0.1,0.13999999999999999,0.0
7,2,1.0,0.02857142857142857,0.02857142857142857,0.0
7,3,1.0,0.08095238095238094,0.11428571428571428,0.0
7,4,1.0,0.07619047619047617,0.09285714285714286,0.0
7,5,1.0,0.09285714285714286,0.12571428571428572,0.0
8,2,1.0,0.05,0.05,0.0
8,3,1.0,0.049999999999999996,0.07499999999999998,0.0
8,4,1.0,0.06874999999999999,0.09375,0.0
8,5,1.0,0.08625000000000001,0.1,0.0
9,2,1.0,0.04444444444444444,0.04444444444444444,0.0
9,3,1.0,0.05555555555555556,0.059259259259259255,0.0
9,4,1.0,0.05740740740740739,0.08333333333333333,0.0
9,5,1.0,0.07777777777777779,0.08888888888888889,0.0
10,2,1.0,0.04,0.04,0.0
10,3,1.0,0.05333333333333333,0.06666666666666667,0.0
10,4,1.0,0.075,0.07999999999999999,0.0
10,5,1.0,0.074,0.08,0.0
